Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
SIVAGANGAI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.08,8.76,5.53,12922,9.74615,78.5462004
TENKASI,General,2.71,2.78,2.74,1.17,0.96,1.06,1.72,7.13,4.51,12923,8.81786,77.33048
TENKASI,OBC,0.19,0.25,0.22,0.7,0.99,0.85,2.64,7.54,5.11,12923,8.81786,77.33048
TENKASI,SC,1.31,1.53,1.43,1.82,1.71,1.76,2.73,9.36,6.16,12923,8.81786,77.33048
TENKASI,ST,0.0,0.0,0.0,10.0,10.16,10.08,12.62,16.91,14.7,12923,8.81786,77.33048
TENKASI,Overall,0.83,0.91,0.87,1.05,1.17,1.11,2.62,7.94,5.33,12923,8.81786,77.33048
THANJAVUR,General,0.0,0.0,0.0,0.0,0.0,0.0,1.62,6.32,3.96,12924,10.7860267,79.1381497
THANJAVUR,OBC,0.0,0.06,0.03,0.0,0.0,0.0,3.13,6.51,4.87,12924,10.7860267,79.1381497
THANJAVUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.67,8.19,5.54,12924,10.7860267,79.1381497
THANJAVUR,ST,3.88,0.0,1.84,3.2,0.0,1.22,12.99,15.24,14.29,12924,10.7860267,79.1381497
THANJAVUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.89,6.9,4.96,12924,10.7860267,79.1381497
THENI,General,0.03,0.0,0.0,0.0,0.0,0.0,4.25,5.11,4.73,12926,9.96769,77.47029
THENI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.76,4.69,3.76,12926,9.96769,77.47029
THENI,SC,0.0,0.0,0.0,0.16,0.0,0.06,4.0,8.85,6.57,12926,9.96769,77.47029
THENI,ST,0.0,0.0,0.0,12.68,3.33,7.45,20.45,9.8,14.74,12926,9.96769,77.47029
THENI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.33,5.84,4.65,12926,9.96769,77.47029
THE NILGIRIS,General,1.27,0.87,1.06,0.0,1.14,0.51,15.49,13.49,14.38,12925,10.9094334,78.3665347
THE NILGIRIS,OBC,0.0,0.0,0.0,0.0,0.0,0.0,4.37,7.44,5.92,12925,10.9094334,78.3665347
THE NILGIRIS,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.79,7.04,4.92,12925,10.9094334,78.3665347
THE NILGIRIS,ST,0.0,0.0,0.0,0.0,0.0,0.0,7.35,10.63,8.94,12925,10.9094334,78.3665347
THE NILGIRIS,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.26,8.3,6.81,12925,10.9094334,78.3665347
THOOTHUKKUDI,General,0.0,0.0,0.0,0.0,0.0,0.0,2.46,8.12,5.25,12927,8.75611,78.07852
THOOTHUKKUDI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.59,8.33,5.48,12927,8.75611,78.07852
THOOTHUKKUDI,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.51,7.88,5.74,12927,8.75611,78.07852
THOOTHUKKUDI,ST,4.4,1.16,2.71,8.29,7.98,8.12,14.98,18.15,16.87,12927,8.75611,78.07852
THOOTHUKKUDI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.9,8.33,5.64,12927,8.75611,78.07852
TIRUCHIRAPPALLI,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,12928,10.8155,78.69651
TIRUCHIRAPPALLI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.56,5.34,3.02,12928,10.8155,78.69651
TIRUCHIRAPPALLI,SC,0.0,0.0,0.0,0.0,0.0,0.0,1.69,8.84,5.32,12928,10.8155,78.69651
TIRUCHIRAPPALLI,ST,0.0,0.0,0.0,0.0,0.0,0.0,3.46,2.92,3.17,12928,10.8155,78.69651
TIRUCHIRAPPALLI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.66,5.57,3.18,12928,10.8155,78.69651
TIRUNELVELI,General,0.01,0.6,0.31,0.0,0.13,0.0,1.51,9.59,5.58,12929,8.7284271,77.7112925
TIRUNELVELI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.65,7.49,4.64,12929,8.7284271,77.7112925
TIRUNELVELI,SC,0.12,0.0,0.0,0.0,0.0,0.0,2.47,11.43,7.11,12929,8.7284271,77.7112925
TIRUNELVELI,ST,3.83,4.4,4.12,3.07,5.91,4.56,16.14,13.61,14.93,12929,8.7284271,77.7112925
TIRUNELVELI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,1.93,8.7,5.38,12929,8.7284271,77.7112925
TIRUPATTUR,General,0.0,5.14,2.5,7.21,0.89,4.04,10.91,8.88,9.88,12930,12.49239,78.56804
TIRUPATTUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,5.27,6.83,6.07,12930,12.49239,78.56804
TIRUPATTUR,SC,0.0,0.0,0.0,0.0,0.0,0.0,5.23,7.61,6.43,12930,12.49239,78.56804
TIRUPATTUR,ST,0.0,0.0,0.0,1.39,0.09,0.7,9.83,8.89,9.33,12930,12.49239,78.56804
TIRUPATTUR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,5.48,7.09,6.3,12930,12.49239,78.56804
TIRUPPUR,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,3.08,12931,11.1017815,77.345192
TIRUPPUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,3.17,8.08,5.69,12931,11.1017815,77.345192
TIRUPPUR,SC,0.12,0.0,0.0,0.0,0.0,0.0,3.8,10.18,7.0,12931,11.1017815,77.345192
TIRUPPUR,ST,0.2,0.0,0.0,7.14,0.4,3.69,4.03,11.63,8.1,12931,11.1017815,77.345192
TIRUPPUR,Overall,0.02,0.0,0.0,0.0,0.0,0.0,3.19,8.48,5.89,12931,11.1017815,77.345192
TIRUVALLUR,General,2.03,1.62,1.81,1.01,2.29,1.68,9.04,11.83,10.52,12932,13.116192,79.91216
TIRUVALLUR,OBC,0.29,0.55,0.42,0.8,0.73,0.76,4.81,9.16,7.08,12932,13.116192,79.91216
TIRUVALLUR,SC,0.29,0.32,0.31,0.29,0.01,0.15,5.47,10.31,7.94,12932,13.116192,79.91216
TIRUVALLUR,ST,1.8,1.4,1.59,1.98,2.15,2.07,17.55,19.35,18.49,12932,13.116192,79.91216
TIRUVALLUR,Overall,0.46,0.59,0.53,0.71,0.7,0.7,5.53,9.84,7.77,12932,13.116192,79.91216
TIRUVANNAMALAI,General,0.0,0.0,0.0,1.47,1.14,1.29,0.0,9.97,4.99,12933,12.238458,79.077862
TIRUVANNAMALAI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.95,4.75,3.88,12933,12.238458,79.077862
TIRUVANNAMALAI,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.65,5.31,4.49,12933,12.238458,79.077862
TIRUVANNAMALAI,ST,0.0,0.0,0.0,1.38,0.53,0.94,10.32,9.08,9.68,12933,12.238458,79.077862
TIRUVANNAMALAI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,3.42,5.15,4.3,12933,12.238458,79.077862
TIRUVARUR,General,0.0,0.0,0.0,0.0,0.0,0.0,7.59,12.79,10.32,12934,10.7773227,79.6272386
TIRUVARUR,OBC,0.0,0.1,0.0,0.0,0.4,0.19,2.1,6.93,4.53,12934,10.7773227,79.6272386
TIRUVARUR,SC,0.0,0.0,0.0,0.0,0.22,0.1,1.13,5.67,3.41,12934,10.7773227,79.6272386
TIRUVARUR,ST,4.17,0.0,0.0,1.59,0.0,0.81,0.0,25.64,12.16,12934,10.7773227,79.6272386
TIRUVARUR,Overall,0.0,0.0,0.0,0.0,0.1,0.0,1.94,6.75,4.36,12934,10.7773227,79.6272386
VELLORE,General,0.0,0.32,0.0,0.53,0.0,0.0,3.3,1.77,2.54,12935,12.9071753,79.1309695
VELLORE,OBC,0.06,0.27,0.16,0.0,0.0,0.0,3.3,6.41,4.88,12935,12.9071753,79.1309695
VELLORE,SC,0.38,0.0,0.01,0.0,0.0,0.0,3.73,9.28,6.52,12935,12.9071753,79.1309695
VELLORE,ST,4.56,5.19,4.9,4.24,2.18,3.13,21.97,11.58,15.91,12935,12.9071753,79.1309695
VELLORE,Overall,0.19,0.24,0.22,0.0,0.0,0.0,3.61,7.05,5.36,12935,12.9071753,79.1309695
VILLUPURAM,General,0.0,1.94,0.84,0.0,0.0,0.0,5.75,8.45,7.24,12936,11.9381117,79.500896
VILLUPURAM,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.46,4.21,3.34,12936,11.9381117,79.500896
VILLUPURAM,SC,0.0,0.0,0.0,0.0,0.0,0.0,2.38,4.79,3.63,12936,11.9381117,79.500896
VILLUPURAM,ST,0.93,0.0,0.0,0.0,0.48,0.06,8.17,12.59,10.36,12936,11.9381117,79.500896
VILLUPURAM,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.54,4.57,3.58,12936,11.9381117,79.500896
VIRUDHUNAGAR,General,0.0,0.0,0.0,0.0,0.0,0.0,2.16,5.36,3.79,12937,9.52525,78.01311
VIRUDHUNAGAR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,2.89,6.77,4.87,12937,9.52525,78.01311
VIRUDHUNAGAR,SC,0.0,0.0,0.0,0.0,0.0,0.0,3.57,8.74,6.18,12937,9.52525,78.01311
VIRUDHUNAGAR,ST,0.0,0.45,0.0,0.0,0.95,0.0,10.66,22.63,16.99,12937,9.52525,78.01311
VIRUDHUNAGAR,Overall,0.0,0.0,0.0,0.0,0.0,0.0,2.96,7.07,5.05,12937,9.52525,78.01311
