name,original_Pincode,lat,lon,county,state,state_code,country
Ambli,382463,22.3258371,72.230266,Dholera Taluka,Gujarat,GJ,India
Bhadiad,382463,,,,,,
Gogla,382463,22.2914227,72.2378826,Dholera Taluka,Gujarat,GJ,India
Gorasu,382463,22.25703,72.135001,Ahmadabad,Gujarat,GJ,India
Alau,382255,22.2104177,71.6882267,Ranpur Taluka,Gujarat,GJ,India
Kadipur,382463,22.2893115,72.1985805,Dholera Taluka,Gujarat,GJ,India
Otaria,382463,,,,,,
Otaria Sarvodaya Ashram,382463,,,,,,
Chandarva,382255,22.264635,71.853547,Ahmadabad,Gujarat,GJ,India
Godhavata,382255,,,,,,
Sodhi,382463,22.218913,72.0680657,Barwala Taluka,Gujarat,GJ,India
Sodhi,382463,22.218913,72.0680657,Barwala Taluka,Gujarat,GJ,India
Valinda,382463,22.365317,72.22165,Ahmadabad,Gujarat,GJ,India
Valinda,382463,22.365317,72.22165,Ahmadabad,Gujarat,GJ,India
Jalila,382255,22.2586913,71.8092641,Ranpur Taluka,Gujarat,GJ,India
Moti Vavdi,382255,21.611789,71.646156,Bhavnagar,Gujarat,GJ,India
Refda,382255,22.205283,71.743954,Ahmadabad,Gujarat,GJ,India
Sunderiana,382255,,,,,,
Baldana,382240,22.776274,72.23576,Ahmadabad,Gujarat,GJ,India
Bamsara,382240,,,,,,
Deo Dholera,382240,22.248608,72.19311,Dholera Taluka,Gujarat,GJ,India
Dholi,382240,22.567,70.4177,Jamnagar,Gujarat,GJ,India
Gangad,382240,22.6271131,72.3006679,Dholka Taluka,Gujarat,GJ,India
Kalyangadh,382240,22.7177454,72.2702739,Bavla Taluka,Gujarat,GJ,India
Kesardi,382240,,,,,,
Koth,382240,22.6351443,72.30146026,Dholka Taluka,Gujarat,GJ,India
Rupgadh,382240,22.6235985,72.3446358,Dholka Taluka,Gujarat,GJ,India
Adroda,382220,22.8194217,72.3082861,Bavla Taluka,Gujarat,GJ,India
Bavla,382220,22.8335871,72.3647449,Bavla Taluka,Gujarat,GJ,India
Bhayla,382220,22.75978,72.314374,Ahmadabad,Gujarat,GJ,India
Chhabasar,382220,22.796425,72.263194,Ahmadabad,Gujarat,GJ,India
Daran,382220,22.8717541,72.3518921,Sanand Taluka,Gujarat,GJ,India
Dehgamda,382220,,,,,,
Juval,382220,22.7883954,72.4139088,Bavla Taluka,Gujarat,GJ,India
Juval Rupavati,382220,22.7883954,72.4139088,Bavla Taluka,Gujarat,GJ,India
Kerala,382220,22.7795213,72.3285006,Bavla Taluka,Gujarat,GJ,India
Kocharia,382220,,,,,,
Modasar,382220,22.898156,72.364112,Ahmadabad,Gujarat,GJ,India
Nani Devti,382220,23.19771,70.225786,Kachchh,Gujarat,GJ,India
Nanodara,382220,22.8250182,72.2049071,Bavla Taluka,Gujarat,GJ,India
Ranesar,382220,22.756695,72.271287,Ahmadabad,Gujarat,GJ,India
Rasam,382220,22.836757,72.396303,Ahmadabad,Gujarat,GJ,India
Rupal,382220,22.8022846,72.3656438,Bavla Taluka,Gujarat,GJ,India
Salajada,382220,,,,,,
Arnej,382230,22.5814229,72.267784,Dholka Taluka,Gujarat,GJ,India
Sankod,382220,22.852056,72.26598,Ahmadabad,Gujarat,GJ,India
Bagodara,382230,22.639212,72.201405,Ahmadabad,Gujarat,GJ,India
Bholad,382230,22.455074,72.2728749,Dholka Taluka,Gujarat,GJ,India
Bhurkhi,382230,22.5537636,72.2240773,Dholka Taluka,Gujarat,GJ,India
Dhingada,382230,,,,,,
Gundi Sarvodaya Ashram,382230,,,,,,
Jakhada,382230,,,,,,
Jawaraj,382230,,,,,,
Lothal Bhurkhi RS,382230,22.5537636,72.2240773,Dholka Taluka,Gujarat,GJ,India
Mithapur,382230,22.6153751,72.1235792,Bavla Taluka,Gujarat,GJ,India
Moti Boru,382230,21.871414,70.153444,Rajkot,Gujarat,GJ,India
Nani Boru,382230,23.19771,70.225786,Kachchh,Gujarat,GJ,India
Rohika,382230,22.653404,72.242506,Ahmadabad,Gujarat,GJ,India
Sargwala,382230,,,,,,
Shiyal,382230,22.685626,72.151752,Bavla Taluka,Gujarat,GJ,India
Utelia,382230,,,,,,
Vejalka,382230,22.2518583,71.8596505,Ranpur Taluka,Gujarat,GJ,India
Badarkha,382260,22.8353206,72.4546583,Dholka Taluka,Gujarat,GJ,India
Chaloda,382260,22.800768,72.449764,Dholka Taluka,Gujarat,GJ,India
Chandisar,382260,22.7964517,72.487624,Dholka Taluka,Gujarat,GJ,India
Kavitha,382260,22.442049,72.871622,Anand,Gujarat,GJ,India
Saroda,382260,22.8255757,72.4895149,Dholka Taluka,Gujarat,GJ,India
Ambli,380058,23.02645515,72.48218659,Daskroi Taluka,Gujarat,GJ,India
Bopal,380058,23.0373071,72.4585462,Daskroi Taluka,Gujarat,GJ,India
Ghuma,380058,23.0295113,72.4506006,Daskroi Taluka,Gujarat,GJ,India
Shela,380058,23.008477,72.444719,Ahmadabad,Gujarat,GJ,India
Aslali,382427,22.9009514,72.5950578,Daskroi Taluka,Gujarat,GJ,India
Jetalpur,382427,22.8923003,72.5966176,Daskroi Taluka,Gujarat,GJ,India
Ode,382427,22.906817,72.544411,Ahmadabad,Gujarat,GJ,India
Bakrol,382430,22.9826607,72.739001,Daskroi Taluka,Gujarat,GJ,India
Bhuvaldi,382430,23.032651,72.721595,Ahmadabad,Gujarat,GJ,India
Kanbha,382430,22.313813,72.790279,Anand,Gujarat,GJ,India
Kathwada,382430,23.0568145,72.7075973,Daskroi Taluka,Gujarat,GJ,India
Kathwada Maize Product,382430,22.803523,72.56286,Kheda,Gujarat,GJ,India
Kubadthal,382430,23.0301963,72.7603698,Daskroi Taluka,Gujarat,GJ,India
Kujad,382430,23.0059467,72.7359127,Daskroi Taluka,Gujarat,GJ,India
Pasunj,382430,23.0369992,72.7999934,Daskroi Taluka,Gujarat,GJ,India
Zanu,382430,23.0426922,72.7410512,Daskroi Taluka,Gujarat,GJ,India
Dhamatvan,382435,22.955381,72.724124,Ahmadabad,Gujarat,GJ,India
Gamdi,382435,22.906922,72.6372785,Daskroi Taluka,Gujarat,GJ,India
Geratpur,382435,22.9168572,72.6551837,Daskroi Taluka,Gujarat,GJ,India
Harniav,382435,,,,,,
Nandej,382435,22.8953959,72.6771064,Daskroi Taluka,Gujarat,GJ,India
Bhavda,382433,22.9722059,72.7720602,Daskroi Taluka,Gujarat,GJ,India
Chandial,382433,23.0048042,72.8180527,Daskroi Taluka,Gujarat,GJ,India
Chaulaj,382433,,,,,,
Kaniyel,382433,22.9541187,72.9652979,Kathlal Taluka,Gujarat,GJ,India
Kuha,382433,22.997049,72.789168,Ahmadabad,Gujarat,GJ,India
Ranodra,382433,22.9556383,72.7959453,Daskroi Taluka,Gujarat,GJ,India
Undrel,382433,22.9551295,72.7723016,Daskroi Taluka,Gujarat,GJ,India
Vadod,382433,22.512353,73.003249,Anand,Gujarat,GJ,India
Gatrad,382449,22.9789376,72.7053047,Daskroi Taluka,Gujarat,GJ,India
Ramol,382449,22.633075,72.791626,Anand,Gujarat,GJ,India
Vanch,382449,22.9438822,72.6899135,Daskroi Taluka,Gujarat,GJ,India
Bareja (Ahmedabad),382425,23.030126,72.536614,Ahmadabad,Gujarat,GJ,India
Girmatha,382425,,,,,,
Mahijada,382425,,,,,,
Miroli,382425,22.8740431,72.519433,Daskroi Taluka,Gujarat,GJ,India
Paldi Kankaj,382425,22.90208,72.5213863,Daskroi Taluka,Gujarat,GJ,India
Pirana,382425,22.9661748,72.557483,Ahmedabad City Taluka,Gujarat,GJ,India
Timba,382425,22.368976,72.669587,Anand,Gujarat,GJ,India
Vasai,382425,22.847858,72.541999,Ahmadabad,Gujarat,GJ,India
Shilaj,380059,23.0496616,72.48266149,Daskroi Taluka,Gujarat,GJ,India
Thaltej,380059,23.0498219,72.5160441,Daskroi Taluka,Gujarat,GJ,India
Vastral,382418,23.0035442,72.6476882,Daskroi Taluka,Gujarat,GJ,India
Hathijan,382445,23.096851,72.8731587,Dehgam Taluka,Gujarat,GJ,India
Vatva,382440,22.95771,72.61172149,Daskroi Taluka,Gujarat,GJ,India
Vinzol,382445,22.729617,73.115837,Kheda,Gujarat,GJ,India
Khodiyar,382421,23.1497493,72.5412266,Gandhinagar Taluka,Gujarat,GJ,India
Balsasan,382145,23.4169926,72.2764664,Jotana Taluka,Gujarat,GJ,India
Bamroli,382145,23.3978046,72.2702014,Detroj Rampura Taluka,Gujarat,GJ,India
Bhoyani,382145,23.3610646,72.234314,Kadi Taluka,Gujarat,GJ,India
Chuval Dangarva,382145,23.379169,72.458347,Mahesana,Gujarat,GJ,India
Katosan Road,382145,23.4062434,72.2438732,Detroj Rampura Taluka,Gujarat,GJ,India
Madrisana,382145,23.3899186,72.2145087,Detroj Rampura Taluka,Gujarat,GJ,India
Moti Rantai,382145,21.871414,70.153444,Rajkot,Gujarat,GJ,India
Sobhasan,382145,23.552554,72.392736,Mahesana,Gujarat,GJ,India
Sunvala,382145,23.421559,72.239779,Ahmadabad,Gujarat,GJ,India
Telavi,382145,23.44038,72.25782,Ahmadabad,Gujarat,GJ,India
Abasana,382120,24.121083,71.601541,Banas Kantha,Gujarat,GJ,India
