,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
9,11210,OBC,3,1,1.0,2,3,3.0,0,0,0.0
10,11211,OBC,3,1,1.0,1,0,0.0,0,0,0.0
11,11212,OBC,3,1,1.0,1,0,0.0,3,0,2.0
12,11213,OBC,0,0,0.0,0,3,1.0,2,1,3.0
13,11214,OBC,0,0,0.0,1,1,4.0,1,1,1.0
14,11215,OBC,2,2,2.0,4,0,4.0,2,1,3.0
15,11216,OBC,1,3,3.0,4,1,4.0,4,3,2.0
16,11217,OBC,1,3,3.0,0,1,1.0,4,3,2.0
17,11218,OBC,0,0,0.0,1,2,0.0,2,2,4.0
18,11219,OBC,1,3,3.0,0,4,1.0,4,3,2.0
19,11220,OBC,1,3,3.0,0,4,1.0,3,3,2.0
0,11201,Overall,2,3,,2,0,,4,2,
1,11202,Overall,2,3,,1,0,,4,2,
2,11203,Overall,2,3,,2,3,,4,2,
3,11204,Overall,2,3,,1,0,,1,2,
4,11205,Overall,3,1,,1,0,,1,0,
5,11206,Overall,3,1,,2,0,,1,0,
6,11207,Overall,0,1,,4,0,,1,0,
7,11208,Overall,0,1,,4,0,,1,0,
8,11209,Overall,3,4,,2,4,,0,0,
9,11210,Overall,4,4,,4,4,,0,0,
10,11211,Overall,4,2,,0,4,,0,3,
11,11212,Overall,0,2,,4,2,,0,3,
12,11213,Overall,4,2,,0,1,,3,4,
13,11214,Overall,4,2,,0,4,,3,4,
14,11215,Overall,1,0,,0,2,,3,4,
15,11216,Overall,1,0,,3,1,,3,4,
16,11217,Overall,1,0,,0,2,,2,4,
17,11218,Overall,1,0,,0,2,,2,1,
18,11219,Overall,1,0,,0,2,,2,1,
19,11220,Overall,1,0,,3,1,,2,1,
0,11201,SC,0,4,1.0,3,0,1.0,1,0,0.0
1,11202,SC,4,3,4.0,3,1,4.0,4,0,0.0
2,11203,SC,0,4,1.0,3,0,1.0,1,0,0.0
3,11204,SC,1,0,0.0,3,2,1.0,3,1,1.0
4,11205,SC,0,4,1.0,4,0,1.0,1,0,0.0
5,11206,SC,0,4,1.0,3,0,1.0,1,0,0.0
6,11207,SC,0,4,1.0,4,0,1.0,1,0,0.0
7,11208,SC,0,4,1.0,4,0,1.0,1,0,0.0
8,11209,SC,0,1,1.0,0,0,0.0,1,0,0.0
9,11210,SC,0,3,1.0,0,0,0.0,1,0,0.0
10,11211,SC,0,0,0.0,0,0,0.0,3,0,1.0
11,11212,SC,3,2,2.0,0,0,0.0,0,3,4.0
12,11213,SC,1,0,0.0,1,3,3.0,2,1,3.0
13,11214,SC,2,1,3.0,0,1,2.0,0,4,2.0
14,11215,SC,2,1,3.0,0,0,0.0,0,4,2.0
15,11216,SC,2,1,3.0,2,4,2.0,0,2,2.0
16,11217,SC,2,1,3.0,2,4,2.0,0,2,2.0
17,11218,SC,2,1,2.0,0,0,0.0,0,4,2.0
18,11219,SC,2,1,3.0,1,3,3.0,0,4,2.0
19,11220,SC,2,1,3.0,2,4,2.0,0,2,2.0
0,11201,ST,4,0,0.0,2,1,3.0,2,0,4.0
1,11202,ST,0,0,0.0,3,0,4.0,2,3,1.0
2,11203,ST,0,0,0.0,2,3,1.0,2,3,4.0
3,11204,ST,0,0,0.0,2,4,1.0,2,0,4.0
4,11205,ST,0,0,0.0,1,1,3.0,2,0,1.0
5,11206,ST,0,1,1.0,1,1,3.0,0,0,2.0
6,11207,ST,4,0,0.0,3,1,4.0,2,2,1.0
7,11208,ST,0,1,1.0,1,1,3.0,0,0,2.0
8,11209,ST,2,1,1.0,0,3,1.0,0,0,2.0
9,11210,ST,2,1,1.0,3,1,3.0,1,2,1.0
10,11211,ST,2,3,3.0,0,2,1.0,1,2,3.0
11,11212,ST,1,4,2.0,3,0,2.0,0,2,3.0
12,11213,ST,2,3,3.0,1,2,0.0,1,2,3.0
13,11214,ST,1,3,3.0,1,2,0.0,1,4,3.0
14,11215,ST,1,4,2.0,0,2,0.0,1,4,3.0
15,11216,ST,1,4,2.0,0,2,0.0,3,4,0.0
16,11217,ST,1,2,2.0,0,2,0.0,3,4,0.0
17,11218,ST,1,2,4.0,4,0,2.0,3,1,0.0
18,11219,ST,3,2,4.0,4,0,2.0,3,1,0.0
19,11220,ST,3,2,4.0,0,2,0.0,4,1,0.0
