DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
13215,SC,2,2,1,3,1,0,4,1,2
13216,SC,2,2,1,3,1,0,4,1,2
13217,SC,1,3,1,3,1,0,4,1,2
13218,SC,1,3,1,3,1,0,4,1,2
13219,SC,1,3,1,3,1,0,4,1,2
13220,SC,1,3,1,3,1,0,4,1,2
13221,SC,1,3,1,3,1,0,4,1,2
13222,SC,1,3,1,3,1,0,4,1,2
13223,SC,1,3,1,3,1,0,4,3,2
13224,SC,1,3,1,1,3,1,4,3,1
13225,SC,1,3,1,1,1,0,4,1,2
13226,SC,1,3,1,1,1,0,4,3,1
13227,SC,1,3,1,1,3,1,3,3,1
13228,SC,1,3,1,1,3,1,3,3,1
13229,SC,1,3,1,1,3,1,3,3,1
13230,SC,1,3,1,1,1,0,3,3,1
13231,SC,1,4,4,1,3,1,3,3,1
13232,SC,3,4,4,1,3,1,3,3,1
13233,SC,1,4,4,1,3,1,3,3,1
13234,SC,3,4,4,1,3,1,3,3,1
13235,SC,3,4,4,1,3,1,3,3,1
13236,SC,3,4,4,1,3,1,3,2,1
13237,SC,3,4,4,1,3,1,3,2,1
13238,SC,3,4,4,0,3,1,3,2,1
13239,SC,3,4,4,0,3,1,3,2,1
13240,SC,3,4,4,0,0,1,3,2,1
13241,SC,3,0,2,0,0,1,0,2,3
13242,SC,3,4,2,0,0,3,0,2,1
13243,SC,3,4,2,0,3,3,0,2,1
13244,SC,3,0,2,0,0,3,0,2,3
13245,SC,3,0,2,0,0,3,0,2,3
13246,SC,3,0,2,0,0,3,0,2,3
13247,SC,0,0,2,0,0,3,0,2,3
13248,SC,0,0,2,0,0,3,0,2,3
13249,SC,0,0,2,0,0,3,0,2,3
13250,SC,0,0,2,0,0,3,0,2,3
13251,SC,0,0,2,0,0,3,0,2,3
13252,SC,0,0,2,0,0,3,0,2,3
13253,SC,0,0,0,0,0,3,0,0,0
13254,SC,0,0,2,0,0,3,0,0,0
13255,SC,0,0,0,0,0,2,0,0,0
13256,SC,0,0,2,0,0,3,2,0,3
13257,SC,0,0,0,0,2,2,0,0,0
13258,SC,0,0,0,0,0,2,0,0,0
13259,SC,0,0,0,0,2,2,0,0,0
13260,SC,0,1,0,2,2,2,0,0,0
13261,SC,0,1,0,0,2,2,0,0,0
13262,SC,4,1,0,2,2,2,2,0,0
13263,SC,4,1,0,2,2,2,2,0,0
13264,SC,4,1,0,2,2,2,2,0,0
13265,SC,4,1,0,2,2,2,2,0,0
13266,SC,4,1,0,2,2,2,2,0,0
13267,SC,4,1,0,2,2,2,2,0,0
13268,SC,4,1,0,2,2,2,2,0,0
13269,SC,4,1,0,2,2,2,2,0,0
13270,SC,4,1,0,2,2,2,2,0,0
13271,SC,4,1,0,2,2,2,2,0,0
13272,SC,4,1,0,2,2,2,2,0,0
13273,SC,4,1,0,2,2,2,2,0,0
13274,SC,4,1,0,2,2,2,2,0,0
13275,SC,4,1,0,2,2,2,2,0,0
13201,ST,4,4,3,0,2,1,4,2,1
13202,ST,4,4,3,0,0,1,4,2,1
13203,ST,4,4,3,0,2,1,4,2,1
13204,ST,4,4,3,3,2,1,3,2,1
13205,ST,3,2,2,3,0,3,3,0,3
13206,ST,3,4,3,3,0,3,4,2,1
13207,ST,3,4,3,3,0,3,3,0,3
13208,ST,4,4,3,0,0,1,4,2,1
13209,ST,3,4,3,0,2,1,4,2,1
13210,ST,3,4,3,0,2,1,4,2,1
13211,ST,4,4,3,0,2,1,4,2,1
13212,ST,4,4,3,0,2,1,4,2,1
13213,ST,4,4,3,3,2,1,4,2,1
13214,ST,4,4,3,0,2,1,4,2,1
13215,ST,3,4,3,0,2,1,4,2,1
13216,ST,0,4,3,3,0,3,4,2,1
13217,ST,0,4,3,3,0,3,4,2,1
13218,ST,0,4,3,0,2,1,3,0,3
13219,ST,0,4,1,3,0,3,1,2,1
13220,ST,0,4,1,0,2,1,1,2,1
13221,ST,0,4,1,0,2,4,1,2,1
13222,ST,0,3,1,0,2,1,1,2,1
13223,ST,0,3,1,0,2,4,1,2,1
13224,ST,0,3,1,0,0,1,1,2,1
13225,ST,0,3,1,1,2,4,1,2,1
13226,ST,0,3,1,1,2,4,1,2,1
13227,ST,0,3,1,3,0,3,0,0,0
13228,ST,0,3,1,1,2,4,1,3,4
13229,ST,0,3,1,1,2,4,1,3,4
13230,ST,0,3,1,0,2,4,1,3,4
13231,ST,0,3,1,3,2,4,1,3,4
13232,ST,0,3,1,0,2,1,1,3,4
13233,ST,0,3,1,4,0,3,1,3,4
13234,ST,0,3,1,0,2,4,1,3,4
13235,ST,0,3,1,1,2,4,1,3,4
13236,ST,0,3,1,1,2,4,1,3,4
13237,ST,0,3,1,1,2,4,1,3,4
13238,ST,0,3,1,1,2,4,1,3,4
13239,ST,0,3,1,1,2,4,1,3,4
13240,ST,0,3,1,1,0,4,1,1,2
13241,ST,0,3,1,1,2,4,2,3,2
13242,ST,0,3,1,1,2,4,1,3,4
13243,ST,1,2,2,4,0,0,0,0,0
13244,ST,0,0,0,1,2,4,1,4,4
13245,ST,0,0,0,1,2,4,1,4,4
13246,ST,0,0,0,1,2,2,2,3,2
13247,ST,1,2,2,4,3,0,0,0,0
13248,ST,2,0,0,1,1,0,2,3,2
13249,ST,2,0,0,1,1,0,2,3,2
13250,ST,2,0,0,2,4,2,2,4,2
13251,ST,2,1,0,2,4,2,0,1,0
13252,ST,2,0,0,1,1,0,2,4,2
13253,ST,2,0,0,2,4,2,2,4,2
13254,ST,2,0,0,2,1,2,2,4,2
13255,ST,2,0,0,2,4,2,2,4,2
13256,ST,2,0,0,2,4,2,2,4,2
13257,ST,2,0,0,2,4,2,2,4,2
13258,ST,2,0,0,2,4,2,2,4,2
13259,ST,2,0,0,2,4,2,2,4,2
13260,ST,2,0,0,4,3,0,2,1,2
13261,ST,2,0,0,2,4,2,2,4,2
13262,ST,2,0,0,2,4,2,2,4,2
13263,ST,2,0,0,4,4,0,0,1,0
13264,ST,2,0,0,4,3,0,0,1,0
13265,ST,2,0,0,2,4,2,2,4,2
13266,ST,2,0,0,2,4,2,2,4,2
13267,ST,2,0,0,4,1,0,2,4,2
13268,ST,2,0,0,2,1,2,2,1,2
13269,ST,1,1,4,2,1,2,2,1,2
13270,ST,1,1,4,4,3,0,0,1,0
13271,ST,2,0,0,2,4,2,2,1,2
13272,ST,2,0,0,2,1,2,2,1,2
13273,ST,2,0,0,4,3,0,2,1,2
13274,ST,2,0,0,2,4,2,2,1,2
13275,ST,2,0,0,2,4,2,2,4,2
