,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
31,10332,Overall,2,0,,1,1,,0,0,,2.0,2.0,0.0
32,10333,Overall,2,0,,4,2,,0,0,,2.0,3.0,0.0
33,10334,Overall,2,0,,4,4,,0,0,,2.0,2.0,0.0
34,10335,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
35,10336,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
36,10337,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
37,10338,Overall,2,0,,1,4,,0,0,,2.0,2.0,0.0
0,10301,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
1,10302,SC,2,0,2.0,1,0,2.0,1,0,3.0,,,
2,10303,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
3,10304,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
4,10305,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
5,10306,SC,2,0,2.0,1,0,0.0,1,0,3.0,,,
6,10307,SC,2,0,2.0,1,0,0.0,1,0,1.0,,,
7,10308,SC,2,0,2.0,4,0,0.0,1,0,1.0,,,
8,10309,SC,2,0,2.0,4,0,0.0,1,0,1.0,,,
9,10310,SC,2,0,2.0,1,2,2.0,1,0,1.0,,,
10,10311,SC,4,4,0.0,1,0,2.0,0,2,1.0,,,
11,10312,SC,0,2,0.0,1,2,2.0,0,2,1.0,,,
12,10313,SC,0,2,0.0,4,0,0.0,1,0,1.0,,,
13,10314,SC,0,2,0.0,0,0,2.0,0,2,1.0,,,
14,10315,SC,0,2,0.0,0,2,2.0,0,2,1.0,,,
15,10316,SC,0,2,0.0,0,2,2.0,0,2,1.0,,,
16,10317,SC,0,2,0.0,0,2,2.0,4,2,0.0,,,
17,10318,SC,0,2,3.0,0,2,2.0,0,2,0.0,,,
18,10319,SC,0,2,3.0,3,3,3.0,4,2,0.0,,,
19,10320,SC,0,2,3.0,3,3,3.0,0,2,0.0,,,
20,10321,SC,0,3,3.0,0,2,2.0,0,4,0.0,,,
21,10322,SC,3,3,3.0,3,3,3.0,0,4,0.0,,,
22,10323,SC,3,3,3.0,3,3,3.0,0,4,0.0,,,
23,10324,SC,3,3,3.0,0,2,4.0,3,3,4.0,,,
24,10325,SC,3,3,1.0,3,3,3.0,3,3,4.0,,,
25,10326,SC,3,3,1.0,3,3,3.0,3,3,4.0,,,
26,10327,SC,3,3,1.0,3,4,3.0,3,3,4.0,,,
27,10328,SC,3,3,1.0,0,1,4.0,3,3,4.0,,,
28,10329,SC,1,1,1.0,2,4,3.0,2,1,2.0,,,
29,10330,SC,1,1,1.0,2,1,1.0,3,3,4.0,,,
30,10331,SC,1,1,1.0,2,4,3.0,2,1,2.0,,,
31,10332,SC,1,1,1.0,2,1,1.0,2,1,2.0,,,
32,10333,SC,1,1,1.0,0,1,4.0,2,1,2.0,,,
33,10334,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
34,10335,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
35,10336,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
36,10337,SC,1,1,4.0,2,1,1.0,2,1,2.0,,,
37,10338,SC,1,1,4.0,2,4,1.0,2,1,2.0,,,
0,10301,ST,3,2,2.0,0,1,1.0,2,4,2.0,,,
1,10302,ST,3,2,2.0,4,0,4.0,2,2,1.0,,,
2,10303,ST,3,2,2.0,0,1,1.0,3,4,2.0,,,
3,10304,ST,3,2,2.0,0,2,1.0,3,2,2.0,,,
4,10305,ST,3,2,2.0,0,2,1.0,3,4,2.0,,,
5,10306,ST,3,2,2.0,0,2,0.0,3,4,2.0,,,
6,10307,ST,3,2,2.0,4,2,0.0,3,4,2.0,,,
7,10308,ST,3,2,2.0,4,2,0.0,3,4,2.0,,,
8,10309,ST,2,1,1.0,0,1,1.0,1,3,3.0,,,
9,10310,ST,2,1,1.0,0,1,1.0,2,2,2.0,,,
10,10311,ST,2,1,1.0,0,1,1.0,3,4,2.0,,,
11,10312,ST,0,4,4.0,0,2,0.0,2,4,2.0,,,
12,10313,ST,0,4,4.0,1,2,4.0,1,2,1.0,,,
13,10314,ST,0,4,4.0,0,1,1.0,3,4,2.0,,,
14,10315,ST,0,4,4.0,3,2,0.0,2,2,2.0,,,
15,10316,ST,0,4,4.0,0,1,1.0,3,0,2.0,,,
16,10317,ST,0,4,4.0,3,2,0.0,2,2,1.0,,,
17,10318,ST,0,4,4.0,3,1,1.0,2,0,2.0,,,
18,10319,ST,2,1,1.0,1,0,4.0,1,1,1.0,,,
19,10320,ST,0,3,0.0,0,0,0.0,0,0,0.0,,,
20,10321,ST,0,3,0.0,0,1,1.0,0,0,0.0,,,
21,10322,ST,0,3,0.0,3,3,0.0,0,0,0.0,,,
22,10323,ST,0,3,0.0,0,0,0.0,0,0,0.0,,,
23,10324,ST,0,3,0.0,1,3,0.0,0,0,0.0,,,
24,10325,ST,4,3,0.0,3,3,0.0,0,0,0.0,,,
25,10326,ST,4,3,0.0,3,3,0.0,0,0,0.0,,,
26,10327,ST,1,3,3.0,1,0,3.0,0,0,0.0,,,
27,10328,ST,1,3,3.0,3,0,3.0,0,1,0.0,,,
28,10329,ST,4,0,0.0,3,3,0.0,0,1,0.0,,,
29,10330,ST,1,0,3.0,2,4,2.0,1,1,1.0,,,
30,10331,ST,1,0,3.0,3,0,3.0,0,1,0.0,,,
31,10332,ST,1,0,3.0,3,3,3.0,4,0,4.0,,,
32,10333,ST,1,0,3.0,2,0,2.0,4,0,4.0,,,
33,10334,ST,1,0,3.0,2,4,2.0,4,0,4.0,,,
34,10335,ST,1,0,3.0,2,4,2.0,4,0,4.0,,,
35,10336,ST,1,0,3.0,3,3,0.0,4,0,4.0,,,
36,10337,ST,1,0,3.0,2,4,2.0,4,0,4.0,,,
37,10338,ST,1,0,3.0,1,0,3.0,4,0,4.0,,,
