Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude
HAILAKANDI,Overall,7.84,9.36,8.61,7.53,10.4,8.91,19.37,19.13,19.25,10216,24.68797,92.56921
HOJAI,General,1.89,0.71,1.31,6.4,7.31,6.81,30.82,33.55,31.95,10217,26.01534,92.86524
HOJAI,OBC,4.22,4.44,4.33,4.25,5.71,4.95,24.28,26.22,25.15,10217,26.01534,92.86524
HOJAI,SC,1.55,1.57,1.56,0.0,11.03,3.57,30.59,38.36,34.06,10217,26.01534,92.86524
HOJAI,ST,1.59,3.13,2.36,1.55,5.15,3.24,15.56,11.48,13.73,10217,26.01534,92.86524
HOJAI,Overall,2.1,1.36,1.74,4.68,7.56,6.0,29.27,32.39,30.61,10217,26.01534,92.86524
JORHAT,General,7.0,7.19,7.1,5.56,12.3,9.03,8.16,15.98,12.21,10218,26.7577925,94.2079645
JORHAT,OBC,0.34,0.93,0.64,3.99,4.98,4.49,19.29,18.12,18.72,10218,26.7577925,94.2079645
JORHAT,SC,4.46,3.87,4.15,3.01,0.0,1.4,12.29,3.31,7.75,10218,26.7577925,94.2079645
JORHAT,ST,0.0,0.0,0.0,6.6,2.22,4.4,13.2,7.57,10.47,10218,26.7577925,94.2079645
JORHAT,Overall,2.14,2.46,2.3,4.48,5.95,5.22,15.29,15.02,15.16,10218,26.7577925,94.2079645
KAMRUP-METRO,General,3.55,3.35,3.45,1.73,3.19,2.47,5.83,5.97,5.9,10219,,
KAMRUP-METRO,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10219,,
KAMRUP-METRO,SC,2.2,0.16,1.16,4.66,5.47,5.05,22.57,18.49,20.55,10219,,
KAMRUP-METRO,ST,7.42,7.69,7.56,3.73,1.54,2.65,1.83,6.89,4.26,10219,,
KAMRUP-METRO,Overall,2.48,1.86,2.17,1.0,2.33,1.66,6.21,6.47,6.34,10219,,
KAMRUP-RURAL,General,8.15,11.07,9.64,14.14,17.1,15.56,28.47,29.7,29.05,10220,,
KAMRUP-RURAL,OBC,0.0,0.0,0.0,0.96,2.05,1.51,28.31,23.66,26.02,10220,,
KAMRUP-RURAL,SC,0.0,0.0,0.0,0.0,0.0,0.0,22.45,23.68,23.04,10220,,
KAMRUP-RURAL,ST,2.79,6.47,4.66,1.23,5.13,3.2,26.78,29.49,28.11,10220,,
KAMRUP-RURAL,Overall,5.28,8.23,6.78,9.98,12.34,11.13,27.77,28.23,27.99,10220,,
KARBI ANGLONG,General,5.86,11.42,8.76,4.49,8.81,6.68,0.0,0.0,0.0,10221,26.4073841,93.2551303
KARBI ANGLONG,OBC,8.15,11.25,9.73,9.12,9.84,9.47,20.32,24.6,22.36,10221,26.4073841,93.2551303
KARBI ANGLONG,SC,0.0,0.15,0.0,4.76,5.5,5.14,31.35,26.19,28.94,10221,26.4073841,93.2551303
KARBI ANGLONG,ST,9.22,10.49,9.86,8.18,9.5,8.82,16.84,16.34,16.6,10221,26.4073841,93.2551303
KARBI ANGLONG,Overall,8.01,10.09,9.06,7.86,9.2,8.52,16.44,17.05,16.74,10221,26.4073841,93.2551303
KARIMGANJ,General,4.59,8.0,6.32,8.46,15.74,11.86,24.73,25.75,25.18,10222,24.84512,92.33266
KARIMGANJ,OBC,8.43,11.56,10.02,16.44,20.21,18.22,34.61,31.83,33.37,10222,24.84512,92.33266
KARIMGANJ,SC,8.91,11.45,10.19,4.9,6.62,5.73,25.48,27.91,26.6,10222,24.84512,92.33266
KARIMGANJ,ST,12.94,20.3,16.78,16.29,8.75,12.61,0.0,0.0,0.0,10222,24.84512,92.33266
KARIMGANJ,Overall,5.96,9.28,7.65,9.56,15.25,12.24,26.35,26.75,26.53,10222,24.84512,92.33266
KOKRAJHAR,General,6.85,7.94,7.4,9.56,12.95,11.21,26.54,23.93,25.3,10223,26.404638,90.272383
KOKRAJHAR,OBC,4.97,5.09,5.03,3.13,5.85,4.5,16.81,20.73,18.85,10223,26.404638,90.272383
KOKRAJHAR,SC,2.72,4.22,3.48,0.0,0.98,0.0,7.3,16.79,12.12,10223,26.404638,90.272383
KOKRAJHAR,ST,8.53,8.5,8.52,6.13,5.54,5.84,7.36,6.42,6.88,10223,26.404638,90.272383
KOKRAJHAR,Overall,6.68,7.21,6.95,6.42,8.35,7.38,16.5,16.6,16.54,10223,26.404638,90.272383
LAKHIMPUR,General,1.32,3.41,2.37,1.17,4.76,2.84,19.67,17.7,18.8,10224,27.2487641,94.0785241
LAKHIMPUR,OBC,7.36,6.65,6.99,9.74,12.37,11.04,11.1,13.78,12.42,10224,27.2487641,94.0785241
LAKHIMPUR,SC,7.25,8.69,7.97,14.85,16.9,15.88,20.39,17.91,19.16,10224,27.2487641,94.0785241
LAKHIMPUR,ST,2.7,0.23,1.46,4.74,2.92,3.84,2.63,5.2,3.91,10224,27.2487641,94.0785241
LAKHIMPUR,Overall,4.14,4.06,4.1,6.27,7.92,7.08,11.89,12.32,12.1,10224,27.2487641,94.0785241
MAJULI,General,9.42,6.75,8.0,0.0,3.48,1.88,17.76,14.93,16.28,10225,27.021952849999998,94.32742302965544
MAJULI,OBC,5.04,3.45,4.22,2.55,0.0,0.7,14.89,17.81,16.37,10225,27.021952849999998,94.32742302965544
MAJULI,SC,8.67,9.8,9.24,23.23,13.63,18.37,24.27,11.24,17.75,10225,27.021952849999998,94.32742302965544
MAJULI,ST,2.08,3.79,2.96,7.99,9.0,8.52,5.0,10.48,7.82,10225,27.021952849999998,94.32742302965544
MAJULI,Overall,4.33,4.96,4.65,8.67,7.45,8.03,11.18,12.46,11.84,10225,27.021952849999998,94.32742302965544
MORIGAON,General,3.51,7.94,5.71,9.16,16.79,12.49,25.74,30.27,27.49,10226,26.2551482,92.3290878
MORIGAON,OBC,4.78,6.14,5.47,0.03,1.02,0.53,19.83,15.15,17.57,10226,26.2551482,92.3290878
MORIGAON,SC,0.0,1.91,0.0,0.0,3.2,0.77,24.08,23.72,23.9,10226,26.2551482,92.3290878
MORIGAON,ST,4.93,4.11,4.52,0.0,2.52,0.45,22.84,27.67,25.24,10226,26.2551482,92.3290878
MORIGAON,Overall,3.08,6.59,4.83,5.51,10.81,7.96,24.32,26.34,25.19,10226,26.2551482,92.3290878
NAGAON,General,6.53,9.43,7.99,13.15,19.84,16.05,26.24,26.52,26.35,10227,26.31275,92.66879
NAGAON,OBC,2.57,4.66,3.61,5.86,10.36,8.11,10.76,10.64,10.7,10227,26.31275,92.66879
NAGAON,SC,1.38,1.19,1.28,2.99,4.08,3.53,16.93,12.74,15.04,10227,26.31275,92.66879
NAGAON,ST,2.05,3.74,2.92,5.77,4.67,5.22,21.71,10.78,16.55,10227,26.31275,92.66879
NAGAON,Overall,5.46,7.99,6.73,11.22,16.28,13.5,22.91,20.8,22.03,10227,26.31275,92.66879
NALBARI,General,5.91,7.8,6.87,7.59,9.18,8.36,15.75,14.56,15.18,10228,26.43387,91.46581
NALBARI,OBC,5.32,8.84,7.07,2.64,0.0,1.27,13.86,8.58,11.37,10228,26.43387,91.46581
NALBARI,SC,3.67,5.83,4.76,3.76,5.66,4.67,19.29,22.51,20.85,10228,26.43387,91.46581
NALBARI,ST,9.85,8.48,9.18,3.88,4.11,3.99,0.0,0.0,0.0,10228,26.43387,91.46581
NALBARI,Overall,5.78,7.78,6.8,6.58,7.61,7.09,15.11,13.63,14.4,10228,26.43387,91.46581
SIBSAGAR,General,1.6,1.31,1.45,0.03,0.0,0.0,5.5,4.23,4.88,10229,26.9836004,94.64003928093557
SIBSAGAR,OBC,0.65,3.58,2.14,7.09,7.42,7.26,18.68,16.28,17.5,10229,26.9836004,94.64003928093557
SIBSAGAR,SC,0.0,0.0,0.0,3.12,0.0,0.0,6.9,11.05,9.08,10229,26.9836004,94.64003928093557
SIBSAGAR,ST,0.0,0.0,0.0,0.0,0.0,0.0,6.66,9.5,8.1,10229,26.9836004,94.64003928093557
SIBSAGAR,Overall,0.1,2.3,1.22,4.77,4.03,4.41,14.44,13.06,13.76,10229,26.9836004,94.64003928093557
SONITPUR,General,1.11,2.13,1.62,2.76,9.18,5.78,33.58,31.05,32.49,10230,26.4073841,93.2551303
SONITPUR,OBC,6.8,6.75,6.77,8.57,12.93,10.72,23.3,25.91,24.5,10230,26.4073841,93.2551303
SONITPUR,SC,5.54,6.22,5.87,4.45,10.34,7.43,28.14,24.13,26.19,10230,26.4073841,93.2551303
SONITPUR,ST,10.3,12.74,11.53,3.25,4.27,3.74,29.21,25.65,27.51,10230,26.4073841,93.2551303
SONITPUR,Overall,4.83,5.58,5.21,5.24,10.18,7.63,28.54,27.51,28.07,10230,26.4073841,93.2551303
SOUTH SALMARA-MANKACHAR,General,17.28,22.68,20.0,21.73,23.63,22.55,31.43,25.89,29.08,10231,25.905691400000002,89.99180573780464
SOUTH SALMARA-MANKACHAR,OBC,16.03,15.38,15.7,8.2,28.08,18.65,63.16,46.48,56.02,10231,25.905691400000002,89.99180573780464
SOUTH SALMARA-MANKACHAR,SC,5.59,10.64,8.11,17.29,6.01,12.09,57.41,53.49,56.05,10231,25.905691400000002,89.99180573780464
SOUTH SALMARA-MANKACHAR,ST,13.21,16.88,15.14,28.0,22.61,25.42,32.69,48.94,40.4,10231,25.905691400000002,89.99180573780464
SOUTH SALMARA-MANKACHAR,Overall,17.1,22.44,19.8,21.6,23.47,22.41,32.56,26.93,30.18,10231,25.905691400000002,89.99180573780464
TAMULPUR,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10232,26.67409,91.58165
TAMULPUR,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10232,26.67409,91.58165
