"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:22 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Haryana,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNAL,SC,0.83,0.78,0.81,0,0,0,17.61,21.71,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNAL,ST,0,0,0,0,0,0,0,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNAL,Overall,1.79,1.54,1.66,0.63,0.87,0.76,11.59,15.2,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUKSHETRA,General,0,0,0,1.68,0,0,4.82,7.11,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUKSHETRA,OBC,2.55,3.68,3.17,1.45,0.67,1.03,10.63,14.6,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUKSHETRA,SC,0.04,1.44,0.78,0,0,0,12.04,17.31,14.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUKSHETRA,ST,0,0,0,0,0,0,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KURUKSHETRA,Overall,0.73,0,0.34,0.81,0,0,9.22,12.56,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHENDRAGARH,General,0.86,0,0,0.22,0,0,3.17,7.31,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHENDRAGARH,OBC,0,0,0,0,0,0,2.17,2.68,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHENDRAGARH,SC,1.45,0.3,0.84,0,0.82,0.17,6.58,11.72,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHENDRAGARH,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHENDRAGARH,Overall,0,0,0,0,0,0,3.36,5.59,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUH,General,0,0,0,7.58,0.29,3.56,9.69,9.2,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUH,OBC,0,0,0,3.33,1.58,2.31,8.99,10.28,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUH,SC,1.52,4.53,3.09,8,4.63,6.26,9.12,22.27,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUH,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUH,Overall,0,0,0,4.12,1.71,2.73,9.1,11.43,10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALWAL,General,0,0,0,0,0,0,7.32,2.98,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALWAL,OBC,2.45,3.12,2.82,8.31,8.18,8.24,19.2,22.04,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALWAL,SC,0.36,1.32,0.85,0.67,2.47,1.61,18.61,15.57,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALWAL,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALWAL,Overall,0.49,0.25,0.36,2.82,1.86,2.29,13.93,12.24,12.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCHKULA,General,2.04,1.32,1.65,1.94,3.72,2.92,18.07,23.38,20.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCHKULA,OBC,2.32,4.51,3.5,5.61,6.31,5.97,12.85,18.89,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCHKULA,SC,1.87,2.89,2.4,5.1,2.48,3.75,14.7,20.09,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCHKULA,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCHKULA,Overall,2.06,2.12,2.09,3.19,4.02,3.64,16.34,21.83,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANIPAT,General,2.25,2.63,2.46,1.01,0.43,0.68,8.47,9.91,9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANIPAT,OBC,6.25,7.41,6.89,7.79,7.83,7.82,12.18,17.23,14.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANIPAT,SC,3.78,5.9,4.92,4.65,5.15,4.91,14.8,21.43,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANIPAT,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANIPAT,Overall,3.95,4.88,4.46,4.17,3.81,3.98,11.12,14.52,12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REWARI,General,0.56,0.09,0.29,3.04,0.11,1.35,3.3,8.9,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REWARI,OBC,0,0,0,0,0,0,2.62,3.91,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REWARI,SC,0.69,0.25,0.45,1.73,0,0.54,8.37,14.3,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REWARI,ST,50,0,0,0,4.76,4.76,0,14.29,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REWARI,Overall,0.01,0,0,1.32,0,0.21,4.24,7.71,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAK,General,2.37,0.55,1.34,0,0,0,6.17,8.54,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROHTAK,OBC,8.57,9.24,8.93,3.81,5.03,4.46,7.87,16.67,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
