"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Madhya Pradesh,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATARPUR,Overall,0,0,0,2.13,1.23,1.65,25.95,29.26,27.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHINDWARA,General,0.52,4.35,2.53,1.63,3.19,2.46,12.42,18.87,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHINDWARA,OBC,0.37,0.93,0.66,2.16,3.1,2.65,13.91,19.36,16.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHINDWARA,SC,3.71,2.83,3.26,2.92,3.12,3.02,10.7,17.36,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHINDWARA,ST,0,0,0,5.21,6.48,5.85,24.5,32.3,28.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHINDWARA,Overall,0,0.31,0.15,3.54,4.55,4.06,17.55,24.19,20.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMOH,General,5.83,7.12,6.49,8.13,3.82,5.91,8.8,6.2,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMOH,OBC,0.69,1.08,0.89,2.44,4.1,3.3,18.89,20.15,19.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMOH,SC,0,0,0,4.25,3.67,3.94,21.32,25.29,23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMOH,ST,0,2.44,1.2,15.28,15.48,15.38,31.81,37.2,34.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMOH,Overall,0.7,1.39,1.06,5.31,5.77,5.55,19.76,21.69,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATIA,General,6.23,4.78,5.44,7,5.82,6.36,15.24,12.98,13.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATIA,OBC,0,0.25,0,6.21,3.87,4.97,27.46,24.37,25.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATIA,SC,0.26,0,0,5.15,2.89,3.95,33.85,32.15,32.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATIA,ST,5.96,8.39,7.24,21.46,18.07,19.65,17.86,34.48,29.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATIA,Overall,0.35,0.64,0.5,6.32,4.13,5.15,27.5,25.16,26.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWAS,General,5.61,2.18,3.81,15.71,11.61,13.62,15.41,17.86,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWAS,OBC,0,0,0,2.37,0,0.7,20.41,12.79,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWAS,SC,0,0,0,0,0,0,15.41,6.94,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWAS,ST,1.85,1.9,1.88,5.74,4.37,5.04,18.64,34.39,27.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWAS,Overall,0,0,0,4.86,1.55,3.15,18.3,16.93,17.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAR,General,0,0,0,4.74,0,1.73,20.79,20.29,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAR,OBC,7.24,4.36,5.73,12.03,7.97,9.89,23.1,22.95,23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAR,SC,1.62,0,0.57,13.32,14.04,13.7,29.72,30.2,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAR,ST,0,0,0,8.94,7.61,8.23,23.21,31.17,27.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAR,Overall,1.53,0,0.47,9.65,7.47,8.5,23.47,27.9,25.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
