"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:22 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Jammu & Kashmir,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KULGAM,Overall,6.22,7.81,7.02,4.94,4.89,4.91,3.34,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUPWARA,General,7.14,8.54,7.86,7.36,6.64,6.99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUPWARA,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUPWARA,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUPWARA,ST,2.84,4.68,3.77,13.72,5.17,9.26,14.41,0,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUPWARA,Overall,5.45,7.01,6.25,5,3.01,3.97,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULWAMA,General,2.32,2.33,2.33,2.23,1.84,2.03,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULWAMA,OBC,11.94,14.81,13.39,2.64,0.76,1.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULWAMA,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULWAMA,ST,5.01,5.71,5.38,16.12,2.28,8.78,18.59,12.35,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULWAMA,Overall,3.44,3.78,3.62,3.05,1.77,2.41,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,General,9.49,7.61,8.52,10.07,4.95,7.41,18.82,10.96,14.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,OBC,14.92,11.77,13.28,25.88,19.3,22.57,0,20.18,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,SC,35.04,19.85,26.88,29.17,57.58,40.74,92.31,94.44,93.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,ST,0,0,0,0.15,0,0,7.35,0,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUNCH,Overall,5.56,4.33,4.93,7.33,2.29,4.71,14.54,7.18,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJAURI,General,4.31,6.92,5.71,4.51,2.32,3.32,4.06,0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJAURI,OBC,4.49,3.65,4.07,20.34,21,20.66,25.54,35.21,30.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJAURI,SC,9.1,7.57,8.31,16.3,17.71,17.06,19.78,19.56,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJAURI,ST,5.91,6,5.96,9.02,6.25,7.55,22.39,2.82,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJAURI,Overall,5.22,6.44,5.87,7.71,5.5,6.52,12.04,3.73,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMBAN,General,4.7,5.79,5.27,3.67,0.87,2.21,23.52,21.84,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMBAN,OBC,4.6,4.85,4.73,18.47,18.18,18.32,69.88,67.5,68.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMBAN,SC,3.73,3.06,3.39,13.82,6.53,10.13,39.28,42.02,40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMBAN,ST,7.17,7.07,7.12,9.89,6.8,8.27,40.72,40.33,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
