"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:20 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Assam,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-METRO,OBC,0,0,0,0,0,0,8.44,7.3,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-METRO,SC,0,2.08,1.05,0,0.28,0,24.81,19.86,22.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-METRO,ST,0,0.01,0,0,0.61,0,12.5,3.13,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-METRO,Overall,1.69,1.52,1.61,0,0.84,0.18,13.78,11.05,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-RURAL,General,0.47,0.25,0.36,4.76,5.7,5.21,34.56,29.96,32.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-RURAL,OBC,0,0,0,0,0,0,39.18,35.94,37.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-RURAL,SC,0,0,0,14.52,11.78,13.16,36.81,38.29,37.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-RURAL,ST,8.13,8.63,8.38,4.72,1.37,3.04,42.93,41.97,42.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAMRUP-RURAL,Overall,0.55,0.54,0.54,4.55,4.76,4.65,36.41,33.12,34.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBI ANGLONG,General,0,0,0,0,0,0,24.97,17.71,21.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBI ANGLONG,OBC,1.78,2.78,2.3,3.44,7.49,5.46,38.38,36.29,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBI ANGLONG,SC,4.71,5.98,5.34,0,0,0,42.67,45.3,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBI ANGLONG,ST,2.53,3.91,3.22,1.61,3.11,2.34,30.61,29.31,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARBI ANGLONG,Overall,2.19,3.39,2.8,1.05,3.28,2.15,33.33,31.76,32.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,General,4.9,8.34,6.66,10,14.72,12.22,30.56,29.88,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,OBC,0.34,3.9,2.16,6.65,6.01,6.35,28.69,34.72,31.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,SC,0,0.6,0,4.43,9.62,6.95,40.07,30.23,35.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,ST,21.76,19.57,20.65,7.07,5.97,6.54,46.32,47.28,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
