"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Rajasthan,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAULPUR,General,1.57,0,0.35,0.61,0,0,7.99,4.62,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAULPUR,OBC,1.8,1.4,1.59,4.7,4.62,4.65,17.67,11.57,14.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAULPUR,SC,1.12,1.94,1.55,3.67,5.12,4.44,20.54,13.85,16.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAULPUR,ST,0,0,0,2.68,0,0.57,16.02,3.34,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAULPUR,Overall,1.35,0.97,1.15,3.5,3.23,3.35,15.8,9.78,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGARPUR,General,0,0,0,0,0,0,1.92,5.11,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGARPUR,OBC,0,0,0,0.14,0,0,4.41,4.95,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGARPUR,SC,1.38,0,0,1.42,4.3,3.01,11.5,11.26,11.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGARPUR,ST,2.39,2.11,2.24,3.2,4.95,4.1,10.92,14.45,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGARPUR,Overall,1.35,0.73,1.04,2.47,3.75,3.14,9.7,12.36,11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANGANAGAR,General,3.85,3.24,3.52,1.6,0.01,0.72,5.97,5.35,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANGANAGAR,OBC,0.16,1.15,0.69,1.55,1.01,1.25,4.8,7.6,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANGANAGAR,SC,1.93,1.93,1.93,3.49,4.81,4.18,10.13,13.19,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANGANAGAR,ST,4.36,1,2.51,0,0.74,0,19.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANGANAGAR,Overall,1.51,1.79,1.66,2.37,2.53,2.46,7.47,9.33,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANUMANGARH,General,2.06,5.17,3.7,1.39,1.77,1.6,3.24,8.34,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANUMANGARH,OBC,2.77,2.53,2.64,1.48,0.93,1.19,5.14,5.57,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANUMANGARH,SC,2.72,3.07,2.9,2.92,3.86,3.41,7.15,10.3,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANUMANGARH,ST,0,0,0,0,0,0,15.76,0.56,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANUMANGARH,Overall,2.55,2.84,2.7,1.93,1.92,1.93,5.69,7.38,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIPUR,General,1.34,1.09,1.21,2.37,2.15,2.26,4.86,6.75,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIPUR,OBC,0.86,0.1,0.45,1.48,0.72,1.07,5.15,4.34,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIPUR,SC,2.43,2.05,2.22,1.95,2.9,2.47,8.46,9.44,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIPUR,ST,1.95,1.52,1.72,0,0.05,0,4.16,4.6,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAIPUR,Overall,1.41,0.92,1.14,1.67,1.5,1.58,5.54,5.97,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAISALMER,General,1.94,2.49,2.24,7.3,3.12,4.84,9.76,7.45,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAISALMER,OBC,5.7,5.95,5.84,6.39,5.04,5.56,7.4,9.49,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAISALMER,SC,1.56,4.91,3.36,4.79,3.82,4.24,9.8,7.58,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAISALMER,ST,2.48,3.63,3.13,9.22,8.4,8.69,11.98,11.25,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAISALMER,Overall,3.82,4.72,4.31,6.53,4.5,5.32,8.84,8.56,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALOR,General,0,0,0,2.89,1.78,2.29,14.18,14.42,14.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALOR,OBC,0.8,0,0.26,5.78,2.57,4.02,12.21,13.19,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALOR,SC,0.3,0,0,5.26,3.67,4.39,9.97,10.91,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALOR,ST,1.17,2.07,1.67,9.32,8.91,9.05,21.49,20.53,20.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALOR,Overall,0.38,0,0,5.42,3.27,4.23,12.48,13.38,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHALAWAR,General,0.4,0,0,1.93,0.97,1.42,10.53,9.8,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHALAWAR,OBC,0.89,0.26,0.56,2.98,1.97,2.45,11,9.72,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHALAWAR,SC,0.32,0,0,3.42,4.65,4.08,17.59,15.59,16.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
