"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:24 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Karnataka,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,SC,0,0,0,0,0.19,0,13.22,16.2,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,ST,0,0,0,1.05,2.13,1.59,18.78,21.09,19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMARAJANAGARA,Overall,0,0,0,0.24,1.22,0.74,16.75,19.72,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,General,12.58,13.12,12.88,15.3,14.42,14.84,33.08,32.55,32.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,OBC,1.86,2.35,2.12,1.63,1.96,1.8,5.23,9.92,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,SC,0.48,0.82,0.66,2.05,1.86,1.96,11.54,8.93,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,ST,1.76,1.26,1.5,2.05,0.08,1.07,11.94,10.51,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKABALLAPURA,Overall,1.83,2.22,2.03,2.37,2.23,2.3,8.79,10.43,9.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,General,7.49,8.58,8.05,4.5,4.73,4.63,17.13,15.08,16.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,OBC,0,0,0,0,0.25,0.1,17.51,22.6,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,SC,0.33,0.41,0.37,0,0,0,18.72,21.39,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,ST,0,0,0,0,0,0,8.25,20.87,14.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKKAMANGALURU,Overall,0,0,0,0,0.12,0.05,17.36,21.94,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,General,12.05,9,10.41,11.39,11.38,11.39,33.33,42.04,38.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,OBC,0,0,0,0,0,0,15.99,18.31,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,SC,0,0,0,0,0,0,20.91,17.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,ST,0.29,0.86,0.58,0,0,0,22.47,15.72,18.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHITRADURGA,Overall,0,0.13,0,0,0,0,18.86,18.12,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,General,8.11,7.62,7.85,6.82,7.58,7.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,OBC,0,0.03,0,0,0,0,2.98,7.97,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,SC,1.21,1.07,1.14,1.38,1.7,1.55,13.61,20.26,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,ST,1.97,2.41,2.2,0.99,1.47,1.24,9.31,18.34,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAKSHINA KANNADA,Overall,0.5,0.73,0.62,0.31,0,0.02,3.02,7.99,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANAGERE,General,2.95,0.66,1.69,3.84,4.06,3.96,17.2,25.48,21.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANAGERE,OBC,0,0,0,0,0,0,8.49,15.58,12.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANAGERE,SC,0,0,0,0,0,0,16.29,17.48,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANAGERE,ST,0.16,0,0.08,0,0.02,0,13.06,18.07,15.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAVANAGERE,Overall,0,0,0,0,0,0,11.36,17.11,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD,General,7.69,7.73,7.72,4.38,6.99,5.79,15.64,25.31,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD,OBC,0,0,0,0.42,0,0,8.52,8.83,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD,SC,0,0,0,0.45,0,0,14.32,7.5,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD,ST,0,0.68,0,1.32,1.58,1.46,12.84,11.2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHARWAD,Overall,0,0.22,0.02,1.06,0.42,0.74,10.39,11.41,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADAG,General,19.2,20.76,20.04,13.26,18.94,16.42,37.67,37,37.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADAG,OBC,0,0.07,0,0,0,0,13.91,17.66,15.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADAG,SC,0.1,0.56,0.33,0,1.46,0.52,19.83,19.33,19.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADAG,ST,0,0,0,0,1.52,0,12.34,12.24,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GADAG,Overall,0.23,0.77,0.51,0.01,0.83,0.42,15.52,18.27,16.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSAN,General,10.68,11.1,10.9,11.4,12.91,12.21,32.12,37.18,34.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSAN,OBC,0,0,0,0,0,0,7.3,14.77,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSAN,SC,0,0,0,0,0,0,9.44,14.04,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSAN,ST,0.59,3.08,1.83,1.22,0,0.19,16.88,12.16,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASSAN,Overall,0,0,0,0,0,0,8.67,15.2,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERI,General,12.75,10.25,11.39,9.7,11.57,10.77,36.77,33.42,35.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERI,OBC,0,0.66,0.13,0.03,0.04,0.03,17.32,24.64,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERI,SC,0,0.4,0.01,0.96,0,0.22,21.43,23.29,22.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERI,ST,0,0,0,0,0,0,18.2,22.77,20.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERI,Overall,0,0.8,0.33,0.3,0.15,0.22,18.58,24.53,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALBURGI,General,13.83,12.13,12.93,20.51,19.03,19.71,45.96,48,47.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALBURGI,OBC,0.69,1.27,0.99,2.53,3.37,2.96,20.4,22.71,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALBURGI,SC,1.75,1.78,1.77,4.23,4.37,4.31,23.81,24.79,24.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALBURGI,ST,6.42,5.88,6.14,6.5,6.26,6.38,27.97,28.06,28.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALBURGI,Overall,1.69,2.03,1.86,3.82,4.45,4.14,22.36,24.5,23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODAGU,General,3.69,0.9,2.16,18.35,9.35,13.11,0,18.54,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODAGU,OBC,0,0,0,0,0,0,13.43,17,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODAGU,SC,0,0,0,0,0,0,8.67,18.73,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODAGU,ST,0,0,0,0.71,2.79,1.72,26.49,28.31,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KODAGU,Overall,0,0,0,0,0,0,13.49,18.41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAR,General,12.99,12.42,12.67,14.24,16.02,15.19,36.11,41.43,38.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAR,OBC,0,0,0,0.15,0,0.06,12,15.97,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAR,SC,0.26,0.65,0.46,0.38,0,0.12,12.37,17.52,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAR,ST,1.74,1.72,1.73,0,0,0,21.16,21.11,21.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLAR,Overall,0.42,0.8,0.62,0.77,0.66,0.7,13.46,17.71,15.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPPAL,General,19.87,20.44,20.18,25.62,21.78,23.7,15.34,34.57,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPPAL,OBC,0,0,0,0.85,0.53,0.68,21.54,24.65,23.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPPAL,SC,0,0,0,4.8,2.34,3.53,25.04,26.55,25.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPPAL,ST,0,0,0,1.53,3.66,2.61,21.22,27.08,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOPPAL,Overall,0,0,0,2.43,1.85,2.14,22,25.56,23.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDYA,General,15.87,12.02,13.76,14.77,20.84,18.26,35.44,51.56,45.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDYA,OBC,1.72,2.54,2.16,0.75,1.35,1.06,11.11,17.4,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDYA,SC,0.75,1.06,0.91,0.57,1.8,1.21,13.63,17.35,15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDYA,ST,3.07,5.11,4.13,0,3.45,1.8,26.24,11.45,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDYA,Overall,1.99,2.66,2.34,1.1,2.15,1.65,12.29,18.33,15.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSURU,General,6.57,6.17,6.36,5.38,9.01,7.39,3.99,2.27,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSURU,OBC,1.59,1.87,1.74,1.87,1.93,1.91,9.61,15.38,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSURU,SC,0.66,2.02,1.35,0.97,1.59,1.28,8.03,11.67,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSURU,ST,0.81,0.96,0.89,1.99,2.48,2.23,18.59,19.12,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYSURU,Overall,1.66,2.1,1.9,1.95,2.5,2.23,10,14.23,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAICHUR,General,7.91,7.06,7.45,17.26,14.67,15.9,46.31,40.19,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAICHUR,OBC,0.77,1.23,1.01,2.93,3,2.96,19.75,18.69,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAICHUR,SC,0,1.09,0.52,4.59,4.17,4.37,20.92,18.76,19.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAICHUR,ST,0.09,0.82,0.47,5.06,4.52,4.79,23.81,17.04,20.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAICHUR,Overall,0.63,1.28,0.97,4.31,4.09,4.2,21.73,19.19,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMANAGARA,General,8.29,15.04,11.97,3.99,1.71,2.66,51.86,52.27,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMANAGARA,OBC,0,0,0,0,0.66,0.25,13.77,24.08,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMANAGARA,SC,0,0,0,0.77,0,0.1,13.23,24.3,19.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMANAGARA,ST,1.35,2.79,2.08,1.53,3.96,2.79,23.41,31.94,28.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMANAGARA,Overall,0,0.16,0,0.23,0.59,0.41,14.98,25.33,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVAMOGGA,General,22.47,22.18,22.32,20.83,20,20.39,13.67,26.31,20.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVAMOGGA,OBC,0,0,0,0,0,0,12.55,23.9,18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVAMOGGA,SC,0.14,0.95,0.55,0.31,1.18,0.75,18.59,27.39,23.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVAMOGGA,ST,0,1.56,0.4,0,0,0,11.19,26.63,19.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVAMOGGA,Overall,0.84,1.21,1.03,0.8,0.6,0.7,13.73,24.83,19.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU,General,15.81,16,15.91,10.08,3.4,6.37,30.97,25.09,27.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU,OBC,0.37,1.19,0.79,0.65,3.84,2.37,3.97,17.67,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU,SC,0.05,0.17,0.11,0.88,2.6,1.79,6.88,15.89,11.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU,ST,0.78,1.05,0.92,1.94,1.95,1.95,0,15.67,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU,Overall,1.16,1.87,1.53,1.29,3.49,2.47,5.32,17.54,12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU MADHUGIRI,General,13.85,14.39,14.15,2.11,8.77,5.84,32.47,28.2,30.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUMAKURU MADHUGIRI,OBC,0,0,0,0,0,0,14.71,19.77,17.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
