"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:21 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Gujarat,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMNAGAR,OBC,0,0.65,0.29,8.88,7.65,8.23,27.18,35.11,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMNAGAR,SC,7.52,3.23,5.31,15.2,9.37,12.21,35.04,42.84,39.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMNAGAR,ST,6.87,8.07,7.62,21.05,25.15,23.68,30.28,31.74,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMNAGAR,Overall,2.92,2.5,2.69,8.6,7.88,8.22,24.3,30.81,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNAGADH,General,0.26,0.17,0.21,2.25,0,0.84,10.64,20.83,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNAGADH,OBC,0.16,0.49,0.33,3.06,2.97,3.01,25.76,34,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNAGADH,SC,0,0.82,0.25,0.42,0.26,0.34,26.45,37.18,32.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNAGADH,ST,1.73,1.12,1.4,0,3.8,1.91,32.41,35.73,34.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNAGADH,Overall,0.19,0.49,0.35,2.46,2.01,2.22,23.23,31.46,27.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KACHCHH,General,0.33,1.45,0.93,8.11,3.47,5.66,20.17,25.59,23.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KACHCHH,OBC,1.33,1.66,1.5,11.7,9.7,10.61,23.82,32.39,29.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KACHCHH,SC,0.38,0.74,0.56,7.65,6.25,6.91,24.97,32.76,29.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KACHCHH,ST,4.1,4.17,4.14,10.13,17.16,14.27,20.88,45.48,37.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KACHCHH,Overall,0.93,1.54,1.25,9.71,7.14,8.33,22.44,30.06,26.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHEDA,General,0,0.42,0.19,1.87,2.03,1.96,15.33,18.88,17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHEDA,OBC,0.37,0,0.03,4.28,1.93,3.04,27.63,28.61,28.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHEDA,SC,0,0,0,0.7,2.54,1.69,6.71,21.48,15.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHEDA,ST,3.48,6.22,4.99,5.39,2.09,3.44,20.14,23.17,21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHEDA,Overall,0.22,0,0.06,3.74,1.98,2.79,24.06,26.27,25.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHESANA,General,0,0.05,0,2.28,0,0.61,7.32,16.37,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHESANA,OBC,0,0,0,4.49,0.86,2.55,21.86,27.13,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHESANA,SC,0,0.12,0,1.98,0,0,17.12,21.58,19.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHESANA,ST,6.18,5.48,5.79,6.07,9.05,7.7,17.4,28.57,23.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHESANA,Overall,0,0,0,3.85,0.37,1.98,17.98,24.24,21.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHISAGAR,General,9.5,8.06,8.74,8.15,5.13,6.61,20.03,21.31,20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHISAGAR,OBC,0,0,0,0,0.65,0,21.69,25.6,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHISAGAR,SC,4.54,0,2.06,12.34,6.32,9.15,35.84,21.97,28.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHISAGAR,ST,0.13,0.06,0.09,4.02,0.57,2.26,21.83,27.62,24.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHISAGAR,Overall,0.64,0.39,0.51,2.55,1.36,1.93,22.3,25.74,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBI,General,1.44,2.02,1.75,2.81,2.39,2.58,10.59,17,14.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBI,OBC,1.08,0.61,0.84,11.6,7.45,9.38,25.99,33.48,30.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBI,SC,4.74,5.25,5,7.39,5.72,6.52,26.57,30.27,28.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBI,ST,5.7,9.25,7.89,14.29,17.84,16.6,50.28,44.99,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBI,Overall,1.64,1.87,1.76,8.74,6.27,7.41,20.43,27.67,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARMADA,General,0,0,0,0,0,0,18.04,28.96,24.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARMADA,OBC,0,0,0,2.48,3.04,2.76,24.41,30.22,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARMADA,SC,0,0,0,20.89,0,11.01,17.32,50,35.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARMADA,ST,1.33,1.73,1.54,6.77,7.6,7.2,20.6,24.73,22.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NARMADA,Overall,0.76,0.94,0.85,6.26,6.44,6.35,20.72,26,23.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVSARI,General,0.49,1,0.76,1.85,3.92,2.96,15.75,18.09,17.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVSARI,OBC,1.39,1.32,1.36,1.14,1.99,1.59,5.33,16.36,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVSARI,SC,3.67,9.03,6.57,8.85,5.17,7.02,17.34,27.07,22.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVSARI,ST,0,0,0,0,0,0,19.02,26.67,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVSARI,Overall,0.25,0.78,0.53,0,0,0,15.34,22.65,19.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCH MAHALS,General,0,2.89,0.79,1.46,0,0.62,22.26,25.37,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCH MAHALS,OBC,0.34,0,0.14,3.61,1.66,2.6,24.56,29.48,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCH MAHALS,SC,0.52,0.31,0.41,4.58,2.53,3.52,20.16,27.24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCH MAHALS,ST,0,0,0,2.07,2.91,2.51,25.5,31.53,28.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANCH MAHALS,Overall,0,0,0,3.09,1.88,2.46,24.4,29.42,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATAN,General,1.93,3.09,2.56,6.01,0.72,3.2,9.99,13.84,12.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATAN,OBC,0,0,0,8.07,5.01,6.43,28.07,30.23,29.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATAN,SC,0.91,0.21,0.55,6.02,3.2,4.57,20.83,19.91,20.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATAN,ST,0,0,0,0,0,0,5.91,30.68,22.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATAN,Overall,0,0.02,0,7.47,4.13,5.68,23.74,26.69,25.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORBANDAR,General,2.45,1.3,1.84,0.15,1.79,1.03,13.65,25.38,20.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORBANDAR,OBC,1.3,1.73,1.52,6.84,5.67,6.23,23.2,29.89,26.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORBANDAR,SC,0.23,0,0,0,0,0,19.87,23.23,21.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORBANDAR,ST,3.69,4.32,4.04,8.45,0,1.71,36.57,26.81,30.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORBANDAR,Overall,1.47,1.41,1.44,5.29,4.16,4.7,22.24,28.39,25.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJKOT,General,1.57,3.68,2.78,1.23,2.34,1.86,8.82,14.25,12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJKOT,OBC,0.22,0.62,0.43,4.85,4.38,4.6,22.35,28.91,26.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
