"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 01:26 PM,,,,,,,,,,,,,,,,,,
Academic Year:2020-21,,,,,,,,,,,,,,,,,,State Name :Maharashtra,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALNA,General,0,0,0,0.24,0,0.04,9.36,0.54,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALNA,OBC,2.53,4.02,3.33,2.72,2.72,2.72,14.89,7.9,11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALNA,SC,0,0.98,0.52,2.45,1.23,1.83,13.72,6.81,10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALNA,ST,0,0,0,5.71,4.06,4.84,13.63,9.69,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALNA,Overall,0.15,1.14,0.68,1.65,1.23,1.43,12.24,4.57,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLHAPUR,General,0,0.12,0.03,0,0,0,2.78,5.22,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLHAPUR,OBC,0.3,1.02,0.68,0.43,0.85,0.66,9.15,10.25,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLHAPUR,SC,0,0,0,0,0,0,9.83,14.33,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLHAPUR,ST,15.78,12.45,13.95,33.59,31.62,32.46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOLHAPUR,Overall,0.02,0.35,0.2,0,0.06,0,5.04,7.51,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATUR,General,0.25,0,0,2.57,2.3,2.42,8.78,12.28,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATUR,OBC,0.07,0.95,0.55,1.9,1.65,1.76,10.92,14.32,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATUR,SC,0.11,0,0,2.13,1.4,1.74,14.34,14.77,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATUR,ST,1.24,2.15,1.74,8.38,2.45,5.09,13.07,15.22,14.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATUR,Overall,0.21,0.11,0.15,2.47,1.93,2.17,10.72,13.52,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI II,General,0,0,0,0,0,0,0.31,2.75,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI II,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI II,SC,0,0,0,0,0,0,5.37,2.93,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI II,ST,0,0,0,0,2.46,1.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI II,Overall,0,0,0,0,0,0,0,1.43,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI (SUBURBAN),General,19.76,20.56,20.18,13.58,13.51,13.55,48.86,50.36,49.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI (SUBURBAN),OBC,20.67,20.77,20.72,22.96,21.98,22.48,58.66,58.08,58.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI (SUBURBAN),SC,18.51,19.82,19.17,22.16,21.17,21.68,57.75,57.44,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUMBAI (SUBURBAN),ST,19.05,15.36,17.22,13.41,19.43,16.53,47.9,54.8,51.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
