,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
8,13409,OBC,0,0,0.0,0,2,1.0,2,1,1.0,,,
9,13410,OBC,0,0,0.0,0,2,1.0,2,1,1.0,,,
10,13411,OBC,0,0,1.0,0,1,0.0,0,1,1.0,,,
11,13412,OBC,0,1,1.0,1,0,2.0,1,0,2.0,,,
12,13413,OBC,0,1,1.0,0,0,1.0,0,0,0.0,,,
13,13414,OBC,0,1,1.0,2,0,2.0,0,0,0.0,,,
14,13415,OBC,0,1,1.0,0,0,1.0,0,2,1.0,,,
15,13416,OBC,0,1,1.0,2,0,2.0,0,0,0.0,,,
16,13417,OBC,1,1,1.0,2,0,2.0,0,0,0.0,,,
17,13418,OBC,1,2,1.0,2,0,1.0,0,0,0.0,,,
18,13419,OBC,1,1,1.0,2,0,2.0,0,2,0.0,,,
19,13420,OBC,1,1,1.0,2,1,1.0,0,0,0.0,,,
20,13421,OBC,1,2,2.0,2,0,1.0,0,2,0.0,,,
21,13422,OBC,1,2,2.0,2,0,1.0,0,0,0.0,,,
22,13423,OBC,1,1,1.0,2,0,1.0,0,2,0.0,,,
23,13424,OBC,1,2,2.0,2,0,1.0,0,2,0.0,,,
0,13401,Overall,0,0,,0,2,,2,2,,0.0,0.0,2.0
1,13402,Overall,0,0,,0,2,,2,2,,0.0,0.0,2.0
2,13403,Overall,0,0,,0,2,,2,2,,0.0,0.0,2.0
3,13404,Overall,0,0,,0,2,,2,2,,0.0,0.0,2.0
4,13405,Overall,0,0,,0,2,,2,2,,0.0,0.0,2.0
5,13406,Overall,2,2,,2,0,,1,1,,2.0,2.0,1.0
6,13407,Overall,0,0,,2,0,,2,2,,0.0,2.0,2.0
7,13408,Overall,0,0,,2,0,,2,2,,0.0,2.0,2.0
8,13409,Overall,0,0,,0,0,,2,2,,0.0,0.0,2.0
9,13410,Overall,0,0,,0,0,,2,2,,0.0,0.0,2.0
10,13411,Overall,0,0,,2,0,,1,1,,0.0,2.0,1.0
11,13412,Overall,1,0,,0,0,,0,0,,0.0,0.0,0.0
12,13413,Overall,0,0,,0,0,,0,0,,0.0,0.0,0.0
13,13414,Overall,1,0,,1,0,,0,0,,0.0,1.0,0.0
14,13415,Overall,1,0,,1,0,,0,0,,0.0,1.0,0.0
15,13416,Overall,1,0,,1,0,,0,0,,0.0,1.0,0.0
16,13417,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
17,13418,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
18,13419,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
19,13420,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
20,13421,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
21,13422,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
22,13423,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
23,13424,Overall,1,1,,1,1,,0,0,,1.0,1.0,0.0
