Location,Social Category,Girls,Boys,Overall,Girls.1,Boys.1,Overall.1,Girls.2,Boys.2,Overall.2,latitude,longitude
SABAR KANTHA,ST,0.77,0.55,0.66,8.73,9.23,8.98,14.27,18.48,16.5,23.16290525,72.688694965
SABAR KANTHA,Overall,0.4,0.08,0.24,4.54,4.02,4.26,15.15,17.78,16.59,23.16290525,72.688694965
SURAT,General,0.34,1.4,0.93,5.19,6.15,5.72,7.92,11.12,9.71,21.2094892,72.8317058
SURAT,OBC,0.0,0.0,0.0,8.07,5.76,6.83,12.7,14.92,13.96,21.2094892,72.8317058
SURAT,SC,0.0,0.0,0.0,1.2,2.41,1.85,7.34,14.87,11.53,21.2094892,72.8317058
SURAT,ST,0.09,0.48,0.29,7.23,5.49,6.33,14.84,21.3,18.2,21.2094892,72.8317058
SURAT,Overall,0.0,0.81,0.4,5.97,5.86,5.91,9.96,13.42,11.88,21.2094892,72.8317058
SURENDRANAGAR,General,0.0,0.12,0.0,0.0,1.49,0.81,6.32,8.57,7.55,22.72317,71.648352
SURENDRANAGAR,OBC,0.27,0.0,0.13,12.26,6.76,9.38,22.18,22.29,22.24,22.72317,71.648352
SURENDRANAGAR,SC,2.47,1.63,2.03,7.44,2.91,5.1,12.72,19.77,16.39,22.72317,71.648352
SURENDRANAGAR,ST,0.0,3.26,0.0,21.67,24.84,23.47,46.91,37.82,41.15,22.72317,71.648352
SURENDRANAGAR,Overall,0.03,0.28,0.16,10.93,6.5,8.59,18.94,20.53,19.87,22.72317,71.648352
TAPI,General,0.0,0.0,0.0,1.24,0.0,0.0,17.42,14.09,15.59,21.12,73.4
TAPI,OBC,4.42,3.85,4.13,7.48,5.83,6.6,0.34,20.69,11.99,21.12,73.4
TAPI,SC,0.0,0.0,0.0,0.0,0.0,0.0,13.19,14.84,14.11,21.12,73.4
TAPI,ST,1.58,2.23,1.91,6.91,6.29,6.6,10.28,12.91,11.57,21.12,73.4
TAPI,Overall,0.16,0.8,0.49,6.24,5.1,5.66,10.17,13.65,11.92,21.12,73.4
THE DANGS,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16290525,72.688694965
THE DANGS,OBC,8.31,5.34,6.73,13.94,0.0,5.83,15.56,32.69,24.74,23.16290525,72.688694965
THE DANGS,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16290525,72.688694965
THE DANGS,ST,1.97,2.5,2.24,7.4,6.64,7.01,16.61,20.54,18.56,23.16290525,72.688694965
THE DANGS,Overall,1.5,1.94,1.73,5.19,5.4,5.3,15.5,19.83,17.65,23.16290525,72.688694965
VADODARA,General,0.0,0.0,0.0,0.0,0.0,0.0,5.81,15.23,11.08,22.2973142,73.1942567
VADODARA,OBC,6.12,5.14,5.6,16.23,12.15,14.05,33.6,39.67,37.06,22.2973142,73.1942567
VADODARA,SC,5.05,6.55,5.87,8.34,10.77,9.66,23.34,36.39,30.33,22.2973142,73.1942567
VADODARA,ST,4.65,2.4,3.47,14.44,12.9,13.61,30.15,39.73,35.71,22.2973142,73.1942567
VADODARA,Overall,0.0,0.0,0.0,4.57,2.84,3.64,16.38,25.46,21.48,22.2973142,73.1942567
VALSAD,General,0.0,0.0,0.0,2.27,1.64,1.92,10.61,13.72,12.33,20.6067767,72.9272881
VALSAD,OBC,2.75,1.03,1.85,3.27,4.36,3.85,3.12,6.87,5.13,20.6067767,72.9272881
VALSAD,SC,10.8,11.36,11.1,22.43,17.45,19.8,16.08,26.68,21.75,20.6067767,72.9272881
VALSAD,ST,0.89,1.0,0.94,5.25,4.38,4.81,14.26,17.35,15.81,20.6067767,72.9272881
VALSAD,Overall,0.5,0.29,0.39,4.65,3.97,4.3,11.43,14.63,13.1,20.6067767,72.9272881
Total,Overall,0.0,0.0,0.0,5.76,4.23,4.95,15.89,19.39,17.85,31.9441901,74.2285738
..,,,,,,,,,,,23.0148358,72.5661238
