"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:undefined,,,,,,,,,,,,,,,,,,State Name :Assam,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHEMAJI,Overall,7.71,7.34,7.53,8.39,7.64,8.02,10.62,13.32,11.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,General,6.37,8.37,7.39,13.21,16.68,14.88,29.29,22.46,26.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,OBC,0.02,2.12,1.1,0,0,0,11.72,6.35,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,SC,0.53,0.62,0.57,2.08,3.87,2.97,7.04,24.03,15.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,ST,0,0,0,26.9,21.97,24.21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHUBRI,Overall,5.71,7.65,6.7,11.52,14.66,13.03,25.5,19.74,22.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,General,7.29,9.67,8.51,6.1,8.17,7.16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,OBC,6.01,6.52,6.26,6.72,8.54,7.63,21.45,23.96,22.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,SC,2.29,0.95,1.63,0.68,2.22,1.45,19.8,14.08,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,ST,5.08,1.43,3.24,12.05,6.35,9.21,21.02,12.64,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIBRUGARH,Overall,5.87,6.22,6.05,6.72,7.91,7.32,17.25,17.59,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,General,0,0,0,8.92,13.87,11.39,0,7.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,OBC,5.03,10.55,7.84,19.83,18.78,19.28,37.53,36.26,36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,SC,10.78,8.35,9.53,0,3.49,0,2.8,3.23,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,ST,5.59,8.12,6.86,6.94,0.5,3.92,14.7,20.23,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMA HASAO,Overall,4.87,7.4,6.15,7.82,4.24,6.09,14.08,19.76,16.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,General,7.86,12.61,10.31,14.2,18.61,16.22,31.38,30.55,31.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,OBC,0,0,0,0,0,0,6.93,12.63,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,SC,3.09,3.2,3.15,0,2.66,0.38,26.35,20.64,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,ST,4.27,4.37,4.32,0,1.01,0,13.05,16.15,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOALPARA,Overall,6.41,10.31,8.42,9.97,13.68,11.71,25.89,25.39,25.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,General,0.1,0.74,0.43,7.58,6.64,7.12,18.66,12.65,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,OBC,7.01,6.33,6.67,5.95,7.34,6.65,24.77,23.17,24.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,SC,0.2,4.27,2.28,2.19,7.8,5.01,24.65,22.76,23.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,ST,3.92,2.19,3.06,2.3,5.98,4.14,16.38,12.29,14.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLAGHAT,Overall,4.75,4.52,4.64,5.48,7.04,6.26,22.23,19.19,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,General,9,10.46,9.74,12.09,15.21,13.58,20.28,17.95,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,OBC,4.3,5.72,5.01,0,0,0,13.76,24,18.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,SC,3.32,5.48,4.44,0,0,0,19.94,20.38,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,ST,13.33,15.14,14.26,3.53,16.91,10.8,29.76,10.14,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAILAKANDI,Overall,7.84,9.36,8.61,7.53,10.4,8.91,19.37,19.13,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,General,1.89,0.71,1.31,6.4,7.31,6.81,30.82,33.55,31.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,OBC,4.22,4.44,4.33,4.25,5.71,4.95,24.28,26.22,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,SC,1.55,1.57,1.56,0,11.03,3.57,30.59,38.36,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,ST,1.59,3.13,2.36,1.55,5.15,3.24,15.56,11.48,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOJAI,Overall,2.1,1.36,1.74,4.68,7.56,6,29.27,32.39,30.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORHAT,General,7,7.19,7.1,5.56,12.3,9.03,8.16,15.98,12.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
