"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:undefined,,,,,,,,,,,,,,,,,,State Name :West Bengal,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH TWENTY FOUR PARGANA,SC,8.43,8.54,8.49,0,0,0,15.69,18.85,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH TWENTY FOUR PARGANA,ST,10.34,12.11,11.26,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH TWENTY FOUR PARGANA,Overall,6.07,7.16,6.63,0,0,0,17.28,17.59,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM BARDHAMAN,General,8.08,7.6,7.83,0,0,0,4.83,5.04,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM BARDHAMAN,OBC,6.53,4.8,5.62,8.5,12.47,10.67,32.87,30.32,31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM BARDHAMAN,SC,7.45,6.41,6.91,0,0,0,19.79,21.88,20.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM BARDHAMAN,ST,11.42,12.18,11.79,0,0,0,8.96,13.98,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM BARDHAMAN,Overall,8.06,7.39,7.72,0,0,0,13.65,14.35,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM MEDINIPUR,General,7.1,8.12,7.63,0,0,0,17.77,15.8,16.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM MEDINIPUR,OBC,1.59,5.02,3.39,6.58,9.98,8.31,20.91,23.27,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM MEDINIPUR,SC,10.56,11.03,10.8,1.42,1.17,1.3,21.84,21.76,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM MEDINIPUR,ST,10.12,10.93,10.54,3.83,2.73,3.27,22.42,18.62,20.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCHIM MEDINIPUR,Overall,7.86,8.9,8.41,0,0,0,19.61,18.4,19.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA BARDHAMAN,General,10.15,11.16,10.66,0,0,0,10.45,12.36,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA BARDHAMAN,OBC,6.7,8,7.37,3.97,6.06,5.03,28.51,34.08,31.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA BARDHAMAN,SC,8.6,8.73,8.67,0,0,0,33.82,32.63,33.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA BARDHAMAN,ST,7.12,8.37,7.76,0,0,0,15.05,18.59,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA BARDHAMAN,Overall,8.94,9.69,9.32,0,0,0,23.25,24.62,23.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA MEDINIPUR,General,7.69,8.68,8.2,0,0,0,17.8,17.96,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA MEDINIPUR,OBC,14.74,12.43,13.54,14.23,7.95,11.01,7.89,14.08,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA MEDINIPUR,SC,10.19,10.12,10.15,0,1.39,0.67,14.28,16.73,15.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA MEDINIPUR,ST,16.57,21.12,18.97,1.77,0.07,0.81,0,11.89,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURBA MEDINIPUR,Overall,8.58,9.23,8.91,0,0,0,16.31,17.38,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURULIYA,General,23.5,26.2,24.94,0,0,0,4.24,6.65,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURULIYA,OBC,0,2.35,1.01,0,2.02,0.89,17.33,16.97,17.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURULIYA,SC,3.71,4.63,4.19,0,0,0,13.7,16.99,15.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURULIYA,ST,0,2.27,1.14,0,0,0,13.42,12.56,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURULIYA,Overall,7.58,10.03,8.87,0,0,0,13.6,14.39,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILIGURI,General,11.19,10.55,10.86,0,0,0,9.21,11.19,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILIGURI,OBC,0,7.2,0.26,10.82,23.4,16.82,20.28,20.58,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILIGURI,SC,6.41,6.64,6.52,3.58,1.98,2.82,12.84,11.39,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILIGURI,ST,9.28,8.48,8.87,7.76,9.77,8.74,15.04,24.4,19.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILIGURI,Overall,7.66,8.69,8.19,2.44,5.02,3.75,13.1,14.21,13.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH  TWENTY FOUR PARGANA,General,7.2,7.15,7.17,0,0,0,21.4,20.21,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH  TWENTY FOUR PARGANA,OBC,7.51,7.09,7.3,3.89,0.75,2.45,20.01,14.37,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH  TWENTY FOUR PARGANA,SC,4.48,5.28,4.89,0,0,0,25.44,26.24,25.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH  TWENTY FOUR PARGANA,ST,7.53,9.44,8.51,0,0,0,5.67,4.05,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH  TWENTY FOUR PARGANA,Overall,6.58,6.71,6.64,0,0,0,22.06,21.16,21.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
