,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
111,10223,OBC,0,4,0,0,2,2,0,2,2,KOKRAJHAR
112,10223,Overall,0,3,3,3,0,1,1,1,2,KOKRAJHAR
113,10223,SC,1,0,1,0,4,3,0,1,1,KOKRAJHAR
114,10223,ST,2,0,1,1,1,2,1,1,1,KOKRAJHAR
115,10224,General,0,0,1,1,2,0,1,0,0,LAKHIMPUR
116,10224,OBC,0,4,0,1,2,2,0,1,1,LAKHIMPUR
117,10224,Overall,0,0,0,3,0,1,1,1,2,LAKHIMPUR
118,10224,SC,0,0,0,0,1,2,0,4,0,LAKHIMPUR
119,10224,ST,2,2,2,1,1,2,0,1,1,LAKHIMPUR
120,10225,General,0,0,1,1,2,0,1,0,0,MAJULI
121,10225,OBC,0,4,0,0,2,2,0,2,0,MAJULI
122,10225,Overall,0,0,0,3,0,1,1,1,2,MAJULI
123,10225,SC,0,0,0,0,1,2,0,4,0,MAJULI
124,10225,ST,2,2,2,1,1,2,1,1,1,MAJULI
125,10226,General,0,0,1,3,2,0,0,0,0,MORIGAON
126,10226,OBC,0,4,0,1,2,2,0,2,0,MORIGAON
127,10226,Overall,0,0,0,1,3,3,1,4,2,MORIGAON
128,10226,SC,0,1,0,0,1,2,1,1,0,MORIGAON
129,10226,ST,2,2,2,2,2,1,0,3,2,MORIGAON
130,10227,General,0,0,1,3,2,0,0,0,0,NAGAON
131,10227,OBC,0,0,0,1,2,2,0,2,0,NAGAON
132,10227,Overall,0,0,0,1,3,3,1,1,2,NAGAON
133,10227,SC,0,1,0,0,1,2,1,2,0,NAGAON
134,10227,ST,2,2,2,1,2,1,0,1,2,NAGAON
135,10228,General,0,0,1,1,2,0,0,0,3,NALBARI
136,10228,OBC,0,0,0,1,2,2,0,2,0,NALBARI
137,10228,Overall,0,0,0,3,0,1,1,4,4,NALBARI
138,10228,SC,0,1,0,0,1,2,1,2,0,NALBARI
139,10228,ST,2,4,4,1,1,2,0,3,2,NALBARI
140,10229,General,3,0,1,2,3,3,0,4,3,SIBSAGAR
141,10229,OBC,0,0,4,1,2,2,0,2,0,SIBSAGAR
142,10229,Overall,4,0,0,3,0,1,3,4,4,SIBSAGAR
143,10229,SC,0,1,0,0,4,3,1,2,0,SIBSAGAR
144,10229,ST,4,2,2,1,1,2,0,3,2,SIBSAGAR
145,10230,General,3,0,1,3,2,0,0,4,3,SONITPUR
146,10230,OBC,0,0,0,2,2,2,0,2,0,SONITPUR
147,10230,Overall,4,0,0,1,3,3,1,4,4,SONITPUR
148,10230,SC,0,1,0,0,1,2,1,2,0,SONITPUR
149,10230,ST,1,4,4,2,2,1,0,3,2,SONITPUR
150,10231,General,0,0,1,3,2,0,0,0,0,SOUTH SALMARA-MANKACHAR
151,10231,OBC,0,0,0,2,3,3,1,2,1,SOUTH SALMARA-MANKACHAR
152,10231,Overall,0,0,0,1,3,3,1,1,2,SOUTH SALMARA-MANKACHAR
153,10231,SC,0,1,0,1,0,0,1,4,0,SOUTH SALMARA-MANKACHAR
154,10231,ST,1,4,4,2,2,1,0,4,0,SOUTH SALMARA-MANKACHAR
155,10232,General,3,0,3,2,3,3,0,4,3,TAMULPUR
156,10232,OBC,4,0,4,1,2,2,0,2,0,TAMULPUR
157,10232,Overall,4,0,0,3,0,1,3,4,4,TAMULPUR
158,10232,SC,0,1,0,0,4,3,1,2,0,TAMULPUR
159,10232,ST,4,2,2,1,1,2,0,3,2,TAMULPUR
160,10233,General,3,0,3,2,3,3,0,4,3,TINSUKIA
161,10233,OBC,4,0,4,2,2,2,0,2,0,TINSUKIA
162,10233,Overall,4,0,0,1,0,3,3,4,4,TINSUKIA
163,10233,SC,0,1,0,0,4,3,1,2,0,TINSUKIA
164,10233,ST,4,2,2,1,2,1,0,3,2,TINSUKIA
165,10234,General,3,0,3,2,3,3,0,4,3,UDALGURI
166,10234,OBC,4,0,4,2,2,2,0,2,0,UDALGURI
167,10234,Overall,4,0,0,3,0,1,3,4,4,UDALGURI
168,10234,SC,0,1,0,0,4,3,1,2,0,UDALGURI
169,10234,ST,4,2,2,1,1,2,0,3,2,UDALGURI
170,10235,General,3,0,3,2,3,3,0,4,3,WEST KARBI ANGLONG
171,10235,OBC,4,0,4,2,3,3,0,2,0,WEST KARBI ANGLONG
172,10235,Overall,4,0,0,1,3,3,3,4,4,WEST KARBI ANGLONG
173,10235,SC,0,1,0,1,1,2,1,2,0,WEST KARBI ANGLONG
174,10235,ST,1,4,4,2,2,1,0,3,2,WEST KARBI ANGLONG
