DNo,Location,Social Category,Income,prim_Girls_social_cat,prim_Girls_income,prim_Boys_social_cat,prim_Boys_income,prim_Overall_social_cat,prim_Overall_income,upPrim_Girls_social_cat,upPrim_Girls_income,upPrim_Boys_social_cat,upPrim_Boys_income,upPrim_Overall_social_cat,upPrim_Overall_income,snr_Girls_social_cat,snr_Girls_income,snr_Boys_social_cat,snr_Boys_income,snr_Overall_social_cat,snr_Overall_income
10233,TINSUKIA,SC,Low,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741,0.002590681,99.99741
10233,TINSUKIA,ST,Low,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606,12.803936,87.19606
10233,TINSUKIA,Overall,Low,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083,0.98916125,99.01083
10234,UDALGURI,OBC,High,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445,0.3795573,99.620445
10234,UDALGURI,SC,High,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262,0.2738033,99.7262
10234,UDALGURI,ST,High,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532,0.58467835,99.41532
10234,UDALGURI,Overall,High,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936,2.9940639,97.005936
10235,WESTKARBIANGLONG,General,High,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234,0.20376018,99.796234
10235,WESTKARBIANGLONG,SC,High,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971,0.28028068,99.71971
10235,WESTKARBIANGLONG,ST,High,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818,1.0818137,98.91818
10235,WESTKARBIANGLONG,Overall,High,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075,0.8792447,99.12075
10301,ARARIA,General,High,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536,0.75463843,99.24536
10301,ARARIA,OBC,High,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825,0.63175225,99.36825
