DNo,Location,Social Category,Income,dropout,snr_Girls_social_category,snr_Girls_income
10202,BAKSA,Overall,Low,1,4.25588408958788e-07,100.0
10203,BARPETA,General,High,1,0.0012648203664866742,99.99873638153076
10203,BARPETA,OBC,High,1,0.00024327425762749044,99.9997615814209
10203,BARPETA,SC,High,1,2.823852867095411e-05,99.99997615814209
10203,BARPETA,ST,High,1,0.0010681616004148964,99.99892711639404
10203,BARPETA,Overall,High,1,0.0004205684490443673,99.99958276748657
10204,BISWANATH,General,High,1,0.1976181287318468,99.80238676071167
10204,BISWANATH,OBC,High,1,0.000848668332764646,99.99915361404419
10204,BISWANATH,SC,High,1,0.00420515461883042,99.99579191207886
10204,BISWANATH,ST,High,1,0.010503351222723722,99.98949766159058
10204,BISWANATH,Overall,High,1,0.0035828994441544637,99.99641180038452
10205,BONGAIGAON,General,High,1,0.0008623880603408907,99.99914169311523
10205,BONGAIGAON,OBC,High,1,0.005309026892064139,99.99469518661499
10205,BONGAIGAON,SC,High,1,0.0003330509571242146,99.99966621398926
10205,BONGAIGAON,ST,High,1,0.009590265835868195,99.99040365219116
10205,BONGAIGAON,Overall,High,1,0.0006532987754326314,99.99934434890747
10206,CACHAR,General,Low,1,0.021458206174429506,99.97854828834534
10206,CACHAR,OBC,Low,1,0.0005755227903136984,99.99942779541016
10206,CACHAR,SC,Low,1,0.0002679977569641778,99.99973773956299
10206,CACHAR,ST,Low,1,1.4499137178063393,98.55008721351624
10206,CACHAR,Overall,Low,1,0.0015343377526733093,99.9984622001648
10207,CHARAIDEO,General,Low,0,77.82413214445114,22.17586636543274
10207,CHARAIDEO,OBC,Low,1,0.03222607483621687,99.96777772903442
10207,CHARAIDEO,SC,Low,1,2.215982973575592,97.78401255607605
10207,CHARAIDEO,ST,Low,1,0.005045815851190127,99.994957447052
10207,CHARAIDEO,Overall,Low,1,0.07923288503661752,99.92076754570007
10208,CHIRANG,General,High,1,0.00047517796701868065,99.9995231628418
10208,CHIRANG,OBC,High,1,0.3937011118978262,99.60629343986511
10208,CHIRANG,SC,High,1,0.003754753925022669,99.99624490737915
10208,CHIRANG,ST,High,1,0.46732486225664616,99.53267574310303
10208,CHIRANG,Overall,High,1,0.01693786180112511,99.98306035995483
10209,DARRANG,General,High,1,0.009310633322456852,99.99068975448608
10209,DARRANG,OBC,High,1,0.06626626709476113,99.93372559547424
10209,DARRANG,SC,High,1,2.617183141410351,97.3828136920929
10209,DARRANG,ST,High,0,87.72907257080078,12.270933389663696
10209,DARRANG,Overall,High,1,0.008791265281615779,99.99120235443115
10210,DHEMAJI,General,High,1,0.017223029863089323,99.98277425765991
10210,DHEMAJI,OBC,High,1,0.05296707386150956,99.94702935218811
10210,DHEMAJI,SC,High,1,0.1268436317332089,99.87315535545349
10210,DHEMAJI,ST,High,1,3.016861155629158,96.98314070701599
10210,DHEMAJI,Overall,High,1,0.1383181312121451,99.86168146133423
10211,DHUBRI,General,High,1,0.0035828106774715707,99.99641180038452
10211,DHUBRI,OBC,High,1,0.15148153761401772,99.8485267162323
10211,DHUBRI,SC,High,1,0.8034123107790947,99.19658899307251
10211,DHUBRI,ST,High,0,87.72907257080078,12.270933389663696
10211,DHUBRI,Overall,High,1,0.003767598536796868,99.9962329864502
10212,DIBRUGARH,General,High,0,74.35958087444305,25.640422105789185
10212,DIBRUGARH,OBC,High,1,0.014384750102180988,99.98561143875122
10212,DIBRUGARH,SC,High,1,0.01781504979589954,99.98218417167664
10212,DIBRUGARH,ST,High,1,0.012478537973947823,99.98751878738403
10212,DIBRUGARH,Overall,High,1,0.027140008751302958,99.97286200523376
10213,DIMAHASAO,General,High,0,74.35958087444305,25.640422105789185
10213,DIMAHASAO,OBC,High,1,0.0003061204097321024,99.99969005584717
10213,DIMAHASAO,SC,High,1,22.476603090763092,77.52339243888855
10213,DIMAHASAO,ST,High,1,0.057467882288619876,99.94252920150757
10213,DIMAHASAO,Overall,High,1,0.05794567987322807,99.94205236434937
10214,GOALPARA,General,High,1,0.0021725165424868464,99.99783039093018
10214,GOALPARA,OBC,High,1,0.8469168096780777,99.15308952331543
10214,GOALPARA,SC,High,1,0.0036741781514137983,99.99632835388184
10214,GOALPARA,ST,High,1,0.0980938202701509,99.90190267562866
10214,GOALPARA,Overall,High,1,0.0034318069083383307,99.99656677246094
10215,GOLAGHAT,General,High,1,0.04561245732475072,99.9543845653534
10215,GOLAGHAT,OBC,High,1,0.006491311069112271,99.99350309371948
10215,GOLAGHAT,SC,High,1,0.005534988304134458,99.99446868896484
10215,GOLAGHAT,ST,High,1,0.03787792520597577,99.96211528778076
10215,GOLAGHAT,Overall,High,1,0.008241106843343005,99.99176263809204
10216,HAILAKANDI,General,High,1,0.030955628608353436,99.96904134750366
10216,HAILAKANDI,OBC,High,1,0.09172509307973087,99.90826845169067
10216,HAILAKANDI,SC,High,1,0.017223981558345258,99.98277425765991
10216,HAILAKANDI,ST,High,1,0.001540566336188931,99.9984622001648
10216,HAILAKANDI,Overall,High,1,0.016340594447683543,99.98365640640259
10217,HOJAI,General,High,1,0.0024841452614055015,99.99752044677734
10217,HOJAI,OBC,High,1,0.007299056596821174,99.99270439147949
10217,HOJAI,SC,High,1,0.0013222256711742375,99.99867677688599
10217,HOJAI,ST,High,1,0.04608822055160999,99.95391368865967
10217,HOJAI,Overall,High,1,0.0015281128071364947,99.99847412109375
10218,JORHAT,General,High,1,0.6240721326321363,99.3759274482727
10218,JORHAT,OBC,High,1,0.024207468959502876,99.97579455375671
10218,JORHAT,SC,High,1,0.10957802878692746,99.89042282104492
10218,JORHAT,ST,High,1,0.09295159834437072,99.90704655647278
10218,JORHAT,Overall,High,1,0.04338063590694219,99.956613779068
10219,KAMRUP-METRO,General,High,1,2.093261294066906,97.90673851966858
10219,KAMRUP-METRO,OBC,High,0,72.5934624671936,27.406537532806396
10219,KAMRUP-METRO,SC,High,1,0.009137899178313091,99.99085664749146
10219,KAMRUP-METRO,ST,High,0,60.64656674861908,39.35343027114868
10219,KAMRUP-METRO,Overall,High,1,0.641292380169034,99.35870170593262
10220,KAMRUP-RURAL,General,High,1,0.004359770173323341,99.99563694000244
10220,KAMRUP-RURAL,OBC,High,1,0.0027819380193250254,99.99722242355347
10220,KAMRUP-RURAL,SC,High,1,0.009406064782524481,99.99059438705444
10220,KAMRUP-RURAL,ST,High,1,0.0031437386496691033,99.99685287475586
10220,KAMRUP-RURAL,Overall,High,1,0.002188208782172296,99.99780654907227
10221,KARBIANGLONG,General,High,0,74.35958087444305,25.640422105789185
10221,KARBIANGLONG,OBC,High,1,0.018886930774897337,99.98111128807068
10221,KARBIANGLONG,SC,High,1,0.0011008940418832935,99.99890327453613
10221,KARBIANGLONG,ST,High,1,0.03393014776520431,99.96607303619385
10221,KARBIANGLONG,Overall,High,1,0.03294506168458611,99.96705055236816
10222,KARIMGANJ,General,High,1,0.010671555355656892,99.9893307685852
10222,KARIMGANJ,OBC,High,1,0.0006158006726764143,99.99938011169434
10222,KARIMGANJ,SC,High,1,0.004531404920271598,99.99547004699707
10222,KARIMGANJ,ST,High,0,87.72907257080078,12.270933389663696
10222,KARIMGANJ,Overall,High,1,0.0030740018701180816,99.99692440032959
10223,KOKRAJHAR,General,High,1,0.006919668521732092,99.9930739402771
10223,KOKRAJHAR,OBC,High,1,0.04399951139930636,99.95599389076233
10223,KOKRAJHAR,SC,High,1,0.6642493419349194,99.33574795722961
10223,KOKRAJHAR,ST,High,1,1.4508944004774094,98.54910373687744
10223,KOKRAJHAR,Overall,High,1,0.03247543063480407,99.96752738952637
10224,LAKHIMPUR,General,Low,1,0.010672634380171075,99.9893307685852
10224,LAKHIMPUR,OBC,Low,1,0.052070937817916274,99.9479353427887
10224,LAKHIMPUR,SC,Low,1,0.001678449916653335,99.99831914901733
10224,LAKHIMPUR,ST,Low,1,35.491493344306946,64.5085096359253
10224,LAKHIMPUR,Overall,Low,1,0.029062290559522808,99.97093081474304
10225,MAJULI,General,Low,1,0.01685685128904879,99.98314380645752
10225,MAJULI,OBC,Low,1,0.012600295303855091,99.98739957809448
10225,MAJULI,SC,Low,1,0.0006405816748156212,99.99935626983643
10225,MAJULI,ST,Low,1,6.981475651264191,93.01852583885193
10225,MAJULI,Overall,Low,1,0.038041366497054696,99.96196031570435
10226,MORIGAON,General,High,1,0.008379987411899492,99.99161958694458
10226,MORIGAON,OBC,High,1,0.021253972954582423,99.97875094413757
10226,MORIGAON,SC,High,1,0.006350147305056453,99.99364614486694
10226,MORIGAON,ST,High,1,0.008072210039244965,99.99192953109741
10226,MORIGAON,Overall,High,1,0.004997230644221418,99.99500513076782
10227,NAGAON,General,High,1,0.007434799044858664,99.99256134033203
10227,NAGAON,OBC,High,1,0.19514684099704027,99.80485439300537
10227,NAGAON,SC,High,1,0.03557591699063778,99.96442794799805
10227,NAGAON,ST,High,1,0.010579040099401027,99.98941421508789
10227,NAGAON,Overall,High,1,0.007003252540016547,99.99299049377441
10228,NALBARI,General,High,1,0.09170272969640791,99.90829229354858
10228,NALBARI,OBC,High,1,0.08954270742833614,99.91045594215393
10228,NALBARI,SC,High,1,0.020144951122347265,99.9798595905304
10228,NALBARI,ST,High,0,87.72907257080078,12.270933389663696
10228,NALBARI,Overall,High,1,0.045289742411114275,99.95470643043518
10229,SIBSAGAR,General,High,1,2.745506539940834,97.25449681282043
10229,SIBSAGAR,OBC,High,1,0.028040283359587193,99.97195601463318
10229,SIBSAGAR,SC,High,1,0.8919085375964642,99.10809397697449
10229,SIBSAGAR,ST,High,1,2.583080343902111,97.41691946983337
10229,SIBSAGAR,Overall,High,1,0.053163914708420634,99.94683861732483
10230,SONITPUR,General,High,1,0.0012831156709580682,99.99871253967285
10230,SONITPUR,OBC,High,1,0.009228569251718,99.99077320098877
10230,SONITPUR,SC,High,1,0.0023865995899541304,99.99761581420898
10230,SONITPUR,ST,High,1,0.0017573240256751888,99.9982476234436
10230,SONITPUR,Overall,High,1,0.001819883254938759,99.99817609786987
10231,SOUTHSALMARA-MANKACHAR,General,High,1,0.002146671977243386,99.99785423278809
10231,SOUTHSALMARA-MANKACHAR,OBC,High,1,6.630175519717341e-07,100.0
10231,SOUTHSALMARA-MANKACHAR,SC,High,1,2.14133315523668e-06,100.0
10231,SOUTHSALMARA-MANKACHAR,ST,High,1,0.000764025480748387,99.99923706054688
10231,SOUTHSALMARA-MANKACHAR,Overall,High,1,0.0006952489911782322,99.9993085861206
10232,TAMULPUR,General,High,0,74.35958087444305,25.640422105789185
10232,TAMULPUR,OBC,High,0,72.5934624671936,27.406537532806396
10232,TAMULPUR,SC,High,0,75.77421963214874,24.22577738761902
10232,TAMULPUR,ST,High,0,87.72907257080078,12.270933389663696
10232,TAMULPUR,Overall,High,0,52.83604562282562,47.163957357406616
10233,TINSUKIA,General,Low,0,77.82413214445114,22.17586636543274
10233,TINSUKIA,OBC,Low,1,0.0008707296728971414,99.99912977218628
10233,TINSUKIA,SC,Low,1,0.022784486645832658,99.97721314430237
10233,TINSUKIA,ST,Low,1,0.01436610909877345,99.98563528060913
10233,TINSUKIA,Overall,Low,1,0.003520428072079085,99.99648332595825
10234,UDALGURI,General,High,1,0.3024566452950239,99.69754219055176
10234,UDALGURI,OBC,High,1,0.07693828083574772,99.92306232452393
10234,UDALGURI,SC,High,1,2.8192533180117607,97.18074798583984
10234,UDALGURI,ST,High,0,87.72907257080078,12.270933389663696
