DNo,Location,Social Category,Income,dropout,prim_Boys_social_category,prim_Boys_income
12105,RIBHOI,SC,High,1,0.08309040567837656,99.9169111251831
12105,RIBHOI,ST,High,1,0.000987401926977327,99.99901056289673
12105,RIBHOI,Overall,High,1,0.0022391641323338263,99.99775886535645
12106,SOUTHGAROHILLS,General,High,1,1.2414867040216188e-11,100.0
12106,SOUTHGAROHILLS,OBC,High,0,75.98847150802612,24.0115225315094
12106,SOUTHGAROHILLS,SC,High,1,8.032704386096157e-05,99.99991655349731
12106,SOUTHGAROHILLS,ST,High,1,1.9235142190154875e-05,99.99997615814209
12106,SOUTHGAROHILLS,Overall,High,1,1.634977166986573e-05,99.99998807907104
12107,SOUTHWESTGAROHILLS,General,High,1,0.008425475243711844,99.99157190322876
12107,SOUTHWESTGAROHILLS,OBC,High,1,3.8907922412627003e-19,100.0
12107,SOUTHWESTGAROHILLS,SC,High,1,3.6873028540502005e-17,100.0
12107,SOUTHWESTGAROHILLS,ST,High,1,0.00031626266263629077,99.99967813491821
12107,SOUTHWESTGAROHILLS,Overall,High,1,0.00017576422806087066,99.99982118606567
12108,SOUTHWESTKHASIHILLS,General,High,0,76.72200351953506,23.277997970581055
12108,SOUTHWESTKHASIHILLS,OBC,High,0,75.98847150802612,24.0115225315094
12108,SOUTHWESTKHASIHILLS,SC,High,1,5.171706121372087e-30,100.0
12108,SOUTHWESTKHASIHILLS,ST,High,1,7.25592087746918e-05,99.99992847442627
12108,SOUTHWESTKHASIHILLS,Overall,High,1,4.0335331163987576e-05,99.99996423721313
12109,WESTGAROHILLS,General,High,1,3.904706034063565e-05,99.99996423721313
12109,WESTGAROHILLS,OBC,High,1,1.1282181411331749e-06,100.0
12109,WESTGAROHILLS,SC,High,1,2.8921570677633082e-12,100.0
12109,WESTGAROHILLS,ST,High,1,0.0008388179594476242,99.99916553497314
12109,WESTGAROHILLS,Overall,High,1,0.00018723301309364615,99.99980926513672
12110,WESTJAINTIAHILLS,General,High,1,8.037204679567367e-06,99.99998807907104
12110,WESTJAINTIAHILLS,OBC,High,1,3.5135679088416083e-09,100.0
12110,WESTJAINTIAHILLS,SC,High,1,0.0018030470528174192,99.99819993972778
12110,WESTJAINTIAHILLS,ST,High,1,0.0004299420197639847,99.99957084655762
12110,WESTJAINTIAHILLS,Overall,High,1,0.0003277402811363572,99.99967813491821
12111,WESTKHASIHILLS,General,High,0,76.72200351953506,23.277997970581055
12111,WESTKHASIHILLS,OBC,High,0,75.98847150802612,24.0115225315094
12111,WESTKHASIHILLS,SC,High,1,1.8424060499455663e-06,100.0
12111,WESTKHASIHILLS,ST,High,1,0.0006114818916103104,99.99939203262329
12111,WESTKHASIHILLS,Overall,High,1,0.0006581345132872229,99.99934434890747
12201,AIZAWL,General,High,1,2.3924703884681264e-08,100.0
12201,AIZAWL,OBC,High,1,5.151340674220927e-25,100.0
12201,AIZAWL,SC,High,0,75.51307380199432,24.486929178237915
12201,AIZAWL,ST,High,1,6.1380017548799515,93.86199712753296
12201,AIZAWL,Overall,High,1,9.609632194042206,90.3903603553772
12202,CHAMPHAI,General,Low,0,77.01365351676941,22.98634648323059
12202,CHAMPHAI,OBC,Low,0,83.59087258577347,16.40912890434265
12202,CHAMPHAI,SC,Low,0,78.55978459119797,21.44021987915039
