DNo,Location,Social Category,Income,upPrim_Girls_socialcat,upPrim_Girls_income
10337,SUPAUL,General,High,0.69861126,99.30139
10337,SUPAUL,OBC,High,42.602077,57.397926
10337,SUPAUL,SC,High,1.007007,98.993
10337,SUPAUL,ST,High,11.745906,88.2541
10337,SUPAUL,Overall,High,1.4917754,98.508224
10338,VAISHALI,General,High,1.5707778,98.42923
10338,VAISHALI,OBC,High,0.8723557,99.12765
10338,VAISHALI,SC,High,13.146403,86.8536
10338,VAISHALI,ST,High,1.857382,98.14262
10401,CHANDIGARH,General,High,8.43892,91.56108
10401,CHANDIGARH,OBC,High,1.8803908,98.119606
10401,CHANDIGARH,ST,High,10.018879,89.98112
10401,CHANDIGARH,Overall,High,1.6002576,98.39975
10501,BALOD,General,High,17.691961,82.30804
10501,BALOD,SC,High,1.3550959,98.644905
10501,BALOD,ST,High,3.808881,96.19112
10501,BALOD,Overall,High,5.7968364,94.20316
10502,BALODABAZAR,General,High,13.206914,86.79308
10502,BALODABAZAR,OBC,High,36.283295,63.71671
10502,BALODABAZAR,SC,High,1.3826414,98.61735
10502,BALODABAZAR,ST,High,12.035038,87.964966
10502,BALODABAZAR,Overall,High,1.6453332,98.354675
10503,BALRAMPUR,General,High,0.83214116,99.16786
10503,BALRAMPUR,OBC,High,1.527181,98.472824
10503,BALRAMPUR,Overall,High,20.396688,79.60331
10504,BASTER,General,High,0.5577862,99.442215
10504,BASTER,OBC,High,0.8860251,99.11397
10504,BASTER,SC,High,48.81325,51.186752
10504,BASTER,Overall,High,4.855906,95.1441
10505,BEMETARA,General,High,1.4419812,98.55802
10505,BEMETARA,ST,High,5.535557,94.46445
10505,BEMETARA,Overall,High,1.7784581,98.22155
10506,BIJAPUR,General,High,34.481094,65.518906
10506,BIJAPUR,General,Low,16.528893,83.471115
10506,BIJAPUR,OBC,High,3.0928054,96.90719
10506,BIJAPUR,OBC,Low,10.530739,89.46927
10506,BIJAPUR,SC,High,0.6461417,99.35386
10506,BIJAPUR,SC,Low,0.9906221,99.00938
10506,BIJAPUR,ST,Low,15.785792,84.21421
10506,BIJAPUR,Overall,High,0.9879682,99.01203
10507,BILASPUR,General,High,6.261079,93.73892
10507,BILASPUR,General,High,8.243277,91.75673
10507,BILASPUR,OBC,High,0.9499685,99.05004
10507,BILASPUR,OBC,High,1.5746633,98.42533
10507,BILASPUR,SC,High,2.854988,97.14501
10507,BILASPUR,ST,High,1.201819,98.79819
10507,BILASPUR,Overall,High,2.4360456,97.56395
10507,BILASPUR,Overall,High,0.60667825,99.393326
10508,DANTEWADA,General,High,4.6177964,95.3822
10508,DANTEWADA,OBC,High,5.60773,94.39227
10508,DANTEWADA,SC,High,32.066612,67.933395
10508,DANTEWADA,ST,High,1.4002053,98.59979
10509,DHAMTARI,General,High,1.8970385,98.10297
10509,DHAMTARI,OBC,High,2.8285208,97.17148
10509,DHAMTARI,SC,High,1.0327827,98.96722
10509,DHAMTARI,ST,High,3.8098302,96.19017
10510,DURG,General,Middle,1.100752,98.89924
10510,DURG,OBC,Middle,0.8452574,99.15474
10510,DURG,SC,Middle,3.3209126,96.67908
10510,DURG,ST,Middle,2.3278546,97.67214
10510,DURG,Overall,Middle,1.0919892,98.90801
10511,GARIABAND,General,Middle,1.7424859,98.257515
10511,GARIABAND,OBC,Middle,2.2747822,97.72523
10511,GARIABAND,SC,Middle,1.653393,98.34661
10511,GARIABAND,ST,Middle,1.0082717,98.99174
10511,GARIABAND,Overall,Middle,19.671888,80.32811
10512,GOURELAPENDRAMARVAHI,General,Middle,2.041517,97.95848
10512,GOURELAPENDRAMARVAHI,OBC,Middle,1.8897626,98.11024
10512,GOURELAPENDRAMARVAHI,SC,Middle,1.6018592,98.39814
10512,GOURELAPENDRAMARVAHI,ST,Middle,40.64547,59.35453
10512,GOURELAPENDRAMARVAHI,Overall,Middle,0.94797015,99.052025
10513,JANJGIR-CHAMPA,General,Middle,2.0177789,97.98222
10514,JASHPUR,General,High,0.8972454,99.10275
10514,JASHPUR,SC,High,1.5758272,98.42418
10514,JASHPUR,ST,High,1.3036948,98.69631
10514,JASHPUR,Overall,High,1.0585551,98.941444
10515,KANKER,General,High,1.0417852,98.95822
10515,KANKER,OBC,High,2.1760213,97.82398
10515,KANKER,SC,High,12.01262,87.98738
10516,KAWARDHA,General,High,8.371791,91.628204
10516,KAWARDHA,OBC,High,0.73925734,99.26075
10516,KAWARDHA,SC,High,0.797107,99.2029
10517,KONDAGAON,General,High,1.0831295,98.91688
10517,KONDAGAON,OBC,High,1.4134908,98.58651
10517,KONDAGAON,SC,High,0.22259006,99.777405
10517,KONDAGAON,ST,High,19.876965,80.12304
10517,KONDAGAON,Overall,High,2.2322166,97.76779
10518,KORBA,General,High,7.610656,92.38934
10518,KORBA,OBC,High,29.081154,70.91885
10518,KORBA,SC,High,1.2014798,98.79852
10518,KORBA,ST,High,5.111381,94.88862
10518,KORBA,Overall,High,1.7803922,98.21961
10519,KORIYA,General,High,38.55954,61.44046
10519,KORIYA,SC,High,2.44628,97.55372
10519,KORIYA,ST,High,0.6823286,99.31767
10519,KORIYA,Overall,High,37.890156,62.10984
10520,MAHASAMUND,General,High,1.0301001,98.96991
10520,MAHASAMUND,OBC,High,1.5251086,98.47489
10520,MAHASAMUND,SC,High,0.15365991,99.84634
10520,MAHASAMUND,ST,High,3.5886538,96.411354
10521,MUNGELI,General,High,0.98297447,99.01703
10521,MUNGELI,OBC,High,3.0595963,96.94041
10521,MUNGELI,SC,High,7.835809,92.16419
10522,NARAYANPUR,General,High,4.6820436,95.317955
10522,NARAYANPUR,OBC,High,40.369095,59.6309
10522,NARAYANPUR,SC,High,0.6553617,99.34464
10522,NARAYANPUR,ST,High,2.3215892,97.678406
10523,RAIGARH,General,High,48.51325,51.486755
10523,RAIGARH,OBC,High,2.3882995,97.6117
10523,RAIGARH,OBC,High,3.33448,96.66553
10523,RAIGARH,SC,High,49.720585,50.279415
10523,RAIGARH,SC,High,2.391179,97.60882
