DNo,Location,Social Category,Income,dropout,upPrim_Boys_social_category,upPrim_Boys_income
10219,KAMRUP-METRO,ST,High,1,26.099497079849243,73.90049695968628
10219,KAMRUP-METRO,Overall,High,1,4.755887761712074,95.24410963058472
10220,KAMRUP-RURAL,General,High,1,0.03938449081033468,99.9606192111969
10220,KAMRUP-RURAL,OBC,High,1,11.52731403708458,88.4726881980896
10220,KAMRUP-RURAL,SC,High,0,81.68747425079346,18.31253170967102
10220,KAMRUP-RURAL,ST,High,1,0.2419574884697795,99.75804090499878
10220,KAMRUP-RURAL,Overall,High,1,0.07898625917732716,99.92101192474365
10221,KARBIANGLONG,General,High,1,0.19818018190562725,99.80181455612183
10221,KARBIANGLONG,OBC,High,1,0.0987136154435575,99.901282787323
10221,KARBIANGLONG,SC,High,1,0.33795179333537817,99.66204166412354
10221,KARBIANGLONG,ST,High,1,0.09244524990208447,99.90755319595337
10221,KARBIANGLONG,Overall,High,1,0.1456528319977224,99.85435009002686
10222,KARIMGANJ,General,High,1,0.05134620005264878,99.94865655899048
10222,KARIMGANJ,OBC,High,1,0.013064179802313447,99.98693466186523
10222,KARIMGANJ,SC,High,1,0.27179629541933537,99.72820281982422
10222,KARIMGANJ,ST,High,1,0.10699669364839792,99.8930037021637
10222,KARIMGANJ,Overall,High,1,0.04478484916035086,99.9552071094513
10223,KOKRAJHAR,General,High,1,0.08846030104905367,99.91154074668884
10223,KOKRAJHAR,OBC,High,1,0.2147591905668378,99.78524446487427
10223,KOKRAJHAR,SC,High,1,46.281370520591736,53.718626499176025
10223,KOKRAJHAR,ST,High,1,0.20681482274085283,99.79318380355835
10223,KOKRAJHAR,Overall,High,1,0.17188069177791476,99.82812404632568
10224,LAKHIMPUR,General,Low,1,0.2254656981676817,99.77453351020813
10224,LAKHIMPUR,OBC,Low,1,0.0181131181307137,99.98188614845276
10224,LAKHIMPUR,SC,Low,1,0.007015023584244773,99.99297857284546
10224,LAKHIMPUR,ST,Low,1,3.8949567824602127,96.10505104064941
10224,LAKHIMPUR,Overall,Low,1,0.046143162762746215,99.95385408401489
10225,MAJULI,General,Low,1,1.0067070834338665,98.99328947067261
10225,MAJULI,OBC,Low,0,67.59748458862305,32.40252137184143
10225,MAJULI,SC,Low,1,0.013276211393531412,99.98672008514404
10225,MAJULI,ST,Low,1,0.013222116103861481,99.98677968978882
10225,MAJULI,Overall,Low,1,0.05063571152277291,99.94935989379883
10226,MORIGAON,General,High,1,0.041839006007649004,99.95816349983215
10226,MORIGAON,OBC,High,1,42.317718267440796,57.68227577209473
10226,MORIGAON,SC,High,1,2.035338431596756,97.9646623134613
10226,MORIGAON,ST,High,1,6.3855960965156555,93.61440539360046
10226,MORIGAON,Overall,High,1,0.10643185814842582,99.89356398582458
10227,NAGAON,General,High,1,0.02307974500581622,99.97691512107849
10227,NAGAON,OBC,High,1,0.089198601199314,99.91080164909363
10227,NAGAON,SC,High,1,0.610880833119154,99.38912391662598
10227,NAGAON,ST,High,1,0.31689570751041174,99.68309998512268
10227,NAGAON,Overall,High,1,0.036634711432270706,99.96336698532104
10228,NALBARI,General,High,1,0.18440360436215997,99.81560111045837
10228,NALBARI,OBC,High,0,80.24546951055527,19.754528999328613
10228,NALBARI,SC,High,1,0.3275990951806307,99.67240691184998
10228,NALBARI,ST,High,1,0.5520493723452091,99.44795370101929
10228,NALBARI,Overall,High,1,0.19852379336953163,99.80146884918213
10229,SIBSAGAR,General,High,0,78.63240242004395,21.367603540420532
10229,SIBSAGAR,OBC,High,1,0.1581863733008504,99.84180927276611
10229,SIBSAGAR,SC,High,0,81.68747425079346,18.31253170967102
10229,SIBSAGAR,ST,High,0,82.39225745201111,17.60774254798889
10229,SIBSAGAR,Overall,High,1,0.47768973745405674,99.52231049537659
10230,SONITPUR,General,High,1,0.18440360436215997,99.81560111045837
10230,SONITPUR,OBC,High,1,0.054044334683567286,99.94595646858215
10230,SONITPUR,SC,High,1,0.13171987375244498,99.86827969551086
10230,SONITPUR,ST,High,1,0.46622385270893574,99.5337724685669
10230,SONITPUR,Overall,High,1,0.12033507227897644,99.87965822219849
10231,SOUTHSALMARA-MANKACHAR,General,High,1,0.011019218800356612,99.98898506164551
10231,SOUTHSALMARA-MANKACHAR,OBC,High,1,0.002813768878695555,99.9971866607666
10231,SOUTHSALMARA-MANKACHAR,SC,High,1,0.30604186467826366,99.69396591186523
10231,SOUTHSALMARA-MANKACHAR,ST,High,1,0.007168416777858511,99.992835521698
10231,SOUTHSALMARA-MANKACHAR,Overall,High,1,0.00901140519999899,99.99098777770996
10232,TAMULPUR,General,High,0,78.63240242004395,21.367603540420532
10232,TAMULPUR,OBC,High,0,80.24546951055527,19.754528999328613
10232,TAMULPUR,SC,High,0,81.68747425079346,18.31253170967102
10232,TAMULPUR,ST,High,0,82.39225745201111,17.60774254798889
10232,TAMULPUR,Overall,High,0,71.34977579116821,28.650224208831787
10233,TINSUKIA,General,Low,1,2.1669739857316017,97.83303141593933
10233,TINSUKIA,OBC,Low,1,0.029286116478033364,99.97071623802185
10233,TINSUKIA,SC,Low,1,5.286917462944984,94.71308588981628
10233,TINSUKIA,ST,Low,1,0.057198666036129,99.94279742240906
10233,TINSUKIA,Overall,Low,1,0.04497244663070887,99.95502829551697
10234,UDALGURI,General,High,1,0.09600697667337954,99.90399479866028
10234,UDALGURI,OBC,High,1,0.14073626371100545,99.85926747322083
10234,UDALGURI,SC,High,1,6.501811742782593,93.49818825721741
10234,UDALGURI,ST,High,0,82.39225745201111,17.60774254798889
10234,UDALGURI,Overall,High,1,0.30879711266607046,99.69120025634766
10235,WESTKARBIANGLONG,General,High,0,78.63240242004395,21.367603540420532
10235,WESTKARBIANGLONG,OBC,High,1,0.10713408701121807,99.89286065101624
10235,WESTKARBIANGLONG,SC,High,1,0.18703698879107833,99.8129665851593
10235,WESTKARBIANGLONG,ST,High,1,0.11060097021982074,99.88940358161926
10235,WESTKARBIANGLONG,Overall,High,1,0.1969834789633751,99.80301260948181
10301,ARARIA,General,High,1,0.1448351889848709,99.85516667366028
10301,ARARIA,OBC,High,1,0.12065782211720943,99.8793363571167
10301,ARARIA,SC,High,1,0.126438878942281,99.87356066703796
10301,ARARIA,ST,High,1,0.0889106944669038,99.91108775138855
10301,ARARIA,Overall,High,1,0.1459368970245123,99.85406398773193
10302,ARWAL,General,Low,1,8.946814388036728,91.05318784713745
10302,ARWAL,OBC,Low,1,41.98421835899353,58.01578164100647
10302,ARWAL,SC,Low,1,2.276482991874218,97.72351384162903
10302,ARWAL,ST,Low,1,0.0028019760065944865,99.99719858169556
10302,ARWAL,Overall,Low,1,12.224245071411133,87.77575492858887
10303,AURANGABAD(BIHAR),General,Low,1,17.308881878852844,82.6911211013794
10303,AURANGABAD(BIHAR),OBC,Low,1,0.04213541105855256,99.95786547660828
10303,AURANGABAD(BIHAR),SC,Low,1,0.32196687534451485,99.6780276298523
10303,AURANGABAD(BIHAR),ST,Low,1,44.30806338787079,55.69193959236145
10303,AURANGABAD(BIHAR),Overall,Low,1,0.06933361291885376,99.93066787719727
10304,BANKA,General,High,1,1.6850979998707771,98.31490516662598
10304,BANKA,OBC,High,1,0.3931705839931965,99.60682392120361
10304,BANKA,SC,High,0,81.68747425079346,18.31253170967102
10304,BANKA,ST,High,1,0.20989079494029284,99.79010820388794
10304,BANKA,Overall,High,1,0.9508121758699417,99.04918074607849
10305,BEGUSARAI,General,High,1,9.355290234088898,90.64471125602722
10305,BEGUSARAI,OBC,High,1,0.8384575136005878,99.1615355014801
10305,BEGUSARAI,SC,High,1,0.6637600250542164,99.33624267578125
10305,BEGUSARAI,ST,High,0,82.39225745201111,17.60774254798889
10305,BEGUSARAI,Overall,High,1,0.9156795218586922,99.08431768417358
10306,BHAGALPUR,General,Low,1,6.769496202468872,93.23049783706665
10306,BHAGALPUR,OBC,Low,1,0.06187735707499087,99.93811845779419
10306,BHAGALPUR,SC,Low,1,0.06953709525987506,99.93046522140503
10306,BHAGALPUR,ST,Low,0,83.92415195703506,16.075843572616577
10306,BHAGALPUR,Overall,Low,1,0.10629872558638453,99.89370703697205
10307,BHOJPUR,General,Low,0,74.54698383808136,25.45301914215088
10307,BHOJPUR,OBC,Low,1,22.019368410110474,77.98063158988953
10307,BHOJPUR,SC,Low,1,0.8293583057820797,99.17064905166626
10307,BHOJPUR,ST,Low,0,83.92415195703506,16.075843572616577
10307,BHOJPUR,Overall,Low,1,43.19269359111786,56.8073034286499
10308,BUXAR,General,High,0,78.63240242004395,21.367603540420532
10308,BUXAR,OBC,High,0,58.12375545501709,41.87623858451843
10308,BUXAR,SC,High,1,0.5690600257366896,99.43094253540039
10308,BUXAR,ST,High,0,82.39225745201111,17.60774254798889
10308,BUXAR,Overall,High,0,71.34977579116821,28.650224208831787
10309,DARBHANGA,General,High,0,78.63240242004395,21.367603540420532
10309,DARBHANGA,OBC,High,1,0.2147591905668378,99.78524446487427
10309,DARBHANGA,SC,High,1,0.3921705763787031,99.60783123970032
10309,DARBHANGA,ST,High,1,2.0303595249515638e-05,99.99997615814209
10309,DARBHANGA,Overall,High,1,0.3873883746564388,99.6126115322113
10310,GAYA,General,Low,0,73.25056195259094,26.74943208694458
10310,GAYA,OBC,Low,0,67.59748756885529,32.402509450912476
10310,GAYA,SC,Low,1,23.964351415634155,76.03564262390137
10310,GAYA,ST,Low,1,0.006506843055831268,99.99349117279053
10310,GAYA,Overall,Low,1,37.53640651702881,62.46359348297119
10311,GOPALGANJ,General,Low,0,74.54698383808136,25.45301914215088
10311,GOPALGANJ,OBC,Low,0,67.59748756885529,32.402509450912476
10311,GOPALGANJ,SC,Low,1,0.04437765164766461,99.95562434196472
10311,GOPALGANJ,ST,Low,0,83.92415195703506,16.075843572616577
10311,GOPALGANJ,Overall,Low,0,57.38065540790558,42.61934757232666
10312,JAMUI,General,High,1,0.4881568718701601,99.5118498802185
10312,JAMUI,OBC,High,1,0.14462769031524658,99.85536932945251
10312,JAMUI,SC,High,1,0.19713391084223986,99.80286955833435
10312,JAMUI,ST,High,1,0.0511069898493588,99.94889497756958
10312,JAMUI,Overall,High,1,0.1909409649670124,99.80905652046204
10313,JEHANABAD,General,High,1,23.198196291923523,76.80180668830872
10313,JEHANABAD,OBC,High,0,80.24546951055527,19.754528999328613
10313,JEHANABAD,SC,High,1,1.2846557423472404,98.71534705162048
10313,JEHANABAD,ST,High,1,0.00023816928660380654,99.9997615814209
10313,JEHANABAD,Overall,High,0,71.34977579116821,28.650224208831787
10314,KAIMUR(BHABUA),General,High,0,78.63240242004395,21.367603540420532
10314,KAIMUR(BHABUA),OBC,High,0,80.24546951055527,19.754528999328613
10314,KAIMUR(BHABUA),SC,High,1,0.34391775261610746,99.65608716011047
10314,KAIMUR(BHABUA),ST,High,0,82.39225745201111,17.60774254798889
10314,KAIMUR(BHABUA),Overall,High,0,71.34977579116821,28.650224208831787
10315,KATIHAR,General,High,1,0.027778296498581767,99.97221827507019
10315,KATIHAR,OBC,High,1,0.09438602719455957,99.90561604499817
10315,KATIHAR,SC,High,1,0.19867527298629284,99.80132579803467
10315,KATIHAR,ST,High,1,0.11725990334525704,99.88273978233337
10315,KATIHAR,Overall,High,1,0.08164781611412764,99.91834759712219
10316,KHAGARIA,General,High,0,78.63239794969559,21.367603540420532
10316,KHAGARIA,OBC,High,1,1.228487677872181,98.77150654792786
10316,KHAGARIA,SC,High,1,0.32128996681421995,99.67870712280273
10316,KHAGARIA,ST,High,0,82.39225745201111,17.60774254798889
10316,KHAGARIA,Overall,High,1,4.320083931088448,95.67990899085999
10317,KISHANGANJ,General,High,1,0.04324933106545359,99.9567449092865
10317,KISHANGANJ,OBC,High,0,73.74140322208405,26.258599758148193
10317,KISHANGANJ,SC,High,1,0.020622242300305516,99.97938275337219
10317,KISHANGANJ,ST,High,1,0.006682240928057581,99.9933123588562
10317,KISHANGANJ,Overall,High,1,0.09617360774427652,99.90383386611938
10318,LAKHISARAI,General,High,1,3.4620393067598343,96.53795957565308
10318,LAKHISARAI,OBC,High,1,49.806928634643555,50.19307732582092
10318,LAKHISARAI,SC,High,1,0.25390160735696554,99.74609613418579
10318,LAKHISARAI,ST,High,1,0.08925794390961528,99.91074204444885
10318,LAKHISARAI,Overall,High,1,5.069302022457123,94.93069648742676
10319,MADHEPURA,General,High,1,0.06338203093037009,99.93662238121033
10319,MADHEPURA,OBC,High,1,0.09756595245562494,99.90243911743164
10319,MADHEPURA,SC,High,1,0.06882852176204324,99.93116855621338
10319,MADHEPURA,ST,High,1,0.00019443102701188764,99.99980926513672
10319,MADHEPURA,Overall,High,1,0.09395015658810735,99.90604519844055
10320,MADHUBANI,General,High,1,0.36864778958261013,99.63135123252869
10320,MADHUBANI,OBC,High,1,0.10263759177178144,99.89736080169678
10320,MADHUBANI,SC,High,1,0.14019374502822757,99.8598039150238
10320,MADHUBANI,ST,High,0,82.39225745201111,17.60774254798889
10320,MADHUBANI,Overall,High,1,0.1526245498098433,99.84737038612366
10321,MUNGER,General,Low,1,9.655363857746124,90.34463763237
10321,MUNGER,OBC,Low,1,0.05226672510616481,99.94773268699646
10321,MUNGER,SC,Low,1,0.041492856689728796,99.95850920677185
10321,MUNGER,ST,Low,0,83.92415195703506,16.075843572616577
10321,MUNGER,Overall,Low,1,0.0641901686321944,99.93581175804138
10322,MUZAFFARPUR,General,High,0,78.63240242004395,21.367603540420532
10322,MUZAFFARPUR,OBC,High,1,0.15665306709706783,99.84334111213684
10322,MUZAFFARPUR,SC,High,0,81.68747574090958,18.312519788742065
10322,MUZAFFARPUR,ST,High,0,82.39225745201111,17.60774254798889
10322,MUZAFFARPUR,Overall,High,1,0.44863480143249035,99.55136179924011
10323,NALANDA,General,Low,0,71.57230377197266,28.427696228027344
10323,NALANDA,OBC,Low,1,25.356745719909668,74.64325428009033
10323,NALANDA,SC,Low,1,0.6345027592033148,99.36549663543701
10323,NALANDA,ST,Low,0,83.92415195703506,16.075843572616577
10323,NALANDA,Overall,Low,1,12.405715882778168,87.59427666664124
10324,NAWADA,General,High,1,44.838544726371765,55.161458253860474
10324,NAWADA,OBC,High,1,0.18739518709480762,99.81260895729065
10324,NAWADA,SC,High,1,0.19983917009085417,99.80016350746155
10324,NAWADA,ST,High,0,82.39225745201111,17.60774254798889
10324,NAWADA,Overall,High,1,0.2823655726388097,99.71762895584106
10325,PASHCHIMCHAMPARAN,General,High,0,78.63240242004395,21.367603540420532
10325,PASHCHIMCHAMPARAN,OBC,High,1,1.4983941800892353,98.50161075592041
10325,PASHCHIMCHAMPARAN,SC,High,1,0.11248699156567454,99.8875081539154
10325,PASHCHIMCHAMPARAN,ST,High,0,82.39225745201111,17.60774254798889
10325,PASHCHIMCHAMPARAN,Overall,High,1,1.2762407772243023,98.72375726699829
10326,PATNA,General,Low,0,73.25056195259094,26.74943208694458
10326,PATNA,OBC,Low,0,67.59748756885529,32.402509450912476
10326,PATNA,SC,Low,1,0.03090585523750633,99.96910095214844
10326,PATNA,ST,Low,1,0.009821359708439559,99.99017715454102
10326,PATNA,Overall,Low,1,44.43376064300537,55.56623935699463
10327,PURBACHAMPARAN,General,Low,0,74.54698383808136,25.45301914215088
10327,PURBACHAMPARAN,OBC,Low,1,0.0693463021889329,99.93065595626831
10327,PURBACHAMPARAN,SC,Low,1,0.03577501338440925,99.96422529220581
10327,PURBACHAMPARAN,ST,Low,0,83.92415195703506,16.075843572616577
10327,PURBACHAMPARAN,Overall,Low,1,0.13100210344418883,99.86899495124817
10328,PURNIA,General,High,0,78.63240242004395,21.367603540420532
10328,PURNIA,OBC,High,1,0.12742382241412997,99.87257122993469
10328,PURNIA,SC,High,1,0.051877746591344476,99.94812607765198
10328,PURNIA,ST,High,1,0.016075842722784728,99.9839186668396
10328,PURNIA,Overall,High,1,0.156234425958246,99.84377026557922
10329,ROHTAS,General,High,1,0.4323285538703203,99.56766963005066
10329,ROHTAS,OBC,High,0,80.24546951055527,19.754528999328613
10329,ROHTAS,SC,High,1,0.40970295667648315,99.5902955532074
10329,ROHTAS,ST,High,1,0.11612290982156992,99.88388419151306
10329,ROHTAS,Overall,High,1,37.03872561454773,62.96127438545227
10330,SAHARSA,General,High,0,78.63240242004395,21.367603540420532
10330,SAHARSA,OBC,High,1,0.0558659085072577,99.94413256645203
10330,SAHARSA,SC,High,1,0.1497943652793765,99.85020160675049
10330,SAHARSA,ST,High,1,0.0003939971975341905,99.99960660934448
10330,SAHARSA,Overall,High,1,0.11506068985909224,99.88493919372559
