DNo,Location,Social Category,Income,prim_Girls_socialcat,prim_Girls_income
10320,MADHUBANI,General,High,1.756883,98.24311
10320,MADHUBANI,Overall,High,1.5430188,98.456985
10321,MUNGER,SC,Low,1.2516772,98.74833
10321,MUNGER,Overall,Low,1.9119762,98.08802
10322,MUZAFFARPUR,SC,High,2.2901714,97.70983
10322,MUZAFFARPUR,ST,High,40.06107,59.93893
10322,MUZAFFARPUR,Overall,High,38.21939,61.780613
10323,NALANDA,General,Low,9.7316,90.268394
10323,NALANDA,SC,Low,3.494152,96.50585
10323,NALANDA,Overall,Low,46.640076,53.359932
10325,PASHCHIMCHAMPARAN,General,High,6.2131147,93.78688
10325,PASHCHIMCHAMPARAN,OBC,High,2.665262,97.33474
10325,PASHCHIMCHAMPARAN,SC,High,42.059692,57.940304
10325,PASHCHIMCHAMPARAN,ST,High,12.582133,87.41786
10326,PATNA,General,Low,4.6395,95.360504
10327,PURBACHAMPARAN,OBC,Low,8.114946,91.88505
10328,PURNIA,General,High,1.8209288,98.17907
10328,PURNIA,SC,High,1.6742998,98.3257
10328,PURNIA,ST,High,4.028301,95.971695
10329,ROHTAS,General,High,0.9844115,99.015594
10330,SAHARSA,General,High,2.3501825,97.649826
10330,SAHARSA,OBC,High,11.362381,88.63761
10330,SAHARSA,Overall,High,16.413048,83.58695
10331,SAMASTIPUR,General,High,2.0983598,97.90164
10331,SAMASTIPUR,SC,High,2.974216,97.02579
10332,SARAN,General,Low,6.4831896,93.516815
10332,SARAN,ST,Low,2.8505406,97.14945
10333,SHEIKHPURA,OBC,Low,2.242403,97.7576
10333,SHEIKHPURA,SC,Low,16.556063,83.44393
10333,SHEIKHPURA,Overall,Low,2.652337,97.347664
10334,SHEOHAR,OBC,High,1.9817469,98.01825
10335,SITAMARHI,General,High,8.35658,91.643425
10335,SITAMARHI,SC,High,1.4628627,98.53713
10335,SITAMARHI,ST,High,1.0279149,98.97209
10336,SIWAN,General,High,3.7533514,96.24665
10336,SIWAN,OBC,High,18.298027,81.70197
10336,SIWAN,Overall,High,5.3694296,94.63057
10337,SUPAUL,General,High,1.3578128,98.6422
10337,SUPAUL,OBC,High,4.0190444,95.98096
10337,SUPAUL,SC,High,1.257215,98.74278
10337,SUPAUL,Overall,High,1.1456164,98.85438
10338,VAISHALI,OBC,High,1.092681,98.90732
10338,VAISHALI,ST,High,10.775635,89.224365
10401,CHANDIGARH,ST,High,1.9558808,98.04412
10501,BALOD,General,High,2.345062,97.65494
10501,BALOD,ST,High,3.02462,96.97538
10501,BALOD,Overall,High,45.503872,54.496128
10502,BALODABAZAR,OBC,High,1.0480039,98.951996
10502,BALODABAZAR,ST,High,6.8434334,93.15656
10503,BALRAMPUR,General,High,4.6165204,95.383484
10503,BALRAMPUR,ST,High,2.9690807,97.030914
10504,BASTER,General,High,1.1001999,98.8998
10504,BASTER,OBC,High,1.6078521,98.39215
10505,BEMETARA,General,High,0.9078579,99.09214
10505,BEMETARA,Overall,High,11.710337,88.289665
10506,BIJAPUR,General,Low,6.8666825,93.133316
10506,BIJAPUR,SC,High,0.6593831,99.340614
10506,BIJAPUR,SC,Low,0.8943828,99.10562
10506,BIJAPUR,Overall,High,4.3147087,95.68529
10507,BILASPUR,General,High,3.0721817,96.92782
