DNo,Location,Social Category,Income,dropout,upPrim_Girls_social_category,upPrim_Girls_income
11916,LATUR,OBC,High,1,3.78645658493042,96.21354937553406
11916,LATUR,SC,High,0,61.2073540687561,38.792651891708374
11916,LATUR,ST,High,1,0.5742980632930994,99.42570328712463
11916,LATUR,Overall,High,1,11.211353540420532,88.78865242004395
11918,MUMBAIII,General,High,0,78.3909946680069,21.609002351760864
11918,MUMBAIII,OBC,High,0,79.61528301239014,20.38472294807434
11918,MUMBAIII,SC,High,0,78.72750461101532,21.27249240875244
11918,MUMBAIII,ST,High,0,83.93717408180237,16.062825918197632
11918,MUMBAIII,Overall,High,0,72.57311046123505,27.426892518997192
11917,MUMBAI(SUBURBAN),General,High,1,0.08451041067019105,99.91549253463745
11917,MUMBAI(SUBURBAN),OBC,High,1,0.002266396586492192,99.99773502349854
11917,MUMBAI(SUBURBAN),SC,High,1,0.01178904203698039,99.98821020126343
11917,MUMBAI(SUBURBAN),ST,High,1,0.008072549098869786,99.99192953109741
11917,MUMBAI(SUBURBAN),Overall,High,1,0.07083630189299583,99.92916584014893
11919,NAGPUR,General,High,0,78.3909946680069,21.609002351760864
11919,NAGPUR,OBC,High,0,50.62367916107178,49.37632083892822
11919,NAGPUR,SC,High,0,78.72750461101532,21.27249240875244
11919,NAGPUR,ST,High,1,0.24941880255937576,99.75058436393738
11919,NAGPUR,Overall,High,1,47.58225977420807,52.41774916648865
11920,NANDED,General,High,1,19.99918818473816,80.00080585479736
11920,NANDED,OBC,High,1,0.7355658803135157,99.26443099975586
11920,NANDED,SC,High,1,0.535711832344532,99.46428537368774
11920,NANDED,ST,High,0,83.93717408180237,16.062825918197632
11920,NANDED,Overall,High,1,2.598350867629051,97.40164875984192
11921,NANDURBAR,General,High,0,78.3909946680069,21.609002351760864
11921,NANDURBAR,OBC,High,1,4.969273880124092,95.03072500228882
11921,NANDURBAR,SC,High,0,78.72750461101532,21.27249240875244
11921,NANDURBAR,ST,High,1,1.3908459804952145,98.60915541648865
11921,NANDURBAR,Overall,High,1,14.573705196380615,85.42628884315491
11922,NASHIK,General,Low,0,64.90564048290253,35.094356536865234
11922,NASHIK,OBC,Low,1,3.753761202096939,96.24624252319336
11922,NASHIK,SC,Low,1,49.627164006233215,50.37283897399902
11922,NASHIK,ST,Low,1,24.933914840221405,75.06608366966248
11922,NASHIK,Overall,Low,1,14.86891657114029,85.13107895851135
11923,OSMANABAD,General,Low,0,77.10721492767334,22.89278507232666
11923,OSMANABAD,OBC,Low,1,36.72212362289429,63.27788233757019
11923,OSMANABAD,SC,Low,0,66.84388220310211,33.15611481666565
11923,OSMANABAD,ST,Low,1,38.08347284793854,61.9165301322937
11923,OSMANABAD,Overall,Low,0,69.05887722969055,30.94112277030945
11924,PALGHAR,General,Low,1,0.18974934937432408,99.81024861335754
11924,PALGHAR,OBC,Low,1,25.48600435256958,74.51399564743042
11924,PALGHAR,SC,Low,1,0.2691797446459532,99.73082542419434
11924,PALGHAR,ST,Low,1,0.0978640397079289,99.90214109420776
11924,PALGHAR,Overall,Low,1,0.2560600405558944,99.74393844604492
11925,PARBHANI,General,High,0,56.67925477027893,43.32074522972107
11925,PARBHANI,OBC,High,0,79.61528301239014,20.38472294807434
11925,PARBHANI,SC,High,0,78.72750461101532,21.27249240875244
11925,PARBHANI,ST,High,0,83.93717408180237,16.062825918197632
11925,PARBHANI,Overall,High,0,72.57311046123505,27.426892518997192
11926,PUNE,General,High,1,45.86195349693298,54.138052463531494
11926,PUNE,OBC,High,1,0.40488350205123425,99.59511756896973
11926,PUNE,SC,High,1,8.426442742347717,91.57356023788452
11926,PUNE,ST,High,1,8.525603264570236,91.4743959903717
11926,PUNE,Overall,High,1,3.831777721643448,96.16822600364685
11927,RAIGARH(MAHARASHTRA),General,High,1,38.536614179611206,61.463385820388794
11927,RAIGARH(MAHARASHTRA),OBC,High,1,12.118463963270187,87.88153529167175
11927,RAIGARH(MAHARASHTRA),SC,High,0,57.580798864364624,42.419201135635376
11927,RAIGARH(MAHARASHTRA),ST,High,1,1.1599416844546795,98.84005784988403
11927,RAIGARH(MAHARASHTRA),Overall,High,1,12.070730328559875,87.92927265167236
11928,RATNAGIRI,General,High,1,9.63040292263031,90.36960005760193
11928,RATNAGIRI,OBC,High,0,79.61528301239014,20.38472294807434
11928,RATNAGIRI,SC,High,0,77.58618593215942,22.413820028305054
11928,RATNAGIRI,ST,High,1,0.08657157886773348,99.9134361743927
11928,RATNAGIRI,Overall,High,0,55.91084361076355,44.08915638923645
11929,SANGLI,General,High,0,78.3909946680069,21.609002351760864
11929,SANGLI,OBC,High,1,36.350226402282715,63.64977955818176
11929,SANGLI,SC,High,0,78.72750461101532,21.27249240875244
11929,SANGLI,ST,High,1,2.3901842534542084,97.60981798171997
11929,SANGLI,Overall,High,0,71.56368792057037,28.436315059661865
11930,SATARA,General,High,0,78.3909946680069,21.609002351760864
11930,SATARA,OBC,High,0,79.61528301239014,20.38472294807434
11930,SATARA,SC,High,0,54.700395464897156,45.29960751533508
11930,SATARA,ST,High,1,0.008207468636101112,99.99178647994995
11930,SATARA,Overall,High,0,69.8325902223587,30.167406797409058
11931,SINDHUDURG,General,Low,0,77.10721492767334,22.89278507232666
11931,SINDHUDURG,OBC,Low,0,78.68927717208862,21.3107168674469
11931,SINDHUDURG,SC,Low,0,75.65930038690567,24.34069514274597
11931,SINDHUDURG,ST,Low,1,0.0006145903171272948,99.99938011169434
11931,SINDHUDURG,Overall,Low,0,69.05887722969055,30.94112277030945
11932,SOLAPUR,General,High,0,78.3909946680069,21.609002351760864
11932,SOLAPUR,OBC,High,1,0.9937732480466366,99.00623559951782
11932,SOLAPUR,SC,High,0,70.90274393558502,29.09725308418274
11932,SOLAPUR,ST,High,1,0.06319594685919583,99.93680119514465
11932,SOLAPUR,Overall,High,1,26.904454827308655,73.09554815292358
11933,THANE,General,High,1,1.9311733543872833,98.0688214302063
11933,THANE,OBC,High,1,0.846567191183567,99.15342926979065
11933,THANE,SC,High,1,1.6447821632027626,98.35521578788757
11933,THANE,ST,High,1,1.8096264451742172,98.19037318229675
11933,THANE,Overall,High,1,1.12998578697443,98.87002110481262
11934,WARDHA,General,High,0,78.3909946680069,21.609002351760864
11934,WARDHA,OBC,High,0,59.291642904281616,40.708357095718384
11934,WARDHA,SC,High,0,78.72750461101532,21.27249240875244
11934,WARDHA,ST,High,1,0.7835075259208679,99.21649694442749
11934,WARDHA,Overall,High,0,55.49837648868561,44.50162649154663
11935,WASHIM,General,Low,0,77.10721492767334,22.89278507232666
11935,WASHIM,OBC,Low,0,51.67822241783142,48.32177758216858
11935,WASHIM,SC,Low,0,66.47379100322723,33.526211977005005
11935,WASHIM,ST,Low,1,0.1194291515275836,99.88057613372803
11935,WASHIM,Overall,Low,0,69.05887722969055,30.94112277030945
11936,YAVATMAL,General,Low,0,77.10721492767334,22.89278507232666
11936,YAVATMAL,OBC,Low,1,4.474347084760666,95.52565217018127
11936,YAVATMAL,SC,Low,0,51.70801877975464,48.291975259780884
11936,YAVATMAL,ST,Low,1,5.050360783934593,94.94963884353638
11936,YAVATMAL,Overall,Low,1,19.857534766197205,80.14246225357056
12001,BISHNUPUR,General,High,1,0.011238402657909319,99.98875856399536
12001,BISHNUPUR,OBC,High,1,0.42195534333586693,99.57804679870605
12001,BISHNUPUR,SC,High,0,78.72750461101532,21.27249240875244
12001,BISHNUPUR,ST,High,1,0.006561833288287744,99.9934434890747
12001,BISHNUPUR,Overall,High,1,0.20778647158294916,99.79221224784851
12002,CHANDEL,General,High,1,2.447729059440462e-05,99.99997615814209
12002,CHANDEL,OBC,High,1,0.007158346852520481,99.992835521698
12002,CHANDEL,SC,High,0,78.72750461101532,21.27249240875244
12002,CHANDEL,ST,High,1,0.08306005620397627,99.91694688796997
12002,CHANDEL,Overall,High,1,0.10282574221491814,99.8971700668335
12003,CHURACHANDPUR,General,High,1,0.00023235213575389935,99.99977350234985
12003,CHURACHANDPUR,OBC,High,1,12.84889429807663,87.15111017227173
12003,CHURACHANDPUR,SC,High,0,78.72750759124756,21.27249240875244
12003,CHURACHANDPUR,ST,High,1,0.2361548598855734,99.7638463973999
12003,CHURACHANDPUR,Overall,High,1,0.32215930987149477,99.67784285545349
12004,IMPHALEAST,General,High,1,0.4202369600534439,99.57976341247559
12004,IMPHALEAST,OBC,High,1,0.5032196640968323,99.49677586555481
12004,IMPHALEAST,SC,High,0,78.72750461101532,21.27249240875244
12004,IMPHALEAST,ST,High,0,83.93717408180237,16.062825918197632
12004,IMPHALEAST,Overall,High,1,0.9644441306591034,99.03556108474731
12005,IMPHALWEST,General,High,0,78.3909946680069,21.609002351760864
12005,IMPHALWEST,OBC,High,1,0.31251097097992897,99.68748092651367
12005,IMPHALWEST,SC,High,1,0.007227226160466671,99.99277591705322
12005,IMPHALWEST,ST,High,1,0.05354732275009155,99.94645714759827
12005,IMPHALWEST,Overall,High,0,72.57311046123505,27.426892518997192
12006,JIRIBAM,General,High,1,0.0797472894191742,99.920254945755
12006,JIRIBAM,OBC,High,1,0.016496394528076053,99.98350143432617
12006,JIRIBAM,SC,High,1,0.004345623892731965,99.9956488609314
12006,JIRIBAM,ST,High,1,0.0008494375833834056,99.99915361404419
12006,JIRIBAM,Overall,High,1,0.03025978512596339,99.96974468231201
12007,KAKCHING,General,High,1,0.008860413072397932,99.99114274978638
12007,KAKCHING,OBC,High,1,11.256031692028046,88.74396681785583
