DNo,Location,Social Category,Income,prim_Overall_socialcat,prim_Overall_income
10213,DIMAHASAO,OBC,High,4.4576817,95.54232
10213,DIMAHASAO,ST,High,3.4798245,96.52017
10213,DIMAHASAO,Overall,High,0.98288304,99.01711
10214,GOALPARA,General,High,0.89627403,99.10372
10214,GOALPARA,OBC,High,1.1872847,98.81271
10214,GOALPARA,ST,High,0.30410922,99.6959
10215,GOLAGHAT,General,High,0.387138,99.612854
10215,GOLAGHAT,OBC,High,49.386234,50.613766
10215,GOLAGHAT,SC,High,0.018752314,99.981255
10215,GOLAGHAT,ST,High,0.13003053,99.869965
10216,HAILAKANDI,ST,High,0.614756,99.38525
10217,HOJAI,SC,High,1.3942974,98.605705
10217,HOJAI,Overall,High,1.2645009,98.7355
10218,JORHAT,OBC,High,42.543472,57.456524
10218,JORHAT,ST,High,2.119283,97.88071
10218,JORHAT,Overall,High,2.684132,97.315865
10219,KAMRUP-METRO,OBC,High,0.31038564,99.68961
10219,KAMRUP-METRO,ST,High,0.17405678,99.82595
10219,KAMRUP-METRO,Overall,High,36.482883,63.517117
10220,KAMRUP-RURAL,OBC,High,29.421324,70.578674
10220,KAMRUP-RURAL,SC,High,2.720983,97.279015
10221,KARBIANGLONG,SC,High,0.022323346,99.97768
10221,KARBIANGLONG,ST,High,0.05264212,99.947365
10222,KARIMGANJ,General,High,0.049443003,99.950554
10222,KARIMGANJ,SC,High,1.9782662,98.021736
10222,KARIMGANJ,ST,High,12.110385,87.88961
10223,KOKRAJHAR,SC,High,1.2082541,98.79175
10223,KOKRAJHAR,ST,High,0.08933222,99.91067
10223,KOKRAJHAR,Overall,High,5.336066,94.66393
10224,LAKHIMPUR,General,Low,0.16689269,99.833115
10224,LAKHIMPUR,SC,Low,8.799718,91.20028
10224,LAKHIMPUR,ST,Low,0.89523953,99.10476
10224,LAKHIMPUR,Overall,Low,28.407461,71.59254
10225,MAJULI,General,Low,3.6475408,96.352455
10225,MAJULI,SC,Low,0.34018964,99.659805
10225,MAJULI,Overall,Low,0.045808997,99.9542
10226,MORIGAON,General,High,7.5295267,92.470474
10226,MORIGAON,OBC,High,0.3154387,99.684555
10226,MORIGAON,SC,High,5.9985566,94.00144
10226,MORIGAON,ST,High,0.07305897,99.92694
10227,NAGAON,OBC,High,1.1696057,98.83039
10227,NAGAON,SC,High,13.080491,86.91951
10227,NAGAON,ST,High,0.76648957,99.23351
10227,NAGAON,Overall,High,2.015581,97.98442
10228,NALBARI,General,High,0.90322727,99.09677
10228,NALBARI,OBC,High,1.7728028,98.2272
10228,NALBARI,SC,High,1.5479895,98.45201
10228,NALBARI,Overall,High,0.01190708,99.98809
10229,SIBSAGAR,General,High,39.082886,60.917114
10229,SIBSAGAR,OBC,High,2.282229,97.717766
10230,SONITPUR,General,High,6.0607166,93.939285
10230,SONITPUR,ST,High,36.963394,63.03661
10230,SONITPUR,Overall,High,0.45039436,99.54961
10231,SOUTHSALMARA-MANKACHAR,OBC,High,3.9086645,96.09133
10231,SOUTHSALMARA-MANKACHAR,SC,High,1.8726932,98.127304
10231,SOUTHSALMARA-MANKACHAR,Overall,High,0.20720756,99.79279
10232,TAMULPUR,OBC,High,0.8563475,99.143654
10232,TAMULPUR,ST,High,0.012285942,99.98771
10233,TINSUKIA,General,Low,1.9717239,98.028275
10233,TINSUKIA,SC,Low,0.014862943,99.98514
10233,TINSUKIA,Overall,Low,18.388002,81.612
10235,WESTKARBIANGLONG,General,High,1.8533276,98.14667
10235,WESTKARBIANGLONG,ST,High,4.6968756,95.30313
10235,WESTKARBIANGLONG,Overall,High,0.14530095,99.8547
10301,ARARIA,SC,High,3.8714771,96.12852
10301,ARARIA,ST,High,0.2003438,99.79965
10301,ARARIA,Overall,High,1.530134,98.46987
10302,ARWAL,OBC,Low,0.23398173,99.766014
10302,ARWAL,SC,Low,0.021112006,99.9789
10302,ARWAL,Overall,Low,0.107904546,99.892105
10303,AURANGABAD(BIHAR),General,Low,0.19280024,99.807205
10303,AURANGABAD(BIHAR),OBC,Low,23.77757,76.222435
10303,AURANGABAD(BIHAR),ST,Low,0.9703421,99.029655
10303,AURANGABAD(BIHAR),Overall,Low,41.368366,58.63164
10304,BANKA,General,High,17.338287,82.66171
10304,BANKA,ST,High,0.42577335,99.57423
10305,BEGUSARAI,General,High,0.16331124,99.83669
10305,BEGUSARAI,OBC,High,0.068672195,99.93132
10305,BEGUSARAI,SC,High,0.6593172,99.340675
10305,BEGUSARAI,ST,High,15.364337,84.635666
10305,BEGUSARAI,Overall,High,2.3530009,97.647
10306,BHAGALPUR,OBC,Low,0.023904532,99.97609
10306,BHAGALPUR,SC,Low,8.102636,91.89736
10306,BHAGALPUR,Overall,Low,1.8608048,98.1392
10307,BHOJPUR,OBC,Low,9.046974,90.953026
10308,BUXAR,General,High,20.730532,79.26948
10308,BUXAR,OBC,High,0.82568455,99.17432
10308,BUXAR,Overall,High,6.0191684,93.980835
10309,DARBHANGA,General,High,0.050622925,99.94937
10309,DARBHANGA,OBC,High,2.6759686,97.32403
10309,DARBHANGA,ST,High,0.39541712,99.604576
10310,GAYA,General,Low,0.0391459,99.96086
