DNo,Location,Social Category,Income,dropout,prim_Overall_social_category,prim_Overall_income
10204,BISWANATH,ST,High,0,84.13024693727493,15.869754552841187
10204,BISWANATH,Overall,High,0,82.5015664100647,17.498433589935303
10205,BONGAIGAON,General,High,1,0.5233903881162405,99.4766116142273
10205,BONGAIGAON,OBC,High,0,84.20865684747696,15.79134464263916
10205,BONGAIGAON,SC,High,0,82.5015664100647,17.498433589935303
10205,BONGAIGAON,ST,High,0,84.20865684747696,15.79134464263916
10205,BONGAIGAON,Overall,High,1,0.18468661000952125,99.81531500816345
10206,CACHAR,General,Low,0,88.14590349793434,11.85409426689148
10206,CACHAR,OBC,Low,1,31.412065029144287,68.58793497085571
10206,CACHAR,SC,Low,0,52.39748954772949,47.60251045227051
10206,CACHAR,ST,Low,1,1.2059965170919895,98.79400730133057
10206,CACHAR,Overall,Low,0,84.28528308868408,15.714716911315918
10207,CHARAIDEO,General,Low,0,76.55454128980637,23.445457220077515
10207,CHARAIDEO,OBC,Low,0,78.39024066925049,21.60975933074951
10207,CHARAIDEO,SC,Low,1,25.627365708351135,74.37263131141663
10207,CHARAIDEO,ST,Low,1,0.3080443013459444,99.69196319580078
10207,CHARAIDEO,Overall,Low,0,79.77593392133713,20.224064588546753
10208,CHIRANG,General,High,0,78.39024066925049,21.60975933074951
10208,CHIRANG,OBC,High,1,0.005626630809274502,99.9943733215332
10208,CHIRANG,SC,High,0,84.13024693727493,15.869754552841187
10208,CHIRANG,ST,High,0,78.39024066925049,21.60975933074951
10208,CHIRANG,Overall,High,1,0.6475250236690044,99.35247898101807
10209,DARRANG,General,High,0,84.28528308868408,15.714716911315918
10209,DARRANG,OBC,High,0,82.5015664100647,17.498433589935303
10209,DARRANG,SC,High,0,78.71292531490326,21.28707766532898
10209,DARRANG,ST,High,0,78.39024066925049,21.60975933074951
10209,DARRANG,Overall,High,0,83.09198915958405,16.908013820648193
10210,DHEMAJI,General,High,1,0.4642101936042309,99.53579306602478
10210,DHEMAJI,OBC,High,0,84.20865684747696,15.79134464263916
10210,DHEMAJI,SC,High,0,88.14590349793434,11.85409426689148
10210,DHEMAJI,ST,High,1,40.64961373806,59.350383281707764
10210,DHEMAJI,Overall,High,0,84.13024693727493,15.869754552841187
10211,DHUBRI,General,High,1,0.14172723749652505,99.85827207565308
10211,DHUBRI,OBC,High,0,84.28528308868408,15.714716911315918
10211,DHUBRI,SC,High,0,78.39024066925049,21.60975933074951
10211,DHUBRI,ST,High,0,84.28528308868408,15.714716911315918
10211,DHUBRI,Overall,High,1,0.1552784349769354,99.84472393989563
10212,DIBRUGARH,General,High,1,2.0557472482323647,97.94425368309021
10212,DIBRUGARH,OBC,High,0,82.5015664100647,17.498433589935303
10212,DIBRUGARH,SC,High,0,84.28528308868408,15.714716911315918
10212,DIBRUGARH,ST,High,0,84.2086598277092,15.79134464263916
10212,DIBRUGARH,Overall,High,0,84.20865684747696,15.79134464263916
10213,DIMAHASAO,General,High,1,11.702600866556168,88.29740285873413
10213,DIMAHASAO,OBC,High,1,31.035447120666504,68.9645528793335
10213,DIMAHASAO,SC,High,0,84.20865684747696,15.79134464263916
10213,DIMAHASAO,ST,High,1,34.895485639572144,65.10451436042786
10213,DIMAHASAO,Overall,High,1,0.031855879933573306,99.96814727783203
10214,GOALPARA,General,High,1,0.1890297862701118,99.81096982955933
10214,GOALPARA,OBC,High,1,0.30556765850633383,99.69443678855896
10214,GOALPARA,SC,High,0,84.13024693727493,15.869754552841187
10214,GOALPARA,ST,High,1,0.15427295584231615,99.84573125839233
10214,GOALPARA,Overall,High,0,78.39024066925049,21.60975933074951
10215,GOLAGHAT,General,High,1,0.765348644927144,99.23465251922607
10215,GOLAGHAT,OBC,High,0,78.71292531490326,21.28707766532898
10215,GOLAGHAT,SC,High,1,0.12372061610221863,99.8762845993042
10215,GOLAGHAT,ST,High,1,3.5936426371335983,96.40635251998901
10215,GOLAGHAT,Overall,High,0,84.13024693727493,15.869754552841187
10216,HAILAKANDI,General,High,0,84.28528308868408,15.714716911315918
10216,HAILAKANDI,OBC,High,0,84.20865684747696,15.79134464263916
10216,HAILAKANDI,SC,High,0,88.14590349793434,11.85409426689148
10216,HAILAKANDI,ST,High,1,0.1890297862701118,99.81096982955933
10216,HAILAKANDI,Overall,High,0,84.13024693727493,15.869754552841187
10217,HOJAI,General,High,0,84.13024693727493,15.869754552841187
10217,HOJAI,OBC,High,0,82.5015664100647,17.498433589935303
10217,HOJAI,SC,High,1,0.012469853390939534,99.98753070831299
10217,HOJAI,ST,High,0,84.13024693727493,15.869754552841187
10217,HOJAI,Overall,High,1,11.109044402837753,88.8909637928009
10218,JORHAT,General,High,0,84.28528308868408,15.714716911315918
10218,JORHAT,OBC,High,0,75.80122649669647,24.19877052307129
10218,JORHAT,SC,High,0,83.09198915958405,16.908013820648193
10218,JORHAT,ST,High,1,20.130909979343414,79.86909747123718
10218,JORHAT,Overall,High,1,20.324823260307312,79.6751856803894
10219,KAMRUP-METRO,General,High,0,82.5015738606453,17.498427629470825
10219,KAMRUP-METRO,OBC,High,1,0.15992954140529037,99.84007477760315
10219,KAMRUP-METRO,SC,High,0,52.96480059623718,47.03519940376282
10219,KAMRUP-METRO,ST,High,1,4.472731053829193,95.52727341651917
10219,KAMRUP-METRO,Overall,High,1,49.77938234806061,50.22062063217163
10220,KAMRUP-RURAL,General,High,0,71.4981734752655,28.501826524734497
10220,KAMRUP-RURAL,OBC,High,0,55.0131231546402,44.98687386512756
10220,KAMRUP-RURAL,SC,High,1,0.3455276833847165,99.65447783470154
10220,KAMRUP-RURAL,ST,High,0,83.09198915958405,16.908013820648193
10220,KAMRUP-RURAL,Overall,High,0,82.5015664100647,17.498433589935303
10221,KARBIANGLONG,General,High,0,69.68975067138672,30.31024932861328
10221,KARBIANGLONG,OBC,High,0,88.14590349793434,11.85409426689148
10221,KARBIANGLONG,SC,High,1,0.230586645193398,99.76940751075745
10221,KARBIANGLONG,ST,High,1,0.25761632714420557,99.74238872528076
10221,KARBIANGLONG,Overall,High,0,78.39024066925049,21.60975933074951
10222,KARIMGANJ,General,High,1,0.2056139288470149,99.79438185691833
10222,KARIMGANJ,OBC,High,0,84.28528308868408,15.714716911315918
10222,KARIMGANJ,SC,High,1,21.297866106033325,78.70213389396667
10222,KARIMGANJ,ST,High,0,60.73799729347229,39.26200866699219
10222,KARIMGANJ,Overall,High,0,82.5015664100647,17.498433589935303
10223,KOKRAJHAR,General,High,0,76.22166872024536,23.77833127975464
10223,KOKRAJHAR,OBC,High,0,78.39024066925049,21.60975933074951
10223,KOKRAJHAR,SC,High,1,0.19044281216338277,99.80955719947815
10223,KOKRAJHAR,ST,High,1,0.20206584595143795,99.79793429374695
10223,KOKRAJHAR,Overall,High,1,23.52181375026703,76.47818922996521
10224,LAKHIMPUR,General,Low,1,0.31851185485720634,99.68149065971375
10224,LAKHIMPUR,OBC,Low,0,84.13024693727493,15.869754552841187
10224,LAKHIMPUR,SC,Low,1,30.71283996105194,69.28715705871582
10224,LAKHIMPUR,ST,Low,1,0.18364472780376673,99.81635212898254
10224,LAKHIMPUR,Overall,Low,0,62.679681181907654,37.32031583786011
10225,MAJULI,General,Low,1,1.810707338154316,98.18929433822632
10225,MAJULI,OBC,Low,0,82.5015738606453,17.498427629470825
10225,MAJULI,SC,Low,1,0.7930156774818897,99.20698404312134
10225,MAJULI,ST,Low,0,70.77049911022186,29.229503870010376
10225,MAJULI,Overall,Low,1,0.17216679407283664,99.82783794403076
10226,MORIGAON,General,High,1,1.7680155113339424,98.23198914527893
10226,MORIGAON,OBC,High,1,0.5207112058997154,99.47928786277771
10226,MORIGAON,SC,High,1,5.7618726044893265,94.23812627792358
10226,MORIGAON,ST,High,1,0.27072420343756676,99.7292697429657
10226,MORIGAON,Overall,High,0,84.20865684747696,15.79134464263916
10227,NAGAON,General,High,0,78.71292531490326,21.28707766532898
10227,NAGAON,OBC,High,1,1.8841397017240524,98.11586141586304
10227,NAGAON,SC,High,1,35.64702570438385,64.35297727584839
10227,NAGAON,ST,High,1,0.2562102396041155,99.7437834739685
10227,NAGAON,Overall,High,1,2.2765200585126877,97.72347807884216
10228,NALBARI,General,High,1,2.1293507401765055e-06,100.0
10228,NALBARI,OBC,High,1,0.39161182940006256,99.60838556289673
10228,NALBARI,SC,High,1,0.25238755624741316,99.74761605262756
