DNo,Location,Social Category,Income,dropout,snr_Boys_social_category,snr_Boys_income
10210,DHEMAJI,OBC,High,1,0.006885663606226444,99.99310970306396
10210,DHEMAJI,SC,High,1,0.1359325833618641,99.86407160758972
10210,DHEMAJI,ST,High,1,0.07998812943696976,99.9200165271759
10210,DHEMAJI,Overall,High,1,0.018869381165131927,99.98113512992859
10211,DHUBRI,General,High,1,0.0033600732422200963,99.99663829803467
10211,DHUBRI,OBC,High,1,0.6065011955797672,99.39350485801697
10211,DHUBRI,SC,High,1,0.0009825099368754309,99.99902248382568
10211,DHUBRI,ST,High,0,91.2901520729065,8.709847927093506
10211,DHUBRI,Overall,High,1,0.0023985327061382122,99.99760389328003
10212,DIBRUGARH,General,High,0,80.18529266119003,19.814705848693848
10212,DIBRUGARH,OBC,High,1,0.0010105144610861316,99.99898672103882
10212,DIBRUGARH,SC,High,1,0.02319403865840286,99.9768078327179
10212,DIBRUGARH,ST,High,1,0.047143673873506486,99.95285272598267
10212,DIBRUGARH,Overall,High,1,0.004754389010486193,99.99524354934692
10213,DIMAHASAO,General,High,1,0.4417440388351679,99.55825209617615
10213,DIMAHASAO,OBC,High,1,2.0313240156610846e-05,99.99997615814209
10213,DIMAHASAO,SC,High,1,12.513276934623718,87.48672604560852
10213,DIMAHASAO,ST,High,1,0.00424927166022826,99.99575614929199
10213,DIMAHASAO,Overall,High,1,0.0023833154045860283,99.99761581420898
10214,GOALPARA,General,High,1,0.00025598442334739957,99.99974966049194
10214,GOALPARA,OBC,High,1,0.03759600513149053,99.96240139007568
10214,GOALPARA,SC,High,1,0.0028807789931306615,99.99711513519287
10214,GOALPARA,ST,High,1,0.015488045755773783,99.98451471328735
10214,GOALPARA,Overall,High,1,0.0003973350885644322,99.99960660934448
10215,GOLAGHAT,General,High,1,0.07619188982062042,99.9238133430481
10215,GOLAGHAT,OBC,High,1,0.0012993615200684872,99.9987006187439
10215,GOLAGHAT,SC,High,1,0.0014695599929837044,99.99853372573853
10215,GOLAGHAT,ST,High,1,0.052848795894533396,99.94714856147766
10215,GOLAGHAT,Overall,High,1,0.002857336585293524,99.99713897705078
10216,HAILAKANDI,General,High,1,0.014113856013864279,99.98588562011719
10216,HAILAKANDI,OBC,High,1,0.0009977316949516535,99.99899864196777
10216,HAILAKANDI,SC,High,1,0.003129017204628326,99.99687671661377
10216,HAILAKANDI,ST,High,1,0.10658821556717157,99.89340901374817
10216,HAILAKANDI,Overall,High,1,0.0029124186767148785,99.99709129333496
10217,HOJAI,General,High,1,9.853106348600704e-05,99.99990463256836
10217,HOJAI,OBC,High,1,0.0004922452717437409,99.99951124191284
10217,HOJAI,SC,High,1,1.0456829357963215e-05,99.99998807907104
10217,HOJAI,ST,High,1,0.06883954629302025,99.93115663528442
10217,HOJAI,Overall,High,1,4.2910943420793046e-05,99.99995231628418
