DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income
13208,BAHRAICH,OBC,Middle,1,16.009289026260376,83.9907169342041
13208,BAHRAICH,SC,Middle,0,52.09759771823883,47.90239930152893
13208,BAHRAICH,ST,Middle,1,44.96372938156128,55.03627061843872
13208,BAHRAICH,Overall,Middle,1,25.424310564994812,74.57568645477295
13209,BALLIA,General,High,0,77.79921293258667,22.200793027877808
13209,BALLIA,OBC,High,1,2.6054732501506805,97.39452600479126
13209,BALLIA,SC,High,1,0.059719476848840714,99.94027614593506
13209,BALLIA,ST,High,1,0.004651146809919737,99.99535083770752
13209,BALLIA,Overall,High,1,0.6582826841622591,99.34171438217163
13210,BALRAMPUR,General,High,1,0.22289888001978397,99.77710247039795
13210,BALRAMPUR,OBC,High,1,0.42745438404381275,99.57255125045776
13210,BALRAMPUR,SC,High,0,68.02815198898315,31.971853971481323
13210,BALRAMPUR,ST,High,1,0.2668102504685521,99.73318576812744
13210,BALRAMPUR,Overall,High,1,0.6905705202370882,99.30943250656128
13211,BANDA,General,High,0,77.79921293258667,22.200793027877808
13211,BANDA,OBC,High,0,50.08480250835419,49.91520047187805
13211,BANDA,SC,High,1,0.7975497283041477,99.20245409011841
13211,BANDA,ST,High,0,77.12338268756866,22.876614332199097
13211,BANDA,Overall,High,1,33.207014203071594,66.79299473762512
13212,BARABANKI,General,High,1,0.29058619402348995,99.70941543579102
13212,BARABANKI,OBC,High,1,20.15613615512848,79.84386682510376
13212,BARABANKI,SC,High,1,1.4494886621832848,98.55051636695862
13212,BARABANKI,ST,High,0,77.12338268756866,22.876614332199097
13212,BARABANKI,Overall,High,1,4.969426617026329,95.0305700302124
13213,BAREILLY,General,High,1,0.13849746901541948,99.8615026473999
13213,BAREILLY,OBC,High,1,0.12470220681279898,99.87529516220093
13213,BAREILLY,SC,High,1,1.0356167331337929,98.96438121795654
13213,BAREILLY,ST,High,0,77.12338268756866,22.876614332199097
13213,BAREILLY,Overall,High,1,0.1840577693656087,99.81594681739807
13214,BASTI,General,Low,1,0.000737042682885658,99.99926090240479
13214,BASTI,OBC,Low,1,0.38214398082345724,99.61785078048706
13214,BASTI,SC,Low,0,74.80748295783997,25.192517042160034
13214,BASTI,ST,Low,0,80.59731274843216,19.402682781219482
13214,BASTI,Overall,Low,1,1.2460427358746529,98.7539529800415
13215,BHADOI,General,Low,0,76.21768862009048,23.782312870025635
13215,BHADOI,OBC,Low,1,33.897289633750916,66.10271334648132
13215,BHADOI,SC,Low,1,39.25074338912964,60.74925661087036
13215,BHADOI,ST,Low,0,80.59731274843216,19.402682781219482
13215,BHADOI,Overall,Low,1,45.28794288635254,54.71205115318298
13216,BIJNOR,General,Low,1,6.000404432415962,93.99960041046143
13216,BIJNOR,OBC,Low,1,5.194641649723053,94.80536580085754
13216,BIJNOR,SC,Low,1,24.582649767398834,75.41735172271729
13216,BIJNOR,ST,Low,0,80.59731274843216,19.402682781219482
13216,BIJNOR,Overall,Low,1,8.096232265233994,91.90376400947571
13217,BUDAUN,General,High,1,0.2939715050160885,99.7060239315033
13217,BUDAUN,OBC,High,1,0.36088922061026096,99.63911175727844
13217,BUDAUN,SC,High,1,0.1858134171925485,99.8141884803772
13217,BUDAUN,ST,High,0,77.12338268756866,22.876614332199097
13217,BUDAUN,Overall,High,1,0.32299826852977276,99.67700242996216
13218,BULANDSHAHR,General,Low,1,19.33400332927704,80.6659996509552
13218,BULANDSHAHR,OBC,Low,1,8.710531890392303,91.28946661949158
13218,BULANDSHAHR,SC,Low,1,5.403764545917511,94.59623694419861
13218,BULANDSHAHR,ST,Low,0,80.59731274843216,19.402682781219482
13218,BULANDSHAHR,Overall,Low,1,10.134386271238327,89.86561298370361
13219,CHANDAULI,General,Low,1,5.120894685387611,94.87910270690918
13219,CHANDAULI,OBC,Low,1,6.344059854745865,93.65593791007996
13219,CHANDAULI,SC,Low,1,0.4990671295672655,99.50093030929565
13219,CHANDAULI,ST,Low,0,80.59731274843216,19.402682781219482
13219,CHANDAULI,Overall,Low,1,2.140304632484913,97.85969257354736
13220,CHITRAKOOT,General,High,0,58.27402472496033,41.72597527503967
13220,CHITRAKOOT,OBC,High,1,7.648134231567383,92.35186576843262
13220,CHITRAKOOT,SC,High,1,24.59631860256195,75.40367841720581
13220,CHITRAKOOT,ST,High,0,77.12338268756866,22.876614332199097
13220,CHITRAKOOT,Overall,High,1,12.998995184898376,87.00100183486938
13221,DEORIA,General,High,0,77.79921293258667,22.200793027877808
13221,DEORIA,OBC,High,0,80.2348867058754,19.765114784240723
13221,DEORIA,SC,High,1,0.13257445534691215,99.86742734909058
13221,DEORIA,ST,High,1,21.64676934480667,78.35323214530945
13221,DEORIA,Overall,High,0,73.42084348201752,26.579153537750244
13222,ETAH,General,Low,1,0.010486947576282546,99.98950958251953
13222,ETAH,OBC,Low,1,0.05619589937850833,99.94379878044128
13222,ETAH,SC,Low,1,0.026635316316969693,99.97336268424988
13222,ETAH,ST,Low,0,80.59731274843216,19.402682781219482
13222,ETAH,Overall,Low,1,0.03668706340249628,99.96330738067627
13223,ETAWAH,General,High,0,77.79921293258667,22.200793027877808
13223,ETAWAH,OBC,High,1,0.01579068339196965,99.98420476913452
13223,ETAWAH,SC,High,1,0.13331027003005147,99.86668825149536
13223,ETAWAH,ST,High,0,77.12337970733643,22.876620292663574
13223,ETAWAH,Overall,High,1,0.12121860636398196,99.87878203392029
13224,FAIZABAD,General,Low,1,0.12007968034595251,99.8799204826355
13224,FAIZABAD,OBC,Low,1,13.384218513965607,86.61577701568604
13224,FAIZABAD,SC,Low,1,3.3081401139497757,96.69186472892761
13224,FAIZABAD,ST,Low,0,80.59731274843216,19.402682781219482
13224,FAIZABAD,Overall,Low,1,2.4479232728481293,97.55207300186157
13225,FARRUKHABAD,General,High,0,77.79921293258667,22.200793027877808
13225,FARRUKHABAD,OBC,High,1,0.69514075294137,99.30485486984253
13225,FARRUKHABAD,SC,High,1,0.015279106446541846,99.98471736907959
13225,FARRUKHABAD,ST,High,0,77.12338268756866,22.876614332199097
13225,FARRUKHABAD,Overall,High,1,2.0313361659646034,97.96866178512573
13226,FATEHPUR,General,High,0,77.79921293258667,22.200793027877808
13226,FATEHPUR,OBC,High,1,26.106876134872437,73.89312386512756
13226,FATEHPUR,SC,High,1,1.0356167331337929,98.96438121795654
13226,FATEHPUR,ST,High,1,1.0494883172214031,98.95051121711731
13226,FATEHPUR,Overall,High,1,22.32365906238556,77.6763379573822
13227,FIROZABAD,General,Low,1,0.03041629388462752,99.9695897102356
13227,FIROZABAD,OBC,Low,1,0.07273201481439173,99.92726445198059
13227,FIROZABAD,SC,Low,1,1.673753745853901,98.32624197006226
13227,FIROZABAD,ST,Low,0,80.59731274843216,19.402682781219482
13227,FIROZABAD,Overall,Low,1,0.06767071899957955,99.93233680725098
13228,GAUTAMBUDDHANAGAR,General,Low,1,0.1743712229654193,99.8256266117096
13228,GAUTAMBUDDHANAGAR,OBC,Low,0,79.87312823534012,20.126873254776
13228,GAUTAMBUDDHANAGAR,SC,Low,0,74.80748295783997,25.192517042160034
13228,GAUTAMBUDDHANAGAR,ST,Low,0,80.59731274843216,19.402682781219482
13228,GAUTAMBUDDHANAGAR,Overall,Low,1,17.042537033557892,82.95746445655823
13229,GHAZIABAD,General,High,1,0.13031568378210068,99.86968636512756
13229,GHAZIABAD,OBC,High,0,80.2348867058754,19.765114784240723
13229,GHAZIABAD,SC,High,0,71.02502286434174,28.974974155426025
13229,GHAZIABAD,ST,High,0,77.12338268756866,22.876614332199097
13229,GHAZIABAD,Overall,High,0,69.83145773410797,30.168533325195312
13230,GHAZIPUR,General,High,1,0.013294481323100626,99.98670816421509
13230,GHAZIPUR,OBC,High,1,0.22797533310949802,99.77201819419861
13230,GHAZIPUR,SC,High,1,0.020269898232072592,99.97972846031189
13230,GHAZIPUR,ST,High,0,77.12338268756866,22.876614332199097
13230,GHAZIPUR,Overall,High,1,0.12054925318807364,99.8794436454773
13231,GONDA,General,Low,0,76.21768862009048,23.782312870025635
13231,GONDA,OBC,Low,1,12.016305327415466,87.9836916923523
13231,GONDA,SC,Low,1,1.691967248916626,98.30803871154785
