DNo,Location,Social Category,Income,snr_Overall_socialcat,snr_Overall_income
10224,LAKHIMPUR,General,Low,1.3867658,98.613235
10224,LAKHIMPUR,OBC,Low,0.18071532,99.81928
10224,LAKHIMPUR,SC,Low,0.39958405,99.60042
10224,LAKHIMPUR,ST,Low,0.46518347,99.53481
10224,LAKHIMPUR,Overall,Low,10.097363,89.90263
10225,MAJULI,General,Low,0.7771085,99.22289
10225,MAJULI,OBC,Low,0.59245247,99.40754
10225,MAJULI,SC,Low,18.596128,81.40388
10225,MAJULI,ST,Low,0.5158057,99.4842
10225,MAJULI,Overall,Low,0.93766016,99.06234
10226,MORIGAON,General,High,0.26235136,99.73764
10226,MORIGAON,OBC,High,0.8201358,99.17986
10226,MORIGAON,SC,High,0.5470857,99.45292
10226,MORIGAON,ST,High,0.49652997,99.50347
10226,MORIGAON,Overall,High,49.890495,50.109505
10227,NAGAON,General,High,0.08697544,99.91303
10227,NAGAON,OBC,High,1.0708464,98.92916
10227,NAGAON,SC,High,0.28216922,99.717834
10227,NAGAON,ST,High,27.986965,72.01303
10227,NAGAON,Overall,High,0.6015502,99.39845
10228,NALBARI,OBC,High,2.2728536,97.72714
10228,NALBARI,ST,High,0.17950688,99.820496
10228,NALBARI,Overall,High,1.8594759,98.14052
10229,SIBSAGAR,General,High,2.8365796,97.16342
10229,SIBSAGAR,OBC,High,2.0920434,97.90796
10229,SIBSAGAR,SC,High,2.6861851,97.31381
10229,SIBSAGAR,ST,High,0.1885603,99.81145
10229,SIBSAGAR,Overall,High,0.58207124,99.41792
10230,SONITPUR,General,High,0.52248424,99.477516
10230,SONITPUR,OBC,High,1.9128822,98.08711
10230,SONITPUR,SC,High,49.890495,50.109505
10230,SONITPUR,ST,High,0.3392365,99.66077
10230,SONITPUR,Overall,High,7.3831797,92.61681
10231,SOUTHSALMARA-MANKACHAR,General,High,0.2818718,99.71813
10231,SOUTHSALMARA-MANKACHAR,SC,High,0.12222951,99.87777
10231,SOUTHSALMARA-MANKACHAR,ST,High,26.792368,73.207634
10231,SOUTHSALMARA-MANKACHAR,Overall,High,5.6333327,94.36667
10232,TAMULPUR,General,High,0.22416371,99.77584
10232,TAMULPUR,OBC,High,2.447798,97.5522
10232,TAMULPUR,ST,High,0.73156387,99.26844
10232,TAMULPUR,Overall,High,37.899483,62.100525
10233,TINSUKIA,OBC,Low,1.2086743,98.79133
10233,TINSUKIA,SC,Low,0.0050026276,99.994995
10233,TINSUKIA,ST,Low,3.0803728,96.919624
10233,TINSUKIA,Overall,Low,0.7835822,99.216415
10234,UDALGURI,OBC,High,0.27371085,99.72628
10234,UDALGURI,SC,High,0.20644727,99.79356
10234,UDALGURI,ST,High,0.4066787,99.59332
10234,UDALGURI,Overall,High,1.0966494,98.90334
10235,WESTKARBIANGLONG,General,High,0.101216264,99.89879
10235,WESTKARBIANGLONG,SC,High,0.26760054,99.7324
10235,WESTKARBIANGLONG,ST,High,0.60998917,99.39001
10235,WESTKARBIANGLONG,Overall,High,0.55466497,99.445335
10301,ARARIA,General,High,0.31711784,99.682884
10301,ARARIA,OBC,High,0.43389732,99.56609
10301,ARARIA,SC,High,1.0759182,98.92408
10301,ARARIA,ST,High,0.46409035,99.53591
10301,ARARIA,Overall,High,1.2892529,98.71075
10302,ARWAL,General,Low,1.0918012,98.908195
10302,ARWAL,OBC,Low,0.966128,99.033875
10302,ARWAL,ST,Low,0.44036674,99.55963
10302,ARWAL,Overall,Low,3.2306328,96.76936
10303,AURANGABAD(BIHAR),General,Low,19.489346,80.51065
10303,AURANGABAD(BIHAR),OBC,Low,0.0101255765,99.989876
10303,AURANGABAD(BIHAR),SC,Low,1.3286197,98.67138
10303,AURANGABAD(BIHAR),ST,Low,0.23441415,99.76559
10303,AURANGABAD(BIHAR),Overall,Low,0.5637074,99.436295
10304,BANKA,General,High,0.40713534,99.59286
10304,BANKA,OBC,High,27.214115,72.78588
10304,BANKA,SC,High,0.16958839,99.830414
10304,BANKA,Overall,High,0.9051465,99.09485
10305,BEGUSARAI,General,High,0.45955902,99.540436
10305,BEGUSARAI,OBC,High,11.163404,88.8366
10305,BEGUSARAI,SC,High,0.10384826,99.89616
10305,BEGUSARAI,ST,High,22.633558,77.36644
10305,BEGUSARAI,Overall,High,0.4243994,99.5756
10306,BHAGALPUR,General,Low,1.0132464,98.986755
10306,BHAGALPUR,OBC,Low,0.576062,99.423935
10306,BHAGALPUR,SC,Low,0.23689237,99.76311
10306,BHAGALPUR,ST,Low,2.6649811,97.335014
10306,BHAGALPUR,Overall,Low,2.5999997,97.399994
10307,BHOJPUR,General,Low,0.5457713,99.45422
10307,BHOJPUR,OBC,Low,15.162786,84.83722
10307,BHOJPUR,SC,Low,4.5166993,95.48331
10307,BHOJPUR,Overall,Low,0.14383546,99.85617
10308,BUXAR,General,High,1.0292486,98.97075
10308,BUXAR,OBC,High,0.6669051,99.33309
10308,BUXAR,ST,High,1.0882478,98.91176
10308,BUXAR,Overall,High,1.1567233,98.84327
10309,DARBHANGA,General,High,8.67,91.329994
10309,DARBHANGA,OBC,High,0.28892016,99.711075
10309,DARBHANGA,SC,High,3.6318944,96.368095
10309,DARBHANGA,ST,High,1.4051777,98.59482
10309,DARBHANGA,Overall,High,0.12443312,99.87557
10310,GAYA,General,Low,0.3610093,99.63899
10310,GAYA,OBC,Low,1.900959,98.099045
10310,GAYA,SC,Low,0.593281,99.40672
10310,GAYA,ST,Low,0.15293187,99.84706
10310,GAYA,Overall,Low,1.2555819,98.74442
10311,GOPALGANJ,General,Low,10.870129,89.12987
10311,GOPALGANJ,OBC,Low,2.9980237,97.00198
10311,GOPALGANJ,SC,Low,0.3057469,99.694244
10311,GOPALGANJ,ST,Low,29.022417,70.977585
10312,JAMUI,General,High,2.578375,97.42163
10312,JAMUI,OBC,High,30.025751,69.97425
10312,JAMUI,SC,High,0.1753929,99.82461
10312,JAMUI,ST,High,2.0417404,97.95827
10312,JAMUI,Overall,High,0.3690987,99.6309
10313,JEHANABAD,General,High,0.31913343,99.68086
10313,JEHANABAD,OBC,High,0.20897934,99.79102
10313,JEHANABAD,SC,High,1.1409321,98.85906
10313,JEHANABAD,ST,High,37.261658,62.738346
10313,JEHANABAD,Overall,High,0.8901972,99.1098
10314,KAIMUR(BHABUA),General,High,0.3657156,99.634285
10314,KAIMUR(BHABUA),OBC,High,0.11174424,99.88826
10314,KAIMUR(BHABUA),SC,High,17.27904,82.720955
10314,KAIMUR(BHABUA),ST,High,0.16705969,99.83295
10314,KAIMUR(BHABUA),Overall,High,0.3518321,99.64816
10315,KATIHAR,General,High,1.1295154,98.87048
10315,KATIHAR,OBC,High,17.211298,82.7887
10315,KATIHAR,SC,High,0.6101777,99.38982
10315,KATIHAR,ST,High,0.11640543,99.8836
10315,KATIHAR,Overall,High,0.101760134,99.89824
10316,KHAGARIA,General,High,0.37085846,99.62914
10316,KHAGARIA,OBC,High,3.24512,96.754875
10316,KHAGARIA,SC,High,3.926127,96.073875
10316,KHAGARIA,ST,High,2.7915268,97.20847
10316,KHAGARIA,Overall,High,0.06680937,99.93319
10317,KISHANGANJ,General,High,1.3588016,98.64119
10317,KISHANGANJ,OBC,High,0.07160526,99.9284
10317,KISHANGANJ,SC,High,0.63508743,99.36491
10317,KISHANGANJ,ST,High,1.8303599,98.16964
10318,LAKHISARAI,General,High,2.2153103,97.78468
10318,LAKHISARAI,OBC,High,5.4722795,94.52772
10318,LAKHISARAI,SC,High,17.93839,82.061615
10318,LAKHISARAI,ST,High,0.27530798,99.7247
10318,LAKHISARAI,Overall,High,1.3876562,98.61234
10319,MADHEPURA,General,High,0.43519196,99.56481
10319,MADHEPURA,OBC,High,0.3033976,99.69661
10319,MADHEPURA,SC,High,3.620831,96.37917
10319,MADHEPURA,ST,High,0.75891984,99.24108
10319,MADHEPURA,Overall,High,3.496534,96.50346
10320,MADHUBANI,General,High,0.8724588,99.12754
10320,MADHUBANI,SC,High,0.7199423,99.28006
10320,MADHUBANI,ST,High,0.3251124,99.6749
10320,MADHUBANI,Overall,High,0.85597223,99.14403
10321,MUNGER,General,Low,6.2499413,93.75006
10321,MUNGER,OBC,Low,1.6766574,98.32334
10321,MUNGER,SC,Low,0.23548031,99.76452
10321,MUNGER,ST,Low,0.42824298,99.57176
10321,MUNGER,Overall,Low,0.4346528,99.56535
10322,MUZAFFARPUR,General,High,3.416397,96.58361
10322,MUZAFFARPUR,OBC,High,0.24358854,99.75641
10322,MUZAFFARPUR,SC,High,2.138945,97.86106
10322,MUZAFFARPUR,ST,High,7.78092,92.21908
10322,MUZAFFARPUR,Overall,High,1.1043694,98.89563
10323,NALANDA,General,Low,0.39077866,99.60922
10323,NALANDA,OBC,Low,0.036508534,99.963486
10323,NALANDA,ST,Low,1.2212596,98.77874
10323,NALANDA,Overall,Low,0.5348088,99.465195
10324,NAWADA,General,High,2.3055236,97.69448
10324,NAWADA,OBC,High,0.30006176,99.699936
10324,NAWADA,SC,High,49.890495,50.109505
10324,NAWADA,ST,High,11.128024,88.87197
10324,NAWADA,Overall,High,5.2336597,94.766335
10325,PASHCHIMCHAMPARAN,General,High,0.26237983,99.73762
10325,PASHCHIMCHAMPARAN,OBC,High,2.2970002,97.703
10325,PASHCHIMCHAMPARAN,Overall,High,0.19337825,99.806625
10326,PATNA,General,Low,0.4867085,99.51328
10326,PATNA,OBC,Low,0.1445265,99.85548
10326,PATNA,ST,Low,0.200929,99.79907
10326,PATNA,Overall,Low,2.6026456,97.397354
10327,PURBACHAMPARAN,General,Low,17.243715,82.75628
10327,PURBACHAMPARAN,OBC,Low,0.4189272,99.58108
10327,PURBACHAMPARAN,SC,Low,0.25445992,99.745544
10327,PURBACHAMPARAN,ST,Low,2.0428653,97.95714
10327,PURBACHAMPARAN,Overall,Low,49.890495,50.109505
10328,PURNIA,General,High,1.4287924,98.57121
10328,PURNIA,SC,High,1.0329692,98.96703
10328,PURNIA,ST,High,2.1122293,97.88777
10328,PURNIA,Overall,High,0.11740336,99.8826
10329,ROHTAS,General,High,1.1977304,98.80227
10329,ROHTAS,OBC,High,0.15002035,99.849976
10329,ROHTAS,SC,High,0.3797413,99.62026
10329,ROHTAS,ST,High,0.085462086,99.914536
10329,ROHTAS,Overall,High,2.8045504,97.19545
10330,SAHARSA,General,High,1.1197069,98.880295
10330,SAHARSA,OBC,High,0.43068695,99.56931
10330,SAHARSA,SC,High,2.3041847,97.695816
10330,SAHARSA,ST,High,4.8421655,95.15783
10330,SAHARSA,Overall,High,0.7496363,99.25037
10331,SAMASTIPUR,General,High,0.1034193,99.89658
10331,SAMASTIPUR,OBC,High,49.890495,50.109505
10331,SAMASTIPUR,SC,High,0.3502986,99.64971
10331,SAMASTIPUR,ST,High,37.64405,62.35594
10331,SAMASTIPUR,Overall,High,0.24994513,99.75006
10332,SARAN,General,Low,0.57583463,99.42417
10332,SARAN,OBC,Low,35.153145,64.84686
10332,SARAN,SC,Low,0.24742918,99.75258
10332,SARAN,ST,Low,0.10608202,99.89392
10332,SARAN,Overall,Low,0.19521427,99.80478
10333,SHEIKHPURA,General,Low,1.2099838,98.790016
10333,SHEIKHPURA,OBC,Low,2.5921078,97.4079
10333,SHEIKHPURA,SC,Low,0.3031587,99.696846
