DNo,Location,Social Category,Income,dropout,snr_Overall_social_category,snr_Overall_income
10312,JAMUI,General,High,1,0.11664018966257572,99.88335967063904
10312,JAMUI,OBC,High,0,78.36984694004059,21.63015604019165
10312,JAMUI,SC,High,1,3.602274887271051e-05,99.99996423721313
10312,JAMUI,ST,High,1,0.2558173146098852,99.74417686462402
10312,JAMUI,Overall,High,1,0.00011495433227537433,99.99988079071045
10313,JEHANABAD,General,High,1,0.02968857588712126,99.97031092643738
10313,JEHANABAD,OBC,High,1,0.002193064028688241,99.99780654907227
10313,JEHANABAD,SC,High,1,0.13181556714698672,99.86818432807922
10313,JEHANABAD,ST,High,1,44.95777189731598,55.04223108291626
10313,JEHANABAD,Overall,High,1,0.019850816170219332,99.98014569282532
10314,KAIMUR(BHABUA),General,High,1,0.0005115114163345424,99.99948740005493
10314,KAIMUR(BHABUA),OBC,High,1,7.039366867189756e-07,100.0
10314,KAIMUR(BHABUA),SC,High,1,20.793408155441284,79.20659184455872
10314,KAIMUR(BHABUA),ST,High,1,0.002945705819001887,99.9970555305481
10314,KAIMUR(BHABUA),Overall,High,1,0.0026353218345320784,99.99736547470093
10315,KATIHAR,General,High,1,0.02526847238186747,99.97473359107971
10315,KATIHAR,OBC,High,1,28.605398535728455,71.39460444450378
10315,KATIHAR,SC,High,1,0.03967917000409216,99.96032118797302
10315,KATIHAR,ST,High,1,4.720163246929587e-05,99.99995231628418
10315,KATIHAR,Overall,High,1,7.732633200419059e-07,100.0
10316,KHAGARIA,General,High,1,0.05052650230936706,99.94946718215942
10316,KHAGARIA,OBC,High,1,0.7811837363988161,99.21882152557373
10316,KHAGARIA,SC,High,1,2.199508063495159,97.80048727989197
10316,KHAGARIA,ST,High,1,0.5621342454105616,99.43786263465881
10316,KHAGARIA,Overall,High,1,6.074286074131408e-08,100.0
10317,KISHANGANJ,General,High,1,0.07544366526417434,99.92456436157227
10317,KISHANGANJ,OBC,High,1,4.090812133483723e-08,100.0
10317,KISHANGANJ,SC,High,1,0.03608108090702444,99.96391534805298
10317,KISHANGANJ,ST,High,1,0.2889996161684394,99.71100687980652
10317,KISHANGANJ,Overall,High,0,79.8694297671318,20.130568742752075
10318,LAKHISARAI,General,High,1,0.710030272603035,99.28996562957764
10318,LAKHISARAI,OBC,High,1,0.9215407073497772,99.07846450805664
10318,LAKHISARAI,SC,High,0,91.22512117028236,8.774876594543457
10318,LAKHISARAI,ST,High,1,0.008731961133889854,99.99126195907593
10318,LAKHISARAI,Overall,High,1,1.2399546802043915,98.76004457473755
10319,MADHEPURA,General,High,1,0.003144818401779048,99.99685287475586
10319,MADHEPURA,OBC,High,1,0.0018468006601324305,99.99815225601196
10319,MADHEPURA,SC,High,1,0.7048143073916435,99.29518103599548
10319,MADHEPURA,ST,High,1,0.10937273036688566,99.89062547683716
10319,MADHEPURA,Overall,High,1,0.27003863360732794,99.72996115684509
10320,MADHUBANI,General,High,1,0.07852074922993779,99.9214768409729
10320,MADHUBANI,OBC,High,0,88.95367830991745,11.04632019996643
10320,MADHUBANI,SC,High,1,0.044055923353880644,99.95594620704651
10320,MADHUBANI,ST,High,1,0.01788924855645746,99.9821126461029
10320,MADHUBANI,Overall,High,1,0.009923370089381933,99.99006986618042
10321,MUNGER,General,Low,1,4.335945099592209,95.66405415534973
10321,MUNGER,OBC,Low,1,0.2113074529916048,99.78869557380676
10321,MUNGER,SC,Low,1,2.1648358483616903e-05,99.99997615814209
10321,MUNGER,ST,Low,1,0.0016443214917671867,99.9983549118042
10321,MUNGER,Overall,Low,1,0.0003126824822174967,99.99969005584717
10322,MUZAFFARPUR,General,High,1,2.6926543563604355,97.3073422908783
10322,MUZAFFARPUR,OBC,High,1,1.7754670977865317e-05,99.99998807907104
10322,MUZAFFARPUR,SC,High,1,0.0691738910973072,99.93082284927368
10322,MUZAFFARPUR,ST,High,1,4.395592957735062,95.604407787323
10322,MUZAFFARPUR,Overall,High,1,0.1393624464981258,99.86063838005066
10323,NALANDA,General,Low,1,0.012773371418006718,99.98722076416016
10323,NALANDA,OBC,Low,1,4.6253939567364455e-08,100.0
10323,NALANDA,SC,Low,0,83.38685482740402,16.61313772201538
10323,NALANDA,ST,Low,1,0.07784772897139192,99.92215633392334
10323,NALANDA,Overall,Low,1,0.004565358176478185,99.9954342842102
10324,NAWADA,General,High,1,0.5828886292874813,99.41710829734802
10324,NAWADA,OBC,High,1,0.003678237771964632,99.99631643295288
10324,NAWADA,SC,High,0,80.89867830276489,19.101321697235107
