Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo
RAICHUR,SC,0.15,0.3,0.22,1.12,1.99,1.56,18.54,18.05,18.27,11425
RAICHUR,ST,0.0,0.07,0.0,0.65,1.54,1.1,18.41,16.96,17.63,11425
RAICHUR,Overall,0.0,0.26,0.09,0.9,1.67,1.29,20.11,19.83,19.96,11425
RAMANAGARA,General,12.45,8.31,10.3,25.86,12.67,18.27,25.74,59.62,45.46,11426
RAMANAGARA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,13.95,20.66,17.38,11426
RAMANAGARA,SC,0.0,0.0,0.0,0.0,0.0,0.0,10.94,17.99,14.62,11426
RAMANAGARA,ST,0.24,0.16,0.2,0.0,1.18,0.0,20.1,23.49,21.8,11426
RAMANAGARA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,13.84,21.58,17.83,11426
SHIVAMOGGA,General,2.68,2.56,2.62,0.0,2.99,1.12,2.2,21.61,12.69,11427
SHIVAMOGGA,OBC,0.0,0.0,0.0,1.69,1.32,1.5,14.32,23.96,19.35,11427
SHIVAMOGGA,SC,0.72,0.78,0.75,3.98,3.22,3.59,18.81,23.45,21.19,11427
SHIVAMOGGA,ST,1.92,0.85,1.36,6.66,3.92,5.25,15.75,24.89,20.45,11427
SHIVAMOGGA,Overall,0.0,0.0,0.0,2.21,1.94,2.07,14.53,23.75,19.34,11427
TUMAKURU,General,10.82,8.16,9.39,15.09,14.34,14.67,31.17,49.75,42.43,11428
TUMAKURU,OBC,0.0,0.0,0.0,0.0,0.0,0.0,10.6,21.48,16.5,11428
TUMAKURU,SC,0.0,0.0,0.0,2.44,0.6,1.48,16.35,20.27,18.46,11428
TUMAKURU,ST,0.0,0.0,0.0,2.11,2.74,2.45,7.12,18.77,13.84,11428
TUMAKURU,Overall,0.0,0.0,0.0,0.74,0.32,0.52,12.32,22.63,17.96,11428
TUMAKURU MADHUGIRI,General,20.95,20.24,20.57,0.24,4.16,2.5,43.75,41.69,42.66,11429
TUMAKURU MADHUGIRI,OBC,0.0,0.0,0.0,2.46,2.01,2.22,13.89,21.51,17.92,11429
TUMAKURU MADHUGIRI,SC,0.21,0.0,0.0,2.97,1.26,2.08,18.77,21.71,20.3,11429
TUMAKURU MADHUGIRI,ST,0.0,0.0,0.0,1.83,0.95,1.39,19.65,22.91,21.31,11429
TUMAKURU MADHUGIRI,Overall,0.0,0.0,0.0,2.45,1.74,2.08,16.61,22.19,19.54,11429
UDUPI,General,5.45,1.47,3.45,0.0,0.97,0.0,1.77,3.41,2.66,11430
UDUPI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.92,1.63,11430
UDUPI,SC,0.0,0.0,0.0,0.77,0.0,0.29,6.1,12.48,9.41,11430
UDUPI,ST,1.44,1.42,1.43,0.0,0.0,0.0,0.0,8.75,3.81,11430
UDUPI,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.71,3.96,2.4,11430
UTTARA KANNADA,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11431
UTTARA KANNADA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,14.39,16.95,15.7,11431
UTTARA KANNADA,SC,7.66,7.45,7.55,9.16,0.56,4.59,18.47,23.69,21.18,11431
UTTARA KANNADA,ST,1.87,1.99,1.92,4.44,0.0,2.13,33.33,30.1,31.68,11431
UTTARA KANNADA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,10.89,14.74,12.87,11431
UTTARA KANNADA SIRSI,General,0.0,0.0,0.0,1.35,5.14,3.41,18.99,33.33,26.77,11432
UTTARA KANNADA SIRSI,OBC,0.0,0.0,0.0,0.04,0.0,0.0,23.21,23.8,23.52,11432
UTTARA KANNADA SIRSI,SC,2.5,2.72,2.61,2.22,4.06,3.17,31.42,37.25,34.51,11432
UTTARA KANNADA SIRSI,ST,0.74,0.0,0.12,0.0,0.0,0.0,29.88,29.05,29.47,11432
UTTARA KANNADA SIRSI,Overall,0.0,0.0,0.0,0.3,0.31,0.3,24.02,26.66,25.39,11432
VIJAYANAGARA,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11433
VIJAYANAGARA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11433
VIJAYANAGARA,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11433
VIJAYANAGARA,ST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11433
VIJAYANAGARA,Overall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11433
VIJAYAPURA,General,0.0,0.0,0.0,9.49,9.72,9.62,0.0,0.0,0.0,11434
VIJAYAPURA,OBC,0.0,0.0,0.0,3.12,1.8,2.44,18.23,14.24,16.13,11434
VIJAYAPURA,SC,0.3,1.43,0.9,2.04,3.33,2.69,14.35,13.29,13.77,11434
VIJAYAPURA,ST,2.69,0.69,1.63,2.83,1.89,2.36,10.98,6.69,8.64,11434
VIJAYAPURA,Overall,0.0,0.24,0.02,2.98,2.36,2.66,16.1,12.58,14.23,11434
YADAGIRI,General,2.01,0.0,0.0,10.34,0.0,0.3,32.0,0.0,0.0,11435
YADAGIRI,OBC,0.09,1.03,0.58,2.39,3.45,2.92,13.38,11.5,12.39,11435
YADAGIRI,SC,0.39,1.48,0.97,2.47,3.02,2.75,8.42,10.57,9.61,11435
YADAGIRI,ST,0.67,1.04,0.87,2.33,4.3,3.34,5.75,10.5,8.32,11435
YADAGIRI,Overall,0.26,1.04,0.67,2.5,3.29,2.91,11.58,10.04,10.76,11435
