Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
KANGPOKPI,Overall,12.99,13.42,13.21,6.23,7.37,6.81,14.09,14.53,14.32,12009,25.1524326,93.9714932,24.7208818,93.9229386
NONEY,General,0.0,94.12,96.55,83.33,71.43,76.92,30.0,45.83,38.64,12010,24.859061,93.632746,24.7208818,93.9229386
NONEY,OBC,0.0,25.0,0.0,66.67,20.0,37.5,66.67,0.0,0.0,12010,24.859061,93.632746,24.7208818,93.9229386
NONEY,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12010,24.859061,93.632746,24.7208818,93.9229386
NONEY,ST,27.67,25.6,26.6,12.52,0.16,6.26,22.43,29.82,26.29,12010,24.859061,93.632746,24.7208818,93.9229386
NONEY,Overall,27.68,25.72,26.66,12.59,0.41,6.41,22.29,29.42,26.02,12010,24.859061,93.632746,24.7208818,93.9229386
PHERZAWL,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12011,24.2595653,93.1906004,24.7208818,93.9229386
PHERZAWL,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12011,24.2595653,93.1906004,24.7208818,93.9229386
PHERZAWL,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12011,24.2595653,93.1906004,24.7208818,93.9229386
PHERZAWL,ST,12.63,13.59,13.12,20.32,15.64,17.95,44.87,38.99,41.9,12011,24.2595653,93.1906004,24.7208818,93.9229386
PHERZAWL,Overall,13.17,14.21,13.71,20.32,15.64,17.95,44.87,38.99,41.9,12011,24.2595653,93.1906004,24.7208818,93.9229386
SENAPATI,General,35.97,31.23,33.53,17.28,22.48,20.0,22.0,0.0,7.16,12012,24.7208818,93.9229386,24.7208818,93.9229386
SENAPATI,OBC,0.0,0.0,0.0,0.0,9.09,3.23,14.29,14.29,14.29,12012,24.7208818,93.9229386,24.7208818,93.9229386
SENAPATI,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12012,24.7208818,93.9229386,24.7208818,93.9229386
SENAPATI,ST,21.65,21.86,21.75,6.83,5.91,6.37,0.0,0.0,0.0,12012,24.7208818,93.9229386,24.7208818,93.9229386
SENAPATI,Overall,21.51,21.46,21.48,7.15,6.96,7.05,0.0,0.0,0.0,12012,24.7208818,93.9229386,24.7208818,93.9229386
TAMENGLONG,General,0.0,0.0,0.0,0.0,12.0,0.0,63.64,46.15,54.17,12013,24.95122,93.46143,24.7208818,93.9229386
TAMENGLONG,OBC,80.0,75.0,77.14,60.0,33.33,50.0,0.0,0.0,0.0,12013,24.95122,93.46143,24.7208818,93.9229386
TAMENGLONG,SC,0.0,20.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12013,24.95122,93.46143,24.7208818,93.9229386
TAMENGLONG,ST,11.59,14.02,12.84,0.0,6.02,1.49,6.74,0.62,3.98,12013,24.95122,93.46143,24.7208818,93.9229386
TAMENGLONG,Overall,10.91,13.69,12.33,0.0,6.51,1.99,7.0,1.11,4.33,12013,24.95122,93.46143,24.7208818,93.9229386
TENGNOUPAL,General,0.0,0.0,0.0,0.0,15.79,4.8,0.0,0.0,0.0,12014,24.3847802,94.1472634,24.7208818,93.9229386
TENGNOUPAL,OBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12014,24.3847802,94.1472634,24.7208818,93.9229386
TENGNOUPAL,SC,8.93,0.0,0.0,60.0,10.53,40.82,0.0,0.0,0.0,12014,24.3847802,94.1472634,24.7208818,93.9229386
TENGNOUPAL,ST,8.67,7.86,8.27,5.24,5.47,5.36,0.0,9.67,1.24,12014,24.3847802,94.1472634,24.7208818,93.9229386
TENGNOUPAL,Overall,6.16,5.18,5.67,3.69,3.74,3.71,0.0,0.0,0.0,12014,24.3847802,94.1472634,24.7208818,93.9229386
THOUBAL,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12015,24.62875,94.03975,24.7208818,93.9229386
THOUBAL,OBC,17.61,16.62,17.11,13.58,13.98,13.78,24.8,20.49,22.63,12015,24.62875,94.03975,24.7208818,93.9229386
THOUBAL,SC,1.82,16.07,9.01,4.35,0.0,0.0,0.0,0.0,0.0,12015,24.62875,94.03975,24.7208818,93.9229386
THOUBAL,ST,58.87,57.14,57.93,11.39,0.0,3.75,0.0,0.0,0.0,12015,24.62875,94.03975,24.7208818,93.9229386
THOUBAL,Overall,15.75,14.42,15.07,11.19,10.54,10.86,9.44,7.0,8.2,12015,24.62875,94.03975,24.7208818,93.9229386
UKHRUL,General,31.13,12.34,22.15,45.32,40.76,42.91,84.76,74.31,79.44,12016,25.07447,94.37542,24.7208818,93.9229386
UKHRUL,OBC,25.34,10.58,17.5,8.82,4.35,7.02,0.0,0.0,0.0,12016,25.07447,94.37542,24.7208818,93.9229386
UKHRUL,SC,0.0,36.36,0.0,0.0,25.0,12.5,0.0,0.0,0.0,12016,25.07447,94.37542,24.7208818,93.9229386
UKHRUL,ST,18.17,18.39,18.28,8.39,7.25,7.82,5.69,6.86,6.25,12016,25.07447,94.37542,24.7208818,93.9229386
UKHRUL,Overall,18.53,18.17,18.34,9.67,8.61,9.15,8.23,9.44,8.81,12016,25.07447,94.37542,24.7208818,93.9229386
