Lapkaman,380060,23.13151,72.498571,"Lapkaman Lake, 380060, GJ, India",Lapkaman Lake,,,380060,,,,Ahmadabad,Gujarat,GJ,India,in,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Ognaj,380060,23.1080629,72.5226496,"Ognaj - 380060, GJ, India",Ognaj,,,380060,,,Ognaj,Daskroi Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gyaspur,382405,22.98452765,72.52800795,"Gyaspur Depot, Narol-Sarkhej Road, Jivraj park, Ahmedabad - 380001, GJ, India",Gyaspur Depot,,Narol-Sarkhej Road,380001,,Jivraj park,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.27,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lambha,382405,22.9339127,72.5760578,"Lambha Skin Hospital, Lambha Mandir Road, Narol gam, Lambha - 382405, GJ, India",Lambha Skin Hospital,,Lambha Mandir Road,382405,,Narol gam,Lambha,Daskroi Taluka,Gujarat,GJ,India,in,0.81,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Sola,380060,23.0829395,72.5247699,"General Hospital Blood Bank, Sola, High Court Road, Bhagvat, - 380060, GJ, India","General Hospital Blood Bank, Sola",,High Court Road,380060,,Bhagvat,,Daskroi Taluka,Gujarat,GJ,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Saijpur,382405,23.0638912,72.6422949,"Trupti Hospital, Saijpur, Naroda Road, Sahijpur, Ahmedabad - 382220, GJ, India","Trupti Hospital, Saijpur",,Naroda Road,382220,,Sahijpur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.243,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ranip,382480,23.08008,72.57178,"Ghatlodiya, Ahmedabad - 382480, GJ, India",,,,382480,,Ghatlodiya,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,1,,CC BY 4.0,https://www.geonames.org/datasources/
,,,,,,,,,,,,,,,,,,,,,
Tragad,382470,23.1283467,72.558657,"Tragad - 380019, GJ, India",Tragad,,,380019,,,Tragad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.075,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Odhav,382415,23.0244645,72.6688642,"SubCentre, Odhav, Odhav Road, Ahmedabad - 382415, GJ, India","SubCentre, Odhav",,Odhav Road,382415,,,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Odhav Industrial Estate,382415,23.0227419,72.6606854,"Odhav industrial estate, Ahmedabad - 380001, GJ, India",Odhav industrial estate,,,380001,,Odhav industrial estate,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
Ambawadi (Ahmedabad),380006,23.031773,72.530662,"Ahmedabad, Ahmadabad, India",,,,,,,Ahmedabad,Ahmadabad,Gujarat,GJ,India,in,0,,,,https://www.whosonfirst.org/docs/licenses/
Amraiwadi,380026,23.0083901,72.62197341,"Amraiwadi, Rajpur Gomtipur, Ahmedabad - 380026, GJ, India",Amraiwadi,,,380026,,Rajpur Gomtipur,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ellisbridge,380006,23.0231449,72.5601423,"Ellisbridge Gymkhana, Netaji Subhash Chandra Road, Paldi, Ahmedabad - 380006, GJ, India",Ellisbridge Gymkhana,,Netaji Subhash Chandra Road,380006,,Paldi,Ahmedabad,Ahmedabad City Taluka,Gujarat,GJ,India,in,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
