,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,Location
142,10329,Overall,0,0,4,1,1,2,2,0,0,ROHTAS
143,10329,SC,1,1,1,2,4,3,2,1,2,ROHTAS
144,10329,ST,4,0,0,3,3,0,0,1,0,ROHTAS
145,10330,General,1,1,0,1,2,1,1,2,1,SAHARSA
146,10330,OBC,0,0,4,1,3,3,3,3,4,SAHARSA
147,10330,Overall,0,0,4,1,1,2,0,0,0,SAHARSA
148,10330,SC,1,1,1,2,1,1,3,3,4,SAHARSA
149,10330,ST,1,0,3,2,4,2,1,1,1,SAHARSA
150,10331,General,1,1,0,0,2,1,1,2,1,SAMASTIPUR
151,10331,OBC,0,0,4,4,3,3,0,1,0,SAMASTIPUR
152,10331,Overall,2,0,2,1,1,2,0,0,0,SAMASTIPUR
153,10331,SC,1,1,1,2,4,3,2,1,2,SAMASTIPUR
154,10331,ST,1,0,3,3,0,3,0,1,0,SAMASTIPUR
155,10332,General,1,1,0,0,2,1,1,2,1,SARAN
156,10332,OBC,0,0,4,4,3,3,0,1,0,SARAN
157,10332,Overall,2,0,2,1,1,2,0,0,0,SARAN
158,10332,SC,1,1,1,2,1,1,2,1,2,SARAN
159,10332,ST,1,0,3,3,3,3,4,0,4,SARAN
160,10333,General,1,1,0,1,2,1,1,2,1,SHEIKHPURA
161,10333,OBC,0,0,2,3,1,1,0,1,0,SHEIKHPURA
162,10333,Overall,2,0,2,4,2,3,0,0,0,SHEIKHPURA
163,10333,SC,1,1,1,0,1,4,2,1,2,SHEIKHPURA
164,10333,ST,1,0,3,2,0,2,4,0,4,SHEIKHPURA
165,10334,General,1,1,0,1,2,1,1,2,1,SHEOHAR
166,10334,OBC,0,0,2,4,3,3,3,3,4,SHEOHAR
167,10334,Overall,2,0,2,4,4,2,0,0,0,SHEOHAR
168,10334,SC,1,1,4,2,1,1,2,1,2,SHEOHAR
169,10334,ST,1,0,3,2,4,2,4,0,4,SHEOHAR
170,10335,General,1,1,0,0,2,1,1,2,1,SITAMARHI
171,10335,OBC,0,0,2,4,3,3,3,3,4,SITAMARHI
172,10335,Overall,2,0,2,1,4,2,0,0,0,SITAMARHI
173,10335,SC,1,1,4,2,1,1,2,1,2,SITAMARHI
174,10335,ST,1,0,3,2,4,2,4,0,4,SITAMARHI
175,10336,General,1,1,0,0,2,1,1,2,1,SIWAN
176,10336,OBC,0,0,2,4,3,3,0,1,0,SIWAN
177,10336,Overall,2,0,2,1,4,2,0,0,0,SIWAN
178,10336,SC,1,1,4,2,1,1,2,1,2,SIWAN
179,10336,ST,1,0,3,3,3,0,4,0,4,SIWAN
180,10337,General,2,3,2,3,1,2,3,4,3,SUPAUL
181,10337,OBC,0,0,2,4,3,3,3,3,4,SUPAUL
182,10337,Overall,2,0,2,1,4,2,0,0,0,SUPAUL
183,10337,SC,1,1,4,2,1,1,2,1,2,SUPAUL
184,10337,ST,1,0,3,2,4,2,4,0,4,SUPAUL
185,10338,General,1,1,0,0,2,1,1,2,1,VAISHALI
186,10338,OBC,0,0,2,4,3,3,0,1,0,VAISHALI
187,10338,Overall,2,0,2,1,4,2,0,0,0,VAISHALI
188,10338,SC,1,1,4,2,4,1,2,1,2,VAISHALI
189,10338,ST,1,0,3,1,0,3,4,0,4,VAISHALI
