Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
DINDORI,OBC,0.0,0.0,0.0,0.0,0.0,0.0,11.29,10.81,11.05,11817,22.87146,81.02335,22.87146,81.02335
DINDORI,SC,0.0,0.0,0.0,0.0,0.0,0.0,13.48,12.3,12.88,11817,22.87146,81.02335,22.87146,81.02335
DINDORI,ST,9.08,9.08,9.08,17.05,15.63,16.35,10.05,15.4,12.73,11817,22.87146,81.02335,22.87146,81.02335
DINDORI,Overall,3.32,3.05,3.18,9.65,8.12,8.88,10.46,13.79,12.14,11817,22.87146,81.02335,22.87146,81.02335
GUNA,General,0.0,0.0,0.0,6.19,5.06,5.56,11.21,3.93,7.25,11818,24.8950182,79.1382604,24.8950182,79.1382604
GUNA,OBC,0.0,0.0,0.0,11.03,9.18,10.08,17.29,10.76,13.76,11818,24.8950182,79.1382604,24.8950182,79.1382604
GUNA,SC,0.0,1.79,0.78,10.51,8.55,9.51,4.23,8.7,6.8,11818,24.8950182,79.1382604,24.8950182,79.1382604
GUNA,ST,7.29,7.28,7.29,21.44,18.57,19.9,23.4,20.35,21.51,11818,24.8950182,79.1382604,24.8950182,79.1382604
GUNA,Overall,0.0,0.0,0.0,12.22,10.28,11.2,15.01,10.72,12.62,11818,24.8950182,79.1382604,24.8950182,79.1382604
GWALIOR,General,3.72,3.65,3.68,3.06,2.94,2.99,0.24,1.91,1.21,11819,26.2037247,78.1573628,26.2037247,78.1573628
GWALIOR,OBC,7.05,8.29,7.73,9.97,9.6,9.77,6.19,7.57,6.99,11819,26.2037247,78.1573628,26.2037247,78.1573628
GWALIOR,SC,2.51,4.31,3.47,8.75,7.84,8.26,2.36,3.77,3.14,11819,26.2037247,78.1573628,26.2037247,78.1573628
GWALIOR,ST,0.0,0.0,0.0,19.43,16.62,17.91,0.0,16.95,9.27,11819,26.2037247,78.1573628,26.2037247,78.1573628
GWALIOR,Overall,4.99,5.98,5.53,8.25,7.66,7.93,3.51,5.27,4.52,11819,26.2037247,78.1573628,26.2037247,78.1573628
HARDA,General,2.54,2.91,2.73,6.18,8.27,7.27,3.35,10.17,6.88,11820,21.5305899,76.1709395,21.5305899,76.1709395
HARDA,OBC,2.36,2.57,2.47,4.33,7.2,5.85,6.59,8.57,7.62,11820,21.5305899,76.1709395,21.5305899,76.1709395
HARDA,SC,1.92,1.31,1.6,0.93,2.43,1.71,4.56,9.15,6.91,11820,21.5305899,76.1709395,21.5305899,76.1709395
HARDA,ST,3.46,4.27,3.88,14.47,9.82,12.03,16.83,22.48,20.04,11820,21.5305899,76.1709395,21.5305899,76.1709395
HARDA,Overall,2.73,3.04,2.89,7.65,7.5,7.57,8.23,12.86,10.68,11820,21.5305899,76.1709395,21.5305899,76.1709395
HOSHANGABAD,General,0.0,0.0,0.0,0.91,1.01,0.96,9.06,12.63,10.95,11821,22.71609,77.71736,22.71609,77.71736
HOSHANGABAD,OBC,2.46,2.13,2.29,5.18,6.23,5.73,8.01,11.58,9.88,11821,22.71609,77.71736,22.71609,77.71736
HOSHANGABAD,SC,0.0,0.0,0.0,4.51,3.9,4.2,8.59,8.46,8.53,11821,22.71609,77.71736,22.71609,77.71736
HOSHANGABAD,ST,0.0,0.0,0.0,6.28,4.94,5.6,10.55,16.93,13.91,11821,22.71609,77.71736,22.71609,77.71736
HOSHANGABAD,Overall,0.0,0.0,0.0,4.73,4.86,4.8,8.71,12.14,10.51,11821,22.71609,77.71736,22.71609,77.71736
INDORE,General,13.2,11.14,12.12,12.99,12.37,12.67,14.12,11.16,12.56,11822,24.9772666,77.858262,24.9772666,77.858262
INDORE,OBC,6.06,3.68,4.84,11.98,11.54,11.76,9.68,4.61,7.09,11822,24.9772666,77.858262,24.9772666,77.858262
INDORE,SC,11.21,9.16,10.16,13.97,12.05,12.98,6.92,5.38,6.14,11822,24.9772666,77.858262,24.9772666,77.858262
INDORE,ST,9.56,10.29,9.94,15.01,22.92,19.24,15.87,18.28,17.15,11822,24.9772666,77.858262,24.9772666,77.858262
INDORE,Overall,9.43,7.54,8.46,12.92,12.97,12.94,11.09,8.13,9.56,11822,24.9772666,77.858262,24.9772666,77.858262
JABALPUR,General,2.89,3.9,3.44,3.43,5.07,4.29,0.52,6.89,3.97,11823,23.1701522,79.9324505,23.1701522,79.9324505
JABALPUR,OBC,0.51,1.68,1.12,4.87,6.42,5.66,5.62,6.42,6.02,11823,23.1701522,79.9324505,23.1701522,79.9324505
JABALPUR,SC,2.52,2.71,2.62,7.3,8.95,8.15,7.01,7.85,7.42,11823,23.1701522,79.9324505,23.1701522,79.9324505
JABALPUR,ST,7.21,6.96,7.09,13.42,14.25,13.84,14.2,17.77,15.93,11823,23.1701522,79.9324505,23.1701522,79.9324505
JABALPUR,Overall,2.57,3.26,2.93,6.62,8.02,7.35,6.18,8.4,7.3,11823,23.1701522,79.9324505,23.1701522,79.9324505
JHABUA,General,0.0,0.0,0.0,0.0,0.61,0.0,2.66,9.64,6.25,11824,22.80018,74.55007,22.80018,74.55007
JHABUA,OBC,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,11824,22.80018,74.55007,22.80018,74.55007
JHABUA,SC,0.0,0.0,0.0,0.0,0.0,0.0,10.07,29.75,21.04,11824,22.80018,74.55007,22.80018,74.55007
JHABUA,ST,10.88,10.42,10.64,15.3,15.01,15.14,19.79,24.12,22.22,11824,22.80018,74.55007,22.80018,74.55007
JHABUA,Overall,8.01,7.45,7.71,12.78,13.4,13.13,17.44,22.39,20.18,11824,22.80018,74.55007,22.80018,74.55007
KATNI,General,9.43,11.0,10.27,21.68,20.19,20.9,10.11,12.94,11.58,11825,23.8339621,80.392456,23.8339621,80.392456
KATNI,OBC,1.95,0.0,0.65,0.07,1.04,0.57,7.99,6.66,7.31,11825,23.8339621,80.392456,23.8339621,80.392456
KATNI,SC,0.0,0.0,0.0,3.72,5.68,4.7,9.35,9.2,9.28,11825,23.8339621,80.392456,23.8339621,80.392456
KATNI,ST,2.7,2.77,2.73,15.72,17.98,16.86,23.75,29.9,26.79,11825,23.8339621,80.392456,23.8339621,80.392456
KATNI,Overall,2.81,1.91,2.35,8.13,9.28,8.72,11.29,11.93,11.61,11825,23.8339621,80.392456,23.8339621,80.392456
KHANDWA,General,13.88,11.16,12.47,10.69,14.29,12.6,8.63,13.33,11.05,11826,23.3695593,77.0131731,23.3695593,77.0131731
KHANDWA,OBC,0.0,1.08,0.0,3.94,5.67,4.84,11.28,15.18,13.35,11826,23.3695593,77.0131731,23.3695593,77.0131731
KHANDWA,SC,6.97,4.77,5.86,12.04,11.83,11.93,8.56,10.16,9.4,11826,23.3695593,77.0131731,23.3695593,77.0131731
KHANDWA,ST,2.04,3.95,3.02,14.09,13.34,13.69,18.46,18.96,18.73,11826,23.3695593,77.0131731,23.3695593,77.0131731
KHANDWA,Overall,2.68,3.81,3.26,9.83,10.53,10.19,12.96,15.63,14.39,11826,23.3695593,77.0131731,23.3695593,77.0131731
KHARGONE,General,5.64,5.67,5.66,6.41,9.14,7.83,10.57,8.43,9.46,11827,21.825599,75.614182,21.825599,75.614182
KHARGONE,OBC,0.53,2.06,1.34,7.17,8.6,7.92,7.05,10.74,8.97,11827,21.825599,75.614182,21.825599,75.614182
KHARGONE,SC,7.06,7.3,7.18,8.64,9.86,9.27,16.38,16.81,16.61,11827,21.825599,75.614182,21.825599,75.614182
