,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
50,13251,General,0,2,2.0,0,3,2.0,0,1,4.0,,,
51,13252,General,0,2,2.0,0,1,2.0,0,1,1.0,,,
52,13253,General,0,2,2.0,0,1,0.0,0,1,1.0,,,
53,13254,General,0,2,2.0,0,1,0.0,0,1,1.0,,,
54,13255,General,0,2,2.0,0,1,0.0,0,1,1.0,,,
55,13256,General,0,2,2.0,0,1,0.0,0,1,1.0,,,
56,13257,General,0,0,0.0,0,1,0.0,0,0,4.0,,,
57,13258,General,0,0,0.0,0,1,0.0,2,0,2.0,,,
58,13259,General,0,0,0.0,0,1,0.0,2,0,4.0,,,
59,13260,General,2,0,0.0,1,3,0.0,2,0,2.0,,,
60,13261,General,2,0,0.0,0,1,0.0,2,0,2.0,,,
61,13262,General,2,0,0.0,0,1,0.0,2,0,2.0,,,
62,13263,General,2,0,0.0,1,1,0.0,2,0,4.0,,,
63,13264,General,2,0,0.0,1,1,0.0,2,0,2.0,,,
64,13265,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
65,13266,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
66,13267,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
67,13268,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
68,13269,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
69,13270,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
70,13271,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
71,13272,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
72,13273,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
73,13274,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
74,13275,General,2,0,0.0,1,4,0.0,2,0,2.0,,,
0,13201,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
1,13202,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
2,13203,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
3,13204,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
4,13205,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
5,13206,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
6,13207,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
7,13208,OBC,1,3,3.0,1,3,4.0,0,2,0.0,,,
8,13209,OBC,1,3,3.0,1,3,4.0,0,4,0.0,,,
9,13210,OBC,1,3,3.0,1,3,4.0,0,2,0.0,,,
10,13211,OBC,1,3,3.0,1,3,4.0,0,2,0.0,,,
11,13212,OBC,1,3,3.0,1,3,4.0,0,2,0.0,,,
12,13213,OBC,1,0,0.0,1,3,4.0,0,2,0.0,,,
13,13214,OBC,1,0,0.0,3,0,2.0,0,2,0.0,,,
14,13215,OBC,1,0,0.0,1,0,2.0,3,0,3.0,,,
15,13216,OBC,1,0,0.0,1,3,2.0,0,2,0.0,,,
16,13217,OBC,1,0,0.0,3,0,2.0,0,2,0.0,,,
17,13218,OBC,1,0,0.0,1,0,2.0,3,0,3.0,,,
18,13219,OBC,3,0,0.0,1,0,2.0,3,0,3.0,,,
19,13220,OBC,3,0,0.0,1,0,2.0,0,2,0.0,,,
20,13221,OBC,3,0,0.0,3,0,2.0,3,0,3.0,,,
21,13222,OBC,3,0,0.0,3,0,2.0,3,2,3.0,,,
22,13223,OBC,3,0,0.0,3,0,2.0,0,2,0.0,,,
23,13224,OBC,3,0,0.0,4,0,0.0,3,0,3.0,,,
24,13225,OBC,3,0,0.0,4,0,0.0,3,2,3.0,,,
25,13226,OBC,3,0,0.0,4,0,0.0,3,0,3.0,,,
26,13227,OBC,3,0,0.0,4,0,0.0,3,0,3.0,,,
27,13228,OBC,0,0,0.0,4,0,0.0,3,0,3.0,,,
28,13229,OBC,0,0,0.0,4,0,0.0,3,0,3.0,,,
29,13230,OBC,0,0,0.0,3,0,0.0,3,0,3.0,,,
30,13231,OBC,0,0,0.0,4,0,0.0,3,0,2.0,,,
31,13232,OBC,0,0,0.0,4,0,0.0,3,0,3.0,,,
32,13233,OBC,0,0,2.0,4,0,0.0,2,0,2.0,,,
33,13234,OBC,0,1,2.0,4,0,0.0,2,0,2.0,,,
34,13235,OBC,0,1,2.0,3,0,0.0,2,0,2.0,,,
35,13236,OBC,0,1,2.0,4,1,0.0,2,0,2.0,,,
36,13237,OBC,0,1,2.0,4,1,0.0,2,0,2.0,,,
37,13238,OBC,0,1,2.0,0,1,0.0,2,0,2.0,,,
38,13239,OBC,0,1,2.0,0,1,0.0,2,0,2.0,,,
39,13240,OBC,0,1,2.0,0,0,0.0,2,0,2.0,,,
40,13241,OBC,0,1,2.0,0,1,0.0,2,3,2.0,,,
41,13242,OBC,0,1,2.0,0,1,0.0,2,3,2.0,,,
42,13243,OBC,0,1,2.0,0,1,0.0,2,3,2.0,,,
43,13244,OBC,0,1,2.0,0,1,1.0,2,3,2.0,,,
44,13245,OBC,0,1,2.0,0,1,1.0,2,3,2.0,,,
45,13246,OBC,0,1,2.0,0,1,1.0,2,3,2.0,,,
46,13247,OBC,0,1,2.0,0,1,1.0,2,3,2.0,,,
47,13248,OBC,0,1,2.0,0,1,1.0,2,3,2.0,,,
48,13249,OBC,0,1,2.0,0,1,1.0,2,3,2.0,,,
49,13250,OBC,2,4,1.0,0,4,1.0,4,3,1.0,,,
50,13251,OBC,2,4,1.0,0,4,1.0,2,3,2.0,,,
