Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
HANUMANGARH,OBC,4.34,5.84,5.14,2.92,2.95,2.94,4.12,5.63,4.97,12716,26.3554397,75.41507,26.8105777,73.7684549
HANUMANGARH,SC,2.19,4.29,3.28,2.32,3.96,3.17,6.08,6.83,6.47,12716,26.3554397,75.41507,26.8105777,73.7684549
HANUMANGARH,ST,22.08,17.81,19.83,0.0,21.57,10.71,17.48,0.0,4.35,12716,26.3554397,75.41507,26.8105777,73.7684549
HANUMANGARH,Overall,3.82,5.07,4.47,2.51,2.98,2.76,4.54,5.29,4.95,12716,26.3554397,75.41507,26.8105777,73.7684549
JAIPUR,General,4.63,4.08,4.33,3.76,3.77,3.76,5.31,4.8,5.02,12717,26.9154576,75.8189817,26.8105777,73.7684549
JAIPUR,OBC,6.49,7.92,7.27,2.25,3.24,2.78,2.73,3.08,2.92,12717,26.9154576,75.8189817,26.8105777,73.7684549
JAIPUR,SC,4.47,5.18,4.85,2.44,4.09,3.32,2.92,3.8,3.4,12717,26.9154576,75.8189817,26.8105777,73.7684549
JAIPUR,ST,6.22,6.24,6.23,0.97,1.18,1.08,1.44,0.0,0.28,12717,26.9154576,75.8189817,26.8105777,73.7684549
JAIPUR,Overall,5.48,6.02,5.77,2.66,3.38,3.04,3.43,3.37,3.4,12717,26.9154576,75.8189817,26.8105777,73.7684549
JAISALMER,General,5.44,4.82,5.09,8.67,7.89,8.22,15.83,10.81,12.57,12718,26.915021,70.926746,26.8105777,73.7684549
JAISALMER,OBC,4.63,4.12,4.35,6.62,7.37,7.07,11.72,12.34,12.11,12718,26.915021,70.926746,26.8105777,73.7684549
JAISALMER,SC,3.5,5.02,4.31,7.95,6.44,7.11,10.71,11.3,11.07,12718,26.915021,70.926746,26.8105777,73.7684549
JAISALMER,ST,3.15,4.59,3.95,9.55,6.65,7.73,19.86,18.31,18.81,12718,26.915021,70.926746,26.8105777,73.7684549
JAISALMER,Overall,4.51,4.48,4.49,7.69,7.3,7.46,13.23,12.01,12.46,12718,26.915021,70.926746,26.8105777,73.7684549
JALOR,General,0.75,1.41,1.1,8.06,4.84,6.38,14.78,15.48,15.17,12719,25.27361,72.6037,26.8105777,73.7684549
JALOR,OBC,0.5,1.33,0.94,6.86,6.54,6.69,14.27,15.92,15.24,12719,25.27361,72.6037,26.8105777,73.7684549
JALOR,SC,0.0,1.12,0.41,5.06,6.65,5.92,11.58,12.68,12.21,12719,25.27361,72.6037,26.8105777,73.7684549
JALOR,ST,0.0,0.6,0.0,11.43,12.76,12.25,17.24,22.59,20.84,12719,25.27361,72.6037,26.8105777,73.7684549
JALOR,Overall,0.12,1.2,0.69,7.01,6.95,6.98,13.89,15.61,14.89,12719,25.27361,72.6037,26.8105777,73.7684549
JHALAWAR,General,4.21,4.58,4.4,3.68,7.69,5.83,5.74,0.0,2.42,12720,24.59633,76.16499,26.8105777,73.7684549
JHALAWAR,OBC,4.24,4.69,4.48,6.0,6.05,6.03,9.14,8.32,8.69,12720,24.59633,76.16499,26.8105777,73.7684549
JHALAWAR,SC,4.13,4.18,4.16,7.58,7.67,7.63,13.71,13.59,13.64,12720,24.59633,76.16499,26.8105777,73.7684549
JHALAWAR,ST,0.91,2.13,1.56,5.23,4.09,4.62,12.2,9.09,10.49,12720,24.59633,76.16499,26.8105777,73.7684549
JHALAWAR,Overall,3.74,4.2,3.98,5.94,6.25,6.11,9.97,8.43,9.12,12720,24.59633,76.16499,26.8105777,73.7684549
JHUNJHUNU,General,9.69,7.84,8.69,5.66,9.05,7.55,5.97,4.71,5.24,12721,28.1287995,75.3992581,26.8105777,73.7684549
JHUNJHUNU,OBC,5.87,5.94,5.91,3.26,3.86,3.59,4.64,5.72,5.26,12721,28.1287995,75.3992581,26.8105777,73.7684549
JHUNJHUNU,SC,4.49,5.88,5.23,2.44,3.11,2.79,4.47,4.81,4.66,12721,28.1287995,75.3992581,26.8105777,73.7684549
JHUNJHUNU,ST,4.86,6.12,5.54,4.72,5.95,5.39,8.08,11.98,10.26,12721,28.1287995,75.3992581,26.8105777,73.7684549
JHUNJHUNU,Overall,6.08,6.19,6.14,3.46,4.51,4.04,4.89,5.57,5.28,12721,28.1287995,75.3992581,26.8105777,73.7684549
JODHPUR,General,2.84,2.08,2.43,5.17,2.56,3.75,6.34,2.1,3.96,12722,26.2967719,73.0351433,26.8105777,73.7684549
JODHPUR,OBC,3.89,4.91,4.43,4.4,5.88,5.2,8.72,9.43,9.11,12722,26.2967719,73.0351433,26.8105777,73.7684549
JODHPUR,SC,1.99,3.14,2.59,3.77,4.12,3.96,7.52,10.92,9.46,12722,26.2967719,73.0351433,26.8105777,73.7684549
JODHPUR,ST,3.46,3.03,3.23,11.08,6.84,8.52,16.33,12.56,13.87,12722,26.2967719,73.0351433,26.8105777,73.7684549
JODHPUR,Overall,3.26,3.86,3.58,4.65,4.84,4.75,8.09,8.09,8.09,12722,26.2967719,73.0351433,26.8105777,73.7684549
KARAULI,General,6.99,8.99,8.06,3.83,2.81,3.28,5.68,4.34,4.96,12723,23.8313221,73.6009097,26.8105777,73.7684549
KARAULI,OBC,5.78,6.68,6.26,5.85,6.83,6.37,13.96,11.97,12.83,12723,23.8313221,73.6009097,26.8105777,73.7684549
KARAULI,SC,5.78,5.32,5.54,4.48,3.84,4.15,12.35,10.4,11.29,12723,23.8313221,73.6009097,26.8105777,73.7684549
KARAULI,ST,6.47,7.11,6.81,3.1,1.61,2.32,6.27,4.29,5.24,12723,23.8313221,73.6009097,26.8105777,73.7684549
KARAULI,Overall,6.03,6.61,6.33,4.72,4.58,4.64,10.78,9.1,9.86,12723,23.8313221,73.6009097,26.8105777,73.7684549
KOTA,General,3.52,5.64,4.66,3.82,1.55,2.59,0.0,0.0,0.0,12724,26.8105777,73.7684549,26.8105777,73.7684549
KOTA,OBC,3.81,4.83,4.35,2.84,3.26,3.06,3.25,0.0,1.46,12724,26.8105777,73.7684549,26.8105777,73.7684549
KOTA,SC,6.04,6.11,6.08,5.35,6.77,6.11,6.88,7.1,7.0,12724,26.8105777,73.7684549,26.8105777,73.7684549
KOTA,ST,1.17,3.43,2.38,2.3,4.71,3.62,5.85,0.91,3.03,12724,26.8105777,73.7684549,26.8105777,73.7684549
KOTA,Overall,4.05,5.17,4.64,3.6,3.87,3.74,2.19,0.0,0.24,12724,26.8105777,73.7684549,26.8105777,73.7684549
NAGAUR,General,4.84,4.2,4.5,5.13,4.75,4.93,6.85,9.72,8.44,12725,27.28298,73.63341,26.8105777,73.7684549
NAGAUR,OBC,3.86,4.4,4.14,4.4,4.12,4.25,7.22,6.74,6.96,12725,27.28298,73.63341,26.8105777,73.7684549
NAGAUR,SC,3.91,4.19,4.05,6.14,6.69,6.43,9.83,10.98,10.47,12725,27.28298,73.63341,26.8105777,73.7684549
NAGAUR,ST,0.0,0.0,0.0,0.0,0.0,0.0,20.93,13.9,17.09,12725,27.28298,73.63341,26.8105777,73.7684549
NAGAUR,Overall,3.92,4.21,4.07,4.84,4.7,4.76,7.79,8.1,7.96,12725,27.28298,73.63341,26.8105777,73.7684549
PALI,General,1.29,0.0,0.11,5.42,5.75,5.6,6.54,5.65,6.07,12726,27.4429065,76.7784744,26.8105777,73.7684549
PALI,OBC,1.62,2.09,1.87,5.51,5.84,5.69,13.9,13.22,13.52,12726,27.4429065,76.7784744,26.8105777,73.7684549
PALI,SC,2.76,3.18,2.98,8.11,7.7,7.89,11.6,11.38,11.47,12726,27.4429065,76.7784744,26.8105777,73.7684549
PALI,ST,1.3,1.92,1.63,8.07,10.37,9.32,12.31,14.11,13.33,12726,27.4429065,76.7784744,26.8105777,73.7684549
PALI,Overall,1.83,2.05,1.94,6.28,6.63,6.47,12.4,12.06,12.22,12726,27.4429065,76.7784744,26.8105777,73.7684549
PRATAPGARH (RAJ.),General,0.0,5.14,2.31,4.55,5.54,5.05,7.71,10.61,9.24,12727,,,,
PRATAPGARH (RAJ.),OBC,3.53,2.29,2.89,3.89,0.62,2.22,4.75,4.96,4.87,12727,,,,
PRATAPGARH (RAJ.),SC,4.08,7.6,5.91,5.61,11.79,8.89,5.74,12.76,9.48,12727,,,,
PRATAPGARH (RAJ.),ST,4.52,4.15,4.33,5.9,7.74,6.86,8.61,12.65,10.73,12727,,,,
PRATAPGARH (RAJ.),Overall,4.01,4.22,4.12,5.48,6.83,6.18,7.71,11.23,9.56,12727,,,,
RAJSAMAND,General,3.57,4.06,3.83,4.66,4.11,4.37,5.95,7.01,6.52,12728,25.07274,73.79772,26.8105777,73.7684549
RAJSAMAND,OBC,1.62,1.74,1.69,3.65,4.22,3.95,9.56,13.54,11.7,12728,25.07274,73.79772,26.8105777,73.7684549
