,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
14,12715,ST,1,0,0.0,2,2,2.0,2,1,1.0
15,12716,ST,3,2,3.0,4,2,4.0,2,1,2.0
16,12717,ST,1,3,0.0,4,1,4.0,3,1,1.0
17,12718,ST,1,3,0.0,0,2,2.0,4,4,2.0
18,12719,ST,1,3,0.0,0,2,2.0,2,4,2.0
19,12720,ST,1,3,0.0,0,2,0.0,4,3,2.0
20,12721,ST,4,3,0.0,0,0,0.0,4,3,2.0
21,12722,ST,4,3,0.0,0,2,0.0,4,4,2.0
22,12723,ST,4,3,0.0,3,0,3.0,4,3,3.0
23,12724,ST,4,1,0.0,3,0,3.0,4,3,3.0
24,12725,ST,2,1,0.0,0,2,0.0,4,3,3.0
25,12726,ST,2,1,0.0,0,0,0.0,0,0,4.0
26,12727,ST,2,1,2.0,0,0,0.0,0,0,4.0
27,12728,ST,2,1,2.0,0,2,0.0,0,0,4.0
28,12729,ST,2,1,2.0,3,0,3.0,0,0,3.0
29,12730,ST,2,1,2.0,3,0,3.0,0,0,3.0
30,12731,ST,2,1,2.0,0,0,0.0,0,0,4.0
31,12732,ST,2,1,2.0,3,0,3.0,0,0,3.0
32,12733,ST,2,1,2.0,0,0,0.0,0,0,4.0
