DNo,District,Social Category,Income,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall
10208,CHIRANG,ST,High,1.31,0.69,0.99,0.0,0.0,0.0,9.35,6.71,8.06
10208,CHIRANG,Overall,High,3.21,4.28,3.76,1.84,3.97,2.87,19.22,15.88,17.63
10209,DARRANG,General,High,6.38,10.9,8.66,10.42,13.95,11.99,25.3,20.54,23.23
10209,DARRANG,OBC,High,5.27,4.2,4.75,7.55,5.5,6.56,15.11,13.73,14.44
10209,DARRANG,SC,High,3.7,3.05,3.37,0.0,2.54,0.48,5.6,12.72,8.8
10209,DARRANG,ST,High,7.39,0.0,3.71,0.0,5.0,0.82,0.0,18.75,6.98
10209,DARRANG,Overall,High,6.18,9.88,8.04,9.37,12.04,10.58,21.96,18.76,20.53
10210,DHEMAJI,General,High,4.24,4.91,4.6,18.17,20.65,19.43,22.73,16.75,19.78
10210,DHEMAJI,OBC,High,5.64,5.42,5.53,8.08,7.98,8.03,16.04,17.93,16.99
10210,DHEMAJI,SC,High,3.74,3.71,3.72,10.16,7.02,8.58,11.7,8.65,10.24
10210,DHEMAJI,ST,High,9.85,9.36,9.61,7.73,6.81,7.28,6.47,11.02,8.72
10210,DHEMAJI,Overall,High,7.71,7.34,7.53,8.39,7.64,8.02,10.62,13.32,11.96
10211,DHUBRI,General,High,6.37,8.37,7.39,13.21,16.68,14.88,29.29,22.46,26.26
10211,DHUBRI,OBC,High,0.02,2.12,1.1,0.0,0.0,0.0,11.72,6.35,9.09
10211,DHUBRI,SC,High,0.53,0.62,0.57,2.08,3.87,2.97,7.04,24.03,15.35
10211,DHUBRI,ST,High,0.0,0.0,0.0,26.9,21.97,24.21,0.0,0.0,0.0
10211,DHUBRI,Overall,High,5.71,7.65,6.7,11.52,14.66,13.03,25.5,19.74,22.89
10212,DIBRUGARH,General,High,7.29,9.67,8.51,6.1,8.17,7.16,0.0,0.0,0.0
10212,DIBRUGARH,OBC,High,6.01,6.52,6.26,6.72,8.54,7.63,21.45,23.96,22.65
10212,DIBRUGARH,SC,High,2.29,0.95,1.63,0.68,2.22,1.45,19.8,14.08,17.03
10212,DIBRUGARH,ST,High,5.08,1.43,3.24,12.05,6.35,9.21,21.02,12.64,17.12
10212,DIBRUGARH,Overall,High,5.87,6.22,6.05,6.72,7.91,7.32,17.25,17.59,17.42
10213,DIMAHASAO,General,High,0.0,0.0,0.0,8.92,13.87,11.39,0.0,7.13,0.0
10213,DIMAHASAO,OBC,High,5.03,10.55,7.84,19.83,18.78,19.28,37.53,36.26,36.96
10213,DIMAHASAO,SC,High,10.78,8.35,9.53,0.0,3.49,0.0,2.8,3.23,3.02
10213,DIMAHASAO,ST,High,5.59,8.12,6.86,6.94,0.5,3.92,14.7,20.23,17.28
10213,DIMAHASAO,Overall,High,4.87,7.4,6.15,7.82,4.24,6.09,14.08,19.76,16.76
10214,GOALPARA,General,High,7.86,12.61,10.31,14.2,18.61,16.22,31.38,30.55,31.03
10214,GOALPARA,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,6.93,12.63,9.63
10214,GOALPARA,SC,High,3.09,3.2,3.15,0.0,2.66,0.38,26.35,20.64,23.65
10214,GOALPARA,ST,High,4.27,4.37,4.32,0.0,1.01,0.0,13.05,16.15,14.51
10214,GOALPARA,Overall,High,6.41,10.31,8.42,9.97,13.68,11.71,25.89,25.39,25.66
10215,GOLAGHAT,General,High,0.1,0.74,0.43,7.58,6.64,7.12,18.66,12.65,15.74
10215,GOLAGHAT,OBC,High,7.01,6.33,6.67,5.95,7.34,6.65,24.77,23.17,24.02
10215,GOLAGHAT,SC,High,0.2,4.27,2.28,2.19,7.8,5.01,24.65,22.76,23.72
10215,GOLAGHAT,ST,High,3.92,2.19,3.06,2.3,5.98,4.14,16.38,12.29,14.39
10215,GOLAGHAT,Overall,High,4.75,4.52,4.64,5.48,7.04,6.26,22.23,19.19,20.78
10216,HAILAKANDI,General,High,9.0,10.46,9.74,12.09,15.21,13.58,20.28,17.95,19.2
10216,HAILAKANDI,OBC,High,4.3,5.72,5.01,0.0,0.0,0.0,13.76,24.0,18.68
10216,HAILAKANDI,SC,High,3.32,5.48,4.44,0.0,0.0,0.0,19.94,20.38,20.14
10216,HAILAKANDI,ST,High,13.33,15.14,14.26,3.53,16.91,10.8,29.76,10.14,19.9
10216,HAILAKANDI,Overall,High,7.84,9.36,8.61,7.53,10.4,8.91,19.37,19.13,19.25
10217,HOJAI,General,High,1.89,0.71,1.31,6.4,7.31,6.81,30.82,33.55,31.95
10217,HOJAI,OBC,High,4.22,4.44,4.33,4.25,5.71,4.95,24.28,26.22,25.15
10217,HOJAI,SC,High,1.55,1.57,1.56,0.0,11.03,3.57,30.59,38.36,34.06
10217,HOJAI,ST,High,1.59,3.13,2.36,1.55,5.15,3.24,15.56,11.48,13.73
10217,HOJAI,Overall,High,2.1,1.36,1.74,4.68,7.56,6.0,29.27,32.39,30.61
10218,JORHAT,General,High,7.0,7.19,7.1,5.56,12.3,9.03,8.16,15.98,12.21
10218,JORHAT,OBC,High,0.34,0.93,0.64,3.99,4.98,4.49,19.29,18.12,18.72
10218,JORHAT,SC,High,4.46,3.87,4.15,3.01,0.0,1.4,12.29,3.31,7.75
10218,JORHAT,ST,High,0.0,0.0,0.0,6.6,2.22,4.4,13.2,7.57,10.47
10218,JORHAT,Overall,High,2.14,2.46,2.3,4.48,5.95,5.22,15.29,15.02,15.16
10219,KAMRUP-METRO,General,High,3.55,3.35,3.45,1.73,3.19,2.47,5.83,5.97,5.9
