DNo,Location,Social Category,Income,fact_socialcat,fact_income
10012,VIZIANAGARAM,Overall,High,0.0047659236,99.99523
10013,WESTGODAVARI,General,High,0.0017815146,99.99822
10013,WESTGODAVARI,OBC,High,9.8224176e-05,99.99991
10013,WESTGODAVARI,SC,High,0.001611462,99.99839
10013,WESTGODAVARI,ST,High,0.00038916082,99.9996
10013,WESTGODAVARI,Overall,High,0.0031933964,99.9968
10101,ArunachalPradesh,General,High,5.1953008e-05,99.999954
10101,ArunachalPradesh,OBC,High,29.8012,70.1988
10201,BAJALI,General,High,0.023431873,99.97657
10201,BAJALI,OBC,High,3.8750654e-06,100.0
10201,BAJALI,SC,High,0.0072531444,99.99275
10201,BAJALI,ST,High,0.00053985365,99.999466
10201,BAJALI,Overall,High,0.0012902635,99.99871
10202,BAKSA,General,Low,2.5939898e-06,100.0
10202,BAKSA,OBC,Low,7.732001e-05,99.99993
10202,BAKSA,SC,Low,0.00073418464,99.99926
10202,BAKSA,ST,Low,2.3429293e-06,100.0
10202,BAKSA,Overall,Low,0.056969874,99.94302
10203,BARPETA,OBC,High,0.00018874866,99.99981
10203,BARPETA,SC,High,0.010438499,99.989555
10203,BARPETA,ST,High,1.6046666,98.39533
10204,BISWANATH,General,High,3.1828397e-06,100.0
10204,BISWANATH,OBC,High,3.3602034e-06,100.0
10204,BISWANATH,SC,High,0.00091209967,99.999084
10204,BISWANATH,ST,High,0.0006612304,99.999344
10205,BONGAIGAON,General,High,3.3571926e-06,100.0
10205,BONGAIGAON,OBC,High,0.0030783496,99.996925
10205,BONGAIGAON,ST,High,0.0019824896,99.998024
10205,BONGAIGAON,Overall,High,2.1871091e-07,100.0
10206,CACHAR,General,Low,5.188368e-06,100.0
10206,CACHAR,OBC,Low,0.0014672283,99.998535
10206,CACHAR,SC,Low,0.042274453,99.957726
10206,CACHAR,ST,Low,1.492953e-07,100.0
10207,CHARAIDEO,General,Low,0.0133498395,99.98665
10207,CHARAIDEO,OBC,Low,0.02259918,99.9774
10207,CHARAIDEO,SC,Low,0.006954134,99.99305
10207,CHARAIDEO,ST,Low,0.5764508,99.423546
10208,CHIRANG,General,High,0.044490658,99.955505
10208,CHIRANG,OBC,High,7.9884683e-13,100.0
10208,CHIRANG,SC,High,0.0011758285,99.99882
10208,CHIRANG,ST,High,0.021083903,99.97892
10208,CHIRANG,Overall,High,0.0018871047,99.998116
10209,DARRANG,General,High,0.089730605,99.91027
