State,DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
ANDHRA PRADESH,10007,KURNOOL,General,High,0,87.30406612,12.69593239,74.70007837,25.29992461,82.33637661,17.6636219,78.99610847,21.00389004,81.72736168,18.27264428,87.09792644,12.90206909,47.74640203,52.25359201,6.522711366,93.47729087,13.18765879,86.81234121
ANDHRA PRADESH,10007,KURNOOL,OBC,High,0,83.435978,16.56402349,4.205309972,95.79468966,22.4295482,77.57045031,11.3141343,88.68586421,2.834836766,97.16516733,8.820887655,91.17911458,76.66032761,23.33967686,85.32757461,14.67242837,88.16307262,11.83692813
ANDHRA PRADESH,10007,KURNOOL,SC,High,1,27.21651196,72.78348207,7.70862326,92.29137897,14.20793086,85.79207063,63.50136399,36.49863601,68.67536902,31.32463098,73.85933697,26.14066601,48.50954711,51.49044991,77.9242903,22.07571268,61.36318445,38.63680959
ANDHRA PRADESH,10007,KURNOOL,ST,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,0.859576371,99.14041758,2.157461457,97.8425324,1.944172382,98.05582166,0.057302479,99.94269609,0.020496077,99.97950196,0.003837877,99.99616146
ANDHRA PRADESH,10007,KURNOOL,Overall,High,0,81.92795664,18.07204485,76.44387186,23.55613112,78.39024067,21.60975933,0.371825579,99.62818027,0.181244069,99.81876016,0.374044548,99.62595701,0.015271823,99.98472929,0.006712322,99.99328852,0.0009629,99.9990344
ANDHRA PRADESH,10008,NELLORE,General,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,75.03197342,24.96802211,80.99277169,19.00722384,0.008073041,99.99192953,0.005535775,99.99446869,0.000224399,99.9997735
ANDHRA PRADESH,10008,NELLORE,OBC,High,1,0.128881517,99.87112284,0.224323943,99.77567792,0.282098935,99.71790314,0.120397378,99.87959862,0.095461251,99.90453124,0.375533686,99.62446094,0.087441679,99.91255403,0.092652615,99.90735054,0.039417055,99.96058345
ANDHRA PRADESH,10008,NELLORE,SC,High,0,86.23487353,13.76512051,81.2612325,18.73877048,84.13024694,15.86975455,76.41726583,23.58273864,77.88336426,22.11663723,82.28021115,17.71979332,0.093440781,99.9065578,0.019001125,99.981004,0.012091858,99.98791218
ANDHRA PRADESH,10008,NELLORE,ST,High,0,86.23487353,13.76512051,81.2612325,18.73877048,84.13024694,15.86975455,26.62960291,73.37039709,40.17574787,59.82425213,40.80334306,59.19665694,69.50929165,30.49070835,33.73709023,66.26290679,61.54126525,38.45873475
ANDHRA PRADESH,10008,NELLORE,Overall,High,1,31.67931437,68.32067966,78.7976414,21.20235562,58.58816803,41.41183496,66.8608129,33.1391871,28.90760005,71.09239697,58.83094072,41.16905332,42.44520664,57.55479336,47.68008292,52.3199141,58.33219886,41.66780114
ANDHRA PRADESH,10009,PRAKASAM,General,High,1,22.24332839,77.75667906,67.32872427,32.67127275,46.10798359,53.89201641,0.393164856,99.60683584,0.05943763,99.94056225,0.184998568,99.8149991,0.032871118,99.967134,0.086086325,99.91390705,0.018676298,99.98132586
ANDHRA PRADESH,10009,PRAKASAM,OBC,High,1,2.399721183,97.60027528,0.147335487,99.85265732,0.816579722,99.18341637,3.022734635,96.97726369,0.036099248,99.96390343,0.194336544,99.80565906,1.013972145,98.98603559,0.107428432,99.89257455,0.243913429,99.75608587
ANDHRA PRADESH,10009,PRAKASAM,SC,High,1,0.009204172,99.99079704,2.36E-05,99.99997616,0.015913996,99.98408556,4.98E-06,100,0.005268417,99.99473095,0.011353452,99.98863935,0.370894396,99.62910414,85.32757014,14.67242837,88.16306517,11.83693409
ANDHRA PRADESH,10009,PRAKASAM,ST,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,73.28335345,26.71664357,0.01913782,99.98086095,0.415939512,99.58406091,71.49957716,28.50041986,86.15782112,13.84217739,80.8986783,19.1013217
ANDHRA PRADESH,10009,PRAKASAM,Overall,High,1,0.231092842,99.76891279,0.952142477,99.04786348,0.37444015,99.62556362,0.000110603,99.99989271,0.011921101,99.98807907,0.027071472,99.97292161,0.000149009,99.99985695,4.27E-05,99.99995232,8.13E-07,100
ANDHRA PRADESH,10010,SRIKAKULAM,General,High,0,81.92795664,18.07204485,76.44387186,23.55613112,78.39024067,21.60975933,35.93365848,64.06633854,64.96745646,35.03254652,58.84115398,41.15884304,11.58769354,88.41230273,1.708274707,98.29172492,3.50504443,96.49496078
ANDHRA PRADESH,10010,SRIKAKULAM,OBC,High,1,14.79773223,85.20226479,3.869949654,96.13004923,7.666516304,92.3334837,1.09987054,98.90012741,0.763682369,99.23632145,1.327754837,98.67224693,0.315348897,99.68464971,0.230395189,99.76959825,0.172842515,99.82715845
ANDHRA PRADESH,10010,SRIKAKULAM,SC,High,0,91.01690426,8.9830935,83.7657541,16.23424292,88.1459035,11.85409427,81.19653612,18.80346537,87.55057305,12.44943142,91.85676351,8.143234253,85.26646942,14.73353505,94.91665252,5.083352327,91.22512117,8.774876595
ANDHRA PRADESH,10010,SRIKAKULAM,ST,High,0,87.30406612,12.69593239,82.74552375,17.25447774,84.28528309,15.71471691,78.99610847,21.00389004,81.72736466,18.27263236,87.09792495,12.90208101,86.46310419,13.53689432,94.86644566,5.13355732,88.95367831,11.0463202
